"JASID","自治体コード","遺跡名","時代","緯度","経度","草創期","早期","前期","中期","後期","晩期"
1310107100,13101,"千代田区№71遺跡","[縄文時代（前期・中期・後期）][弥生時代（後期）][平安時代]",35.68272514,139.7500377,0,0,1,1,1,0
1310300100,13103,"青山墓地内貝塚","[縄文時代（早期・中期～後期）]",35.6680171187889,139.719524078993,0,1,0,1,1,1
1310300200,13103,"港区№2遺跡","[縄文時代][弥生時代]",35.6649489548031,139.722030334834,0,0,0,0,0,0
1310300300,13103,"港区№3遺跡","[縄文時代]",35.6643074172645,139.717017822496,0,0,0,0,0,0
1310300500,13103,"東宮御所内遺跡","[縄文時代][弥生時代]",35.6774997880564,139.727523498897,0,0,0,0,0,0
1310300900,13103,"長門萩藩毛利家屋敷跡遺跡","[縄文時代][古墳時代][近世]",35.6660646651181,139.730422720553,0,0,0,0,0,0
1310300902,13103,"長門萩藩毛利家屋敷跡第２遺跡","[縄文時代][近世]",35.6665388370411,139.732448325325,0,0,0,0,0,0
1310301800,13103,"西久保八幡貝塚","[縄文時代（後期）]",35.6614194760094,139.742752119494,0,0,0,0,1,0
1310302300,13103,"丸山貝塚","[縄文時代（後期）]",35.654583536585,139.748514496608,0,0,0,0,1,0
1310302900,13103,"紅葉館内貝塚遺跡","[縄文時代][弥生時代][古墳時代]",35.6586563287107,139.745424591496,0,0,0,0,0,0
1310303000,13103,"港区№30遺跡","[縄文時代（後期）]",35.661404,139.740219,0,0,0,0,1,0
1310303100,13103,"増上寺下屋敷跡遺跡","[縄文時代][近世]",35.6589926486647,139.739627882302,0,0,0,0,0,0
1310303800,13103,"港区№38遺跡","[縄文時代（中期）]",35.6604301748088,139.72563522375,0,0,0,1,0,0
1310303900,13103,"港区№39遺跡","[縄文時代]",35.661071746693,139.724090271358,0,0,0,0,0,0
1310304000,13103,"港区№40遺跡","[縄文時代]",35.6594538622366,139.720760040383,0,0,0,0,0,0
1310304100,13103,"港区№41遺跡","[縄文時代]",35.6577234149104,139.728075070454,0,0,0,0,0,0
1310304200,13103,"港区№42遺跡","[縄文時代（後期）]",35.6567889117509,139.732435270346,0,0,0,0,1,0
1310304300,13103,"港区№43遺跡","[縄文時代（後期）]",35.6544316820209,139.72704510383,0,0,0,0,1,0
1310304400,13103,"港区№44遺跡","[縄文時代（後期）]",35.6549477686257,139.729602858608,0,0,0,0,1,0
1310304500,13103,"港区№45遺跡","[縄文時代（前期・中期）][近世]",35.6548082864047,139.731010481376,0,0,1,1,0,0
1310304600,13103,"港区№46遺跡","[縄文時代（中期）]",35.6534692449026,139.732675596208,0,0,0,1,0,0
1310304800,13103,"港区№48遺跡","[縄文時代]",35.6514606394933,139.726032301444,0,0,0,0,0,0
1310305000,13103,"港区№50遺跡","[縄文時代]",35.6517396148517,139.729311034137,0,0,0,0,0,0
1310305100,13103,"本村町貝塚","[縄文時代（前期）]",35.6486010799078,139.729568526202,0,0,1,0,0,0
1310306000,13103,"伊皿子貝塚遺跡","[縄文時代（後期）][弥生時代][古墳時代][平安時代][近世]",35.6415005633308,139.739954039508,0,0,0,0,1,0
1310306400,13103,"信濃飯山藩本多家屋敷跡遺跡","[縄文時代（中期）][奈良時代][平安時代][中世][近世]",35.6323624246326,139.7332249134,0,0,0,1,0,0
1310306500,13103,"港区№65遺跡","[縄文時代（中期）]",35.6433699167102,139.724298521144,0,0,0,1,0,0
1310306600,13103,"港区№66遺跡","[縄文時代][近世]",35.6363944959393,139.719492002916,0,0,0,0,0,0
1310306800,13103,"港区№68遺跡","[縄文時代（前期）]",35.639008,139.719772,0,0,1,0,0,0
1310306900,13103,"港区№69遺跡","[旧石器時代][縄文時代][弥生時代][近世]",35.639008,139.719772,0,0,0,0,0,0
1310307000,13103,"旧海軍基地貝塚","[縄文時代（中期）]",35.6386605400666,139.730617028112,0,0,0,1,0,0
1310307500,13103,"三田台町遺跡","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代]",35.6418772286788,139.739112898499,0,0,0,0,0,0
1310309900,13103,"陸奥八戸藩南部家屋敷跡下層遺跡","[縄文時代（前期～中期）][弥生時代][古墳時代]",35.6631767884883,139.740760847128,0,0,1,1,0,0
1310310000,13103,"港区№100遺跡","[縄文時代（前期～後期）][弥生時代][古墳時代][奈良時代][平安時代]",35.665059580064,139.74316410706,0,0,1,1,1,0
1310311800,13103,"港区№118遺跡","[縄文時代（早期）]",35.6635936154372,139.761382822104,0,1,0,0,0,1
1310314901,13103,"愛宕下第1遺跡","[縄文時代（中期～後期）][近世]",35.6666611437705,139.749117250543,0,0,0,1,1,0
1310315600,13103,"石見津和野藩亀井家屋敷跡遺跡","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]",35.650498164979,139.727182432146,0,0,0,0,0,0
1310319200,13103,"北青山三丁目遺跡","[縄文時代][近世]",35.667180359841,139.71303527842,0,0,0,0,0,0
1310400100,13104,"葛ヶ谷御霊神社遺跡","[縄文時代][弥生時代（後期）]",35.72162653,139.6763314,0,0,0,0,1,0
1310400200,13104,"落合遺跡","[旧石器時代][縄文時代（早期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]",35.71627471,139.6805457,0,1,0,0,1,1
1310400400,13104,"新宿区No.4遺跡","[縄文時代]",35.71725033,139.6963728,0,0,0,0,0,0
1310400500,13104,"新宿区No.5遺跡","[縄文時代]",35.72173802,139.6819189,0,0,0,0,0,0
1310401000,13104,"戸山ヶ原上ノ台遺跡","[旧石器時代][縄文時代（中期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代]",35.70849936,139.6947029,0,0,0,1,1,0
1310401100,13104,"四谷一丁目遺跡","[縄文時代（後期）][近世]",35.68772442,139.7293373,0,0,0,0,1,0
1310401400,13104,"新宿区No.14遺跡","[縄文時代（中期）]",35.68568879,139.7102829,0,0,0,1,0,0
1310401500,13104,"市谷甲良町遺跡","[旧石器時代][縄文時代（前期～後期）][近世]",35.69941572,139.7282492,0,0,1,1,1,0
1310401700,13104,"市谷砂土原町三丁目遺跡","[縄文時代（前期、中期、後期）][弥生時代（後期）][古墳時代][奈良時代][近世]",35.69725793,139.7368646,0,0,1,1,1,0
1310401800,13104,"牛込城跡","[縄文時代][弥生時代（後期）][古墳時代][中世][近世]",35.70067335,139.7380147,0,0,0,0,1,0
1310402000,13104,"若葉一丁目遺跡","[縄文時代][近世]",35.68253764,139.7274147,0,0,0,0,0,0
1310402700,13104,"荒木町遺跡","[旧石器時代][縄文時代（中期）][近世]",35.68920231,139.7235352,0,0,0,1,0,0
1310403500,13104,"妙正寺川No.1遺跡","[旧石器時代][縄文時代（早期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]",35.72067884,139.6748036,0,1,0,0,1,1
1310403700,13104,"自證院遺跡","[縄文時代（早期・中期）][近世]",35.69222771,139.7168778,0,1,0,1,0,1
1310403800,13104,"三栄町遺跡","[縄文時代（中期）][近世]",35.68931384,139.7252518,0,0,0,1,0,0
1310404000,13104,"江戸城外堀跡","[縄文時代（前期～後期）][近世]",35.69031143,139.7328101,0,0,1,1,1,0
1310404300,13104,"百人町三丁目遺跡","[旧石器時代][縄文時代（早期・中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]",35.7061576,139.7008827,0,1,0,1,1,1
1310404900,13104,"下戸塚遺跡","[旧石器時代][縄文時代（草創期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]",35.71088671,139.7169465,1,0,0,0,1,0
1310405200,13104,"戸山遺跡","[縄文時代（早期?後期）][弥生時代（後期）][奈良時代]",35.70472568,139.7167062,0,1,0,0,1,1
1310405400,13104,"市谷仲之町遺跡","[縄文時代（前期～後期）][近世]",35.6941138,139.7231879,0,0,1,1,1,0
1310405500,13104,"市谷薬王寺町遺跡","[縄文時代（中期～後期）][近世]",35.696808,139.725204,0,0,0,1,1,0
1310405900,13104,"本塩町遺跡","[縄文時代（中期）][近世]",35.68836577,139.7289597,0,0,0,1,0,0
1310406000,13104,"穴八幡神社遺跡","[旧石器時代][縄文時代（早期?中期）][弥生時代（後期）][近世]",35.70731839,139.7176675,0,1,0,1,1,1
1310406100,13104,"市谷本村町遺跡","[旧石器時代][縄文時代（早期～晩期）][平安時代][近世]",35.69304468,139.7290067,0,1,1,1,1,1
1310406200,13104,"四谷三丁目遺跡","[縄文時代（前期～中期）][近世]",35.68842154,139.7202736,0,0,1,1,0,0
1310406500,13104,"高田馬場三丁目遺跡","[旧石器時代][縄文時代（早期?後期）][弥生時代（後期）][古墳時代][奈良時代]",35.7132084,139.6956862,0,1,0,0,1,1
1310406600,13104,"南町遺跡","[縄文時代][弥生時代（後期）][古墳時代][近世]",35.69930264,139.736599,0,0,0,0,1,0
1310406700,13104,"霞ヶ丘町遺跡","[縄文時代（早期～前期）][中世][近世]",35.6776233120809,139.71334360533,0,1,1,0,0,1
1310406800,13104,"北新宿三丁目遺跡","[旧石器時代][縄文時代（前期?中期）][弥生時代（後期）][古墳時代][中世][近世]",35.70440123,139.689965,0,0,1,1,1,0
1310406900,13104,"西新宿三丁目遺跡","[縄文時代（早期?中期）][近世]",35.68300677,139.6869542,0,1,0,1,0,1
1310407300,13104,"筑土八幡町遺跡","[縄文時代（早期?晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]",35.70358792,139.739444,0,1,0,0,1,1
1310407700,13104,"上落合二丁目遺跡","[旧石器時代][縄文時代（前期～中期）][古墳時代][奈良時代][平安時代]",35.71507608,139.690914,0,0,1,1,0,0
1310407900,13104,"百人町三丁目西遺跡","[旧石器時代][縄文時代（草創期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]",35.70590669,139.6947029,1,1,1,1,1,1
1310408000,13104,"西早稲田三丁目遺跡","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][近世]",35.71294957,139.7115907,0,1,1,1,1,1
1310408400,13104,"住吉町西遺跡","[旧石器時代][縄文時代（中期）][近世]",35.69486265,139.71763,0,0,0,1,0,0
1310408500,13104,"尾張徳川家下屋敷跡","[旧石器時代][縄文時代（早期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]",35.7040287,139.7134789,0,1,0,0,1,1
1310408800,13104,"市谷加賀町二丁目遺跡","[旧石器時代][縄文時代（早期～後期）][近世]",35.69747797,139.7285411,0,1,1,1,1,1
1310409000,13104,"西落合一丁目遺跡","[縄文時代]",35.7212363,139.6842879,0,0,0,0,0,0
1310409100,13104,"市谷柳町遺跡","[縄文時代][近世]",35.69953681,139.7261405,0,0,0,0,0,0
1310409300,13104,"愛住町遺跡","[縄文時代（前期?中期）][近世]",35.68998307,139.7179047,0,0,1,1,0,0
1310409500,13104,"市谷加賀町一丁目遺跡","[旧石器時代][縄文時代][近世]",35.69729674,139.7305838,0,0,0,0,0,0
1310409600,13104,"市谷左内町遺跡","[旧石器時代][縄文時代][近世]",35.69481524,139.73244,0,0,0,0,0,0
1310409700,13104,"住吉町南遺跡","[縄文時代（早期～前期）][近世]",35.69259418,139.7214885,0,1,1,0,0,1
1310409800,13104,"西早稲田一丁目遺跡","[縄文時代][弥生時代（後期）][近世]",35.70982738,139.7185258,0,0,0,0,1,0
1310409900,13104,"河田町遺跡","[縄文時代（早期）][近世]",35.69554975,139.721025,0,1,0,0,0,1
1310410000,13104,"若宮町遺跡","[縄文時代（中期）][近世]",35.69852653,139.7383409,0,0,0,1,0,0
1310410100,13104,"行元寺跡","[旧石器時代][縄文時代（早期?後期）][弥生時代（後期）][古墳時代][平安時代][中世][近世]",35.70264002,139.7391693,0,1,0,0,1,1
1310410300,13104,"喜久井町遺跡","[旧石器時代][縄文時代（中期?後期）][奈良時代][平安時代][近世]",35.70478144,139.7218033,0,0,0,1,1,0
1310410400,13104,"信濃町遺跡","[縄文時代（前期～後期）][近世]",35.68376465,139.7200333,0,0,1,1,1,0
1310410700,13104,"北新宿二丁目遺跡","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代]",35.70114116,139.6900837,0,1,1,1,1,1
1310411000,13104,"水野原遺跡","[旧石器時代][縄文時代（早期～後期][近世]",35.69892663,139.7204484,0,1,1,1,1,1
1310411300,13104,"四谷一丁目南遺跡","[縄文時代（後期）][近世]",35.68359733,139.7278267,0,0,0,0,1,0
1310411400,13104,"弁天町遺跡","[縄文時代（早期?後期）][近世]",35.7024298,139.7261529,0,1,0,0,1,1
1310411500,13104,"柏木淀橋町遺跡","[縄文時代（前期?中期）][古墳時代][中世][近世]",35.69609467,139.6884014,0,0,1,1,0,0
1310411600,13104,"中落合二丁目遺跡","[旧石器時代][縄文時代（早期）]",35.71817019,139.6929396,0,1,0,0,0,1
1310411700,13104,"坂町遺跡","[縄文時代（前期～後期）][近世]",35.6907917,139.7289597,0,0,1,1,1,0
1310412400,13104,"信濃町南遺跡","[縄文時代（中期～後期）][中世][近世]",35.68117118,139.7199646,0,0,0,1,1,0
1310412500,13104,"原町二丁目遺跡","[縄文時代（中期?晩期）][近世]",35.69891966,139.7238889,0,0,0,1,0,0
1310412600,13104,"白銀町遺跡","[縄文時代（前期～中期）][奈良時代][平安時代][近世]",35.70485643,139.7379333,0,0,1,1,0,0
1310412800,13104,"新宿六丁目遺跡","[縄文時代（早期?中期）][中世][近世]",35.69656346,139.708635,0,1,0,1,0,1
1310413000,13104,"神楽坂四丁目遺跡","[縄文時代（前期～中期）][古墳時代][奈良時代][近世]",35.70244486,139.7401134,0,0,1,1,0,0
1310413800,13104,"白銀町西遺跡","[縄文時代][弥生時代（後期）][古墳時代][奈良時代][中世][近世]",35.70457764,139.7374699,0,0,0,0,1,0
1310414600,13104,"東円寺墓所跡","[縄文時代（中期?後期）][近世]",35.696808,139.725204,0,0,0,1,1,0
1310415100,13104,"富久町遺跡","[縄文時代（中期）][近世]",35.69218589,139.7128235,0,0,0,1,0,0
1310415600,13104,"西新宿六丁目遺跡","[縄文時代]",35.6943102,139.689294,0,0,0,0,0,0
1310415800,13104,"下落合二丁目遺跡","[旧石器時代][縄文時代][弥生時代][古墳時代]",35.71780997,139.7039383,0,0,0,0,0,0
1310500100,13105,"大塚遺跡","[縄文時代][古墳時代][近世]",35.7172957,139.7352457,0,0,0,0,0,0
1310500300,13105,"大塚三丁目遺跡","[縄文時代][古墳時代][中世][近世]",35.7204176,139.7373743,0,0,0,0,0,0
1310500400,13105,"護国寺境内遺跡","[縄文時代][近世]",35.72200637,139.7251864,0,0,0,0,0,0
1310500500,13105,"高田老松町遺跡","[縄文時代（晩期）]",35.71487057,139.727418,0,0,0,0,0,0
1310500600,13105,"文京区№6遺跡","[縄文時代]",35.71127455,139.7388849,0,0,0,0,0,0
1310500700,13105,"文京区№7遺跡","[縄文時代]",35.71342103,139.7354517,0,0,0,0,0,0
1310500800,13105,"文京区№8遺跡","[縄文時代]",35.71556745,139.7390566,0,0,0,0,0,0
1310501100,13105,"伝通院裏貝塚","[縄文時代][弥生時代][古墳時代][近世]",35.71247324,139.7466784,0,0,0,0,0,0
1310501200,13105,"久堅町遺跡","[縄文時代][近世]",35.71328165,139.7437945,0,0,0,0,0,0
1310501400,13105,"動坂遺跡","[旧石器時代][縄文時代（中期?晩期）][弥生時代][近世]",35.72972681,139.7560854,0,0,0,1,0,0
1310501600,13105,"上富士前町遺跡","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][近世]",35.73322968,139.7500408,0,0,0,0,0,0
1310501700,13105,"丸山新町遺跡","[縄文時代][近世]",35.718796,139.752762,0,0,0,0,0,0
1310501800,13105,"指ヶ谷町遺跡","[縄文時代][弥生時代][近世]",35.71754657,139.7501116,0,0,0,0,0,0
1310501900,13105,"戸崎町遺跡","[縄文時代][近世]",35.71818768,139.7487383,0,0,0,0,0,0
1310502100,13105,"小石川植物園内貝塚・原町遺跡","[旧石器時代][縄文時代（中期?晩期）][近世]",35.7204176,139.7455797,0,0,0,1,0,0
1310502200,13105,"原町遺跡","[縄文時代][近世]",35.72312128,139.7455454,0,0,0,0,0,0
1310502400,13105,"白山五丁目南遺跡","[縄文時代][近世]",35.723492,139.749557,0,0,0,0,0,0
1310502500,13105,"千駄木貝塚","[旧石器時代][縄文時代][弥生時代（後期）][近世]",35.722748,139.758987,0,0,0,0,1,0
1310502600,13105,"林町遺跡","[旧石器時代][縄文時代（中期）][弥生時代][奈良時代][近世]",35.72300979,139.7412882,0,0,0,1,0,0
1310502700,13105,"駒込神明町貝塚","[縄文時代][近世]",35.73134327,139.7544031,0,0,0,0,0,0
1310502800,13105,"弥生町遺跡群","[縄文時代][弥生時代][近世]",35.71590195,139.7641535,0,0,0,0,0,0
1310502801,13105,"弥生町貝塚","[縄文時代][弥生時代]",35.7184943,139.7618189,0,0,0,0,0,0
1310502802,13105,"弥生町浅野邸貝塚","[縄文時代（後期?晩期）]",35.71749082,139.7631579,0,0,0,0,1,0
1310502803,13105,"弥生二丁目遺跡","[縄文時代（早期?晩期）][弥生時代][近世]",35.7167382,139.7645655,0,1,0,0,0,1
1310503100,13105,"西片二丁目遺跡","[縄文時代][近世]",35.716236,139.755768,0,0,0,0,0,0
1310503200,13105,"本郷元町北遺跡","[縄文時代][弥生時代（中期）][近世]",35.70383111,139.7560854,0,0,0,1,0,0
1310503300,13105,"弓町遺跡","[旧石器時代][縄文時代][弥生時代（後期）][奈良時代][平安時代][中世][近世]",35.70617294,139.7564631,0,0,0,0,1,0
1310503500,13105,"文京区№35遺跡","[縄文時代]",35.71266838,139.7568751,0,0,0,0,0,0
1310503800,13105,"お茶の水貝塚","[縄文時代（前期?晩期）]",35.70143345,139.7646685,0,0,1,0,0,0
1310504000,13105,"湯島（切通し北）貝塚","[縄文時代（前期?晩期）]",35.70932315,139.7675524,0,0,1,0,0,0
1310504700,13105,"本郷台遺跡群","[旧石器時代][縄文時代][弥生時代][古墳時代][平安時代][近世]",35.71205684,139.7634819,0,0,0,0,0,0
1310504800,13105,"春日町（小石川後楽園）遺跡","[旧石器時代][縄文時代][弥生時代][平安時代][近世]",35.70558749,139.7507982,0,0,0,0,0,0
1310505100,13105,"真砂町（真砂）遺跡","[旧石器時代][縄文時代（早期?後期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]",35.70843107,139.7560167,0,1,0,0,1,1
1310505500,13105,"駒込追分町南遺跡","[縄文時代][近世]",35.71726782,139.7578364,0,0,0,0,0,0
1310505600,13105,"駒込浅嘉町遺跡","[旧石器時代][縄文時代][近世]",35.72515596,139.7536135,0,0,0,0,0,0
1310505800,13105,"本郷元町遺跡","[縄文時代（前期?中期）][奈良時代][平安時代][近世]",35.70266017,139.7568407,0,0,1,1,0,0
1310505900,13105,"駕籠町遺跡","[旧石器時代][縄文時代][奈良時代][平安時代][近世]",35.730117,139.7475023,0,0,0,0,0,0
1310506000,13105,"後楽一・二丁目遺跡","[縄文時代][中世][近世]",35.70542022,139.7453737,0,0,0,0,0,0
1310506500,13105,"大塚坂下町遺跡","[縄文時代][中世][近世]",35.72033398,139.7261477,0,0,0,0,0,0
1310506600,13105,"本郷台町遺跡","[縄文時代][近世]",35.71199934,139.7585573,0,0,0,0,0,0
1310506800,13105,"駒込富士前町遺跡","[縄文時代][平安時代][近世]",35.72950385,139.7514849,0,0,0,0,0,0
1310506900,13105,"小日向台町遺跡","[縄文時代][古墳時代][奈良時代][近世]",35.71470332,139.7352114,0,0,0,0,0,0
1310507300,13105,"小日向台町南遺跡","[旧石器時代][縄文時代][弥生時代][奈良時代][中世][近世]",35.71261262,139.7361727,0,0,0,0,0,0
1310507400,13105,"龍岡町遺跡","[縄文時代（前期・後期）][弥生時代][平安時代][近世]",35.70937891,139.7655954,0,0,1,0,1,0
1310507800,13105,"三軒町遺跡","[縄文時代][近世]",35.71723995,139.7369623,0,0,0,0,0,0
1310508100,13105,"小石川御薬園跡","[縄文時代][近世]",35.72027823,139.7439661,0,0,0,0,0,0
1310508200,13105,"駒込西片町遺跡","[旧石器時代][縄文時代][近世]",35.716236,139.755768,0,0,0,0,0,0
1310508400,13105,"白山御殿町遺跡","[縄文時代][弥生時代][近世]",35.71907965,139.7480173,0,0,0,0,0,0
1310508500,13105,"柳沢家駒込屋敷（六義館・六義園）跡","[縄文時代][奈良時代][平安時代][近世]",35.73290396,139.7464724,0,0,0,0,0,0
1310508600,13105,"大塚町遺跡","[縄文時代][弥生時代][近世]",35.7184943,139.7316065,0,0,0,0,0,0
1310508800,13105,"一行院跡遺跡","[縄文時代][近世]",35.72454277,139.7458201,0,0,0,0,0,0
1310508900,13105,"大塚窪町遺跡","[縄文時代][近世]",35.71902391,139.7360354,0,0,0,0,0,0
1310509000,13105,"丸山新町北遺跡","[縄文時代][近世]",35.718796,139.752762,0,0,0,0,0,0
1310509200,13105,"駕籠町南遺跡","[縄文時代][近世]",35.72919728,139.7485666,0,0,0,0,0,0
1310509500,13105,"金富町北遺跡","[縄文時代（早期・後期）][弥生時代（後期）][近世]",35.71194359,139.7420778,0,1,0,0,1,1
1310509700,13105,"団子坂上遺跡","[旧石器時代][縄文時代（中期）][弥生時代（中期）][平安時代][近世]",35.72554791,139.7612503,0,0,0,1,0,0
1310510200,13105,"文京区№102遺跡","[縄文時代][弥生時代][近世]",35.73220723,139.7498026,0,0,0,0,0,0
1310510300,13105,"本郷一丁目南遺跡","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代][近世]",35.70341292,139.7564974,0,0,0,0,0,0
1310510700,13105,"小日向三丁目東遺跡","[縄文時代][古墳時代][奈良時代][近世]",35.715233,139.734024,0,0,0,0,0,0
1310511300,13105,"千駄木三丁目北遺跡","[縄文時代][古墳時代][中世][近世]",35.72800058,139.760804,0,0,0,0,0,0
1310511400,13105,"目白台一丁目遺跡","[旧石器時代][縄文時代][近世]",35.71565108,139.7197962,0,0,0,0,0,0
1310511500,13105,"春日二丁目西遺跡","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][中世][近世]",35.71146969,139.7410479,0,0,0,0,0,0
1310511700,13105,"千駄木五丁目遺跡","[縄文時代（中期）][弥生時代（後期）][近世]",35.72526919,139.7595337,0,0,0,1,1,0
1310511800,13105,"小日向一・二丁目南遺跡","[縄文時代][古墳時代][奈良時代][平安時代][中世][近世]",35.712051,139.739594,0,0,0,0,0,0
1310511900,13105,"千石一丁目南遺跡","[縄文時代][近世]",35.72471,139.7431421,0,0,0,0,0,0
1310512300,13105,"小石川植物園西遺跡","[縄文時代][中世][近世]",35.7191354,139.7432795,0,0,0,0,0,0
1310512600,13105,"小石川植物園南遺跡","[旧石器時代][縄文時代][弥生時代][中世][近世]",35.71802044,139.747262,0,0,0,0,0,0
1310512700,13105,"本郷三丁目南遺跡","[縄文時代][奈良時代][平安時代][中世][近世]",35.70243713,139.7625399,0,0,0,0,0,0
1310512900,13105,"小日向一丁目東遺跡","［縄文時代］［弥生時代］［古墳時代］［奈良時代］［平安時代］［中世］［近世］",35.71367191,139.7382326,0,0,0,0,0,0
1310513100,13105,"小石川三丁目東遺跡","［縄文時代（早期・中期）］［弥生時代］[古墳時代][奈良時代]［近世］",35.71286351,139.7500773,0,1,0,1,0,1
1310513300,13105,"本駒込六丁目北遺跡","［縄文時代］［近世］",35.73401872,139.7430392,0,0,0,0,0,0
1310513400,13105,"小日向一丁目北遺跡","［縄文時代］［古墳時代］［奈良時代］［平安時代］［近世］",35.71464756,139.73734,0,0,0,0,0,0
1310900100,13109,"上大崎貝塚","[縄文時代]",35.6351312,139.72184,0,0,0,0,0,0
1310900200,13109,"品川区No.2遺跡","[縄文時代？]",35.62867904,139.7272116,0,0,0,0,0,0
1310900300,13109,"品川区No.3遺跡","縄文時代（前期）]",35.62745086,139.728664,0,0,1,0,0,0
1310900400,13109,"池田山北遺跡","[縄文時代（早期～中期）][弥生時代（後期）]",35.63109445,139.7229069,0,1,1,1,1,1
1310900500,13109,"品川区No.5遺跡","[縄文時代]",35.62985034,139.7240026,0,0,0,0,0,0
1310900600,13109,"品川区No.6遺跡","[縄文時代（中期）]",35.62535828,139.7229391,0,0,0,1,0,0
1310900800,13109,"御殿山遺跡","[縄文時代（前期）][弥生時代]",35.62050855,139.7337182,0,0,1,0,0,0
1310900900,13109,"桐ヶ谷遺跡","[縄文時代（早期）]",35.62207916,139.7139841,0,1,0,0,0,1
1310901000,13109,"居木橋遺跡","[縄文時代（早期～後期）][弥生時代][中世]",35.61720399,139.7245685,0,1,1,1,1,1
1310901200,13109,"(大井)権現台貝塚","[縄文時代（後期～晩期）]",35.60833955,139.7343964,0,0,0,0,1,0
1310901300,13109,"仙台坂遺跡","[縄文時代（後期）][古墳時代][奈良時代][平安時代][近代]",35.60697621,139.7403673,0,0,0,0,1,0
1310901400,13109,"西光寺貝塚","[縄文時代（中期～後期）][古墳時代]",35.60031371,139.7328131,0,0,0,1,1,0
1310901500,13109,"大井鹿島遺跡","[縄文時代][古墳時代][奈良時代][近世]",35.59667274,139.7301397,0,0,0,0,0,0
1310901600,13109,"大森貝塚","[縄文時代（中期～晩期）]",35.59305438,139.7303114,0,0,0,1,1,0
1310902200,13109,"梶原氏館跡","[縄文時代（中期）]",35.60181908,139.7380697,0,0,0,1,0,0
1310903000,13109,"三木遺跡","[縄文時代（早期～後期）][古墳時代]",35.61491723,139.7289666,0,1,1,1,1,1
