遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構/概要,主な出土品
262-4,じんや4ごうふん,陣屋4号墳,世田谷区 喜多見三丁目,[古墳時代],古墳,円墳 [古墳時代]周溝,土師器 須恵器 勾玉
262-5,じんや5ごうふん,陣屋5号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,前方後円墳 帆立貝式 [古墳時代]周溝,土師器 須恵器 埴輪 臼玉
262-6,じんや6ごうふん,陣屋6号墳,世田谷区 喜多見三丁目,[古墳時代],古墳,円墳 [古墳時代]周溝,
262-7,じんや7ごうふん,陣屋7号墳,世田谷区 喜多見三丁目,[古墳時代],古墳,,
262-9,じんや9ごうふん,陣屋9号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,円墳 [古墳時代]周溝,
262-10,じんや10ごうふん,陣屋10号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,※遺跡地図所在不明,
262-11,じんや12ごうふん,陣屋12号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,※遺跡地図所在不明,
262-13,じんや13ごうふん,陣屋13号墳,世田谷区 喜多見三丁目,[古墳時代],古墳,[古墳時代]古墳周溝,土師器 須恵器
262-14,じんや14ごうふん,陣屋14号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,[古墳時代]周溝,土師器 須恵器
262-15,じんや15ごうふん,陣屋15号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,古墳周溝,土師器 須恵器 鉄製品（鋤鍬先）
264,きたみしみずいせき,喜多見清水遺跡,世田谷区 喜多見五丁目,[縄文時代（早期・中期～後期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[奈良時代][平安時代]住居 [中世][近世]土坑 地下式土坑 井戸 溝,縄文土器 土師器 須恵器 土師質土器 陶磁器 石臼 鉄製品
265,しものだやまいせき,下野田山遺跡,世田谷区 喜多見六丁目,[旧石器時代][古墳時代][奈良時代][平安時代][中世][近世],集落,[旧石器時代]ブロック,石器 焼礫 土師器 陶器 カワラケ
266-1,しものだ1ごうふん,下野田1号墳,世田谷区 喜多見六丁目,[古墳時代],古墳,,
266-2,しものだ2ごうふん,下野田2号墳,世田谷区 喜多見六丁目,[古墳時代],古墳？,円墳?,
268,なかしんめいおうけつぼぐん,中神明横穴墓群,世田谷区 成城三丁目,[古墳時代],横穴墓,7基,土師器 須恵器 刀子 人骨
269,しものだふどういせき,下野田不動遺跡,世田谷区 成城一丁目,[近世],出土地,,和鏡
272,どうがやと１ごうふん,堂が谷戸1号墳,世田谷区 岡本三丁目,[古墳時代],古墳,円墳 [古墳時代]周溝 幅4ｍ,縄文土器 土師器
273,しもやま１ごうふん,下山1号墳,世田谷区 瀬田四丁目,[古墳時代],古墳,[古墳時代]円形周溝,土師器
274,たきがやいせき,滝ヶ谷遺跡,世田谷区 瀬田四丁目,[旧石器時代][縄文時代（早期～中期）][奈良時代][近世],集落,[旧石器時代]ブロック 礫群 [縄文時代]住居 土坑 溝 [古墳時代]土坑? [奈良時代]住居,主な出土品
275,しろまえいせき,城前遺跡,世田谷区 奥沢七丁目,[縄文時代（早期～後期）],包蔵地,,縄文土器 焼礫 陶器
276,のくぼいせき,野窪遺跡,世田谷区 桜上水二丁目,[縄文時代（草創期）],包蔵地,,石槍
277,まるしたきたいせき,丸下北遺跡,世田谷区 上北沢一丁目 上北沢三丁目 桜上水五丁目,[縄文時代],包蔵地,,縄文土器 石鏃 剥片
278,からすやまじょう（とりで）せき・からすやまみなみはらいせき,烏山城(砦)跡・烏山南原遺跡,世田谷区 南烏山一丁目 南烏山二丁目,[旧石器時代][縄文時代（中期）][中世][近世],集落・城館,[旧石器時代]ブロック 礫群 [近世]溝状遺構 [時期不明]溝,石器 焼礫 縄文土器 陶磁器
280,きたみなかどおりいせき,喜多見中通遺跡,世田谷区 喜多見七丁目,[縄文時代（中期～晩期）][古墳時代][奈良時代][平安時代][中世][近世],集落,,土師器
281,たなおしいせき,田直遺跡,世田谷区 大蔵五丁目,[旧石器時代][縄文時代(早期～後期)][奈良時代][平安時代][中世][近世],集落,[旧石器時代]ブロック [縄文時代]住居址 土坑 炉穴 集石 ピット 配石 遺物集中部 土器埋設土坑 [古代以降]溝 土坑 ピット [中世以降]土坑 [近世以降]段切り ピット,[旧石器時代]石器 [縄文時代]土器 石器 土製品 石製品（装飾品） [古代以降]土師器 須恵器 [中世以降]陶磁器 [近世以降]陶磁器
282,しもそしがやまえいせき,下祖師谷前遺跡,世田谷区 成城九丁目,[中世],包蔵地,,土師質土器
285,うなねほんむらいせき,宇奈根本村遺跡,世田谷区 宇奈根二丁目,[古墳時代][奈良時代][平安時代][中世][近世],包蔵地,,土師器 陶磁器
286,かみのだおうけつぼぐん,上野田横穴墓群,世田谷区 成城四丁目,[古墳時代],横穴墓,2基,
287,せんがわいせき,仙川遺跡,世田谷区 給田三丁目,[旧石器時代][縄文時代（前期）][古墳時代],集落,[旧石器時代]ブロック [古墳時代]住居,
288,おかもとまえこうちいせき,岡本前耕地遺跡,世田谷区 岡本二丁目,[縄文時代（早期～晩期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]集石 杭列 [近世]溝,縄文土器 石器 土製品 石製品 木製品 浮子 弥生土器 土師器 須恵器 灰釉 陶磁器
294,ひがしやまいせき,東山遺跡,世田谷区 池尻一丁目 池尻二丁目,[旧石器時代][縄文時代（中期）][弥生時代][古墳時代],集落,[縄文時代]竪穴 土坑,縄文土器 石器
295,とどろきにしねいせき,等々力西根遺跡,世田谷区 等々力一丁目 尾山台二丁目,[縄文時代（前期～中期）],包蔵地,[縄文時代]逆堆積土坑,縄文土器 石器
296,とどろきはらいせき,等々力原遺跡,世田谷区 等々力一丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][中世][近世],集落,[縄文時代]住居 土坑 [弥生時代]住居,石器 縄文土器 石器 弥生土器 陶磁器 銭貨
297,とどろきねいせき,等々力根遺跡,世田谷区 等々力一丁目,[旧石器時代][縄文時代（早期～後期）][古墳時代][中世][近世],集落,,縄文土器 石器 土製品 陶磁器 銭貨 鉄製品 土錘 砥石 瓦 土師質土器 硯 礫 埴輪 須恵器 金属製品 ガラス製品
298,おきのたにいせき,沖ノ谷遺跡,世田谷区 奥沢二丁目,[縄文時代（中期）],包蔵地,,
303,とどろきね1ごうふん,等々力根1号墳,世田谷区 等々力一丁目,[古墳時代],古墳,[古墳時代]周溝,土師器
304,おやまきたはらいせき,尾山北原遺跡,世田谷区 尾山台二丁目,[縄文時代（早期）][近世],包蔵地,[近世]ピット 礎石建物址,縄文土器 石器 礫 陶磁器 銭貨 煙管
307,のげ2ごうふん,野毛2号墳,世田谷区 野毛二丁目,[古墳時代],古墳,[古墳時代]周溝,円筒埴輪 形象埴輪 須恵器坏身
308,のげ3ごうふん,野毛3号墳,世田谷区 野毛二丁目,[古墳時代],古墳,[古墳時代]主体部（礫槨）,
309,のげ4ごうふん,野毛4号墳,世田谷区 野毛二丁目,[古墳時代],古墳,[古墳時代]周溝,円筒埴輪
310,のげ5ごうふん,野毛5号墳,世田谷区 野毛二丁目,[古墳時代],古墳,[古墳時代]周溝,
311,のげ6ごうふん,野毛6号墳,世田谷区 野毛二丁目,[古墳時代],古墳,[古墳時代]周溝,土師器坏
313,のげおおはらおうけつぼぐん,野毛大原横穴墓群,世田谷区 野毛二丁目,[古墳時代],横穴墓,,人骨 須恵器（長頸壺） 土師器（坏）
314,すわぶんいせき,諏訪分遺跡,世田谷区 東玉川一丁目,[縄文時代（前期）],集落,,
315,みやのはら1ごうふん,宮之原1号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,形態（円墳） [古墳時代]周溝 横穴式石室,土師器 須恵器
316,のげ7ごうふん,野毛7号墳,世田谷区 野毛一丁目,[古墳時代],古墳,形態（ブリッジ付?円墳） [古墳時代]周溝,
317,のげ8ごうふん,野毛8号墳,世田谷区 野毛一丁目,[古墳時代],古墳,形態（ブリッジ付?円墳） [古墳時代]周溝,
318,のげ9ごうふん,野毛9号墳,世田谷区 野毛一丁目 野毛二丁目,[古墳時代],古墳,形態（円墳） [古墳時代]周溝,土師器
319,つるがくぼいせき,鶴ヶ久保遺跡,世田谷区 野沢一丁目 下馬三丁目,[旧石器時代][縄文時代（中期～後期）][近世],集落,[縄文時代]住宅 竪穴 土坑 集石土坑 野外炉 屋外埋甕 伏甕 掘立柱建物跡 ピット [近世]～溝 地下式杭 井戸 土坑 建物跡 ピット,石器 縄文土器 土製品 石器 装飾品 陶磁器 土製品 石製品 銭貨 金属製品 硝子製品
320,おやまひがしはらいせき,尾山東原遺跡,世田谷区 尾山台二丁目,[縄文時代（中期）],包蔵地,,
321,りょうのさかひがしいせき,寮の坂東遺跡,世田谷区 尾山台一丁目,[縄文時代（中期）][近世],包蔵地,,
322,おかもとはらみなみいせき,岡本原南遺跡,世田谷区 岡本一丁目,[縄文時代（早期・中期）][古墳時代],集落,,
323,しもやま2ごうふん,下山2号墳,世田谷区 瀬田五丁目,[古墳時代],古墳,形態（円墳） [古墳時代]周溝,
324,しもやま3ごうふん,下山3号墳,世田谷区 瀬田五丁目,[古墳時代],古墳,形態（ブリッジ付円墳） [古墳時代]周溝,
325,たいしどうしもほんむらいせき,太子堂下本村遺跡,世田谷区 三宿二丁目 太子堂三丁目,[旧石器時代][縄文時代（早期～後期）][古墳時代][奈良時代][平安時代][近世],集落,,
326,まるやまひがしいせき,丸山東遺跡,世田谷区 深沢五丁目,[縄文時代][中世][近世],包蔵地,,
327,のげ10ごうふん,野毛10号墳,世田谷区 野毛二丁目,[古墳時代],古墳,円墳 古墳周溝,土師器 須恵器
330,のげ11ごうふん,野毛11号墳,世田谷区 野毛一丁目,[古墳時代],古墳,円墳 古墳周溝,
331,のげ12ごうふん,野毛12号墳,世田谷区 野毛一丁目,[古墳時代],古墳,円墳 [古墳時代]周溝,
332,とのやまおうけつぼぐん,殿山横穴墓群,世田谷区 大蔵五丁目,古墳,横穴墓,,直刀1、鉄鏃10、刀子1、勾玉2、管玉4、棗玉3、丸玉20、ガラス小玉15、須恵器（提瓶）1、人骨
333,てんじんやまいせき,天神山遺跡,世田谷区 野毛一丁目,[旧石器時代][縄文時代（後期）][近世],集落,,
334,のげ13ごうふん,野毛13号墳,世田谷区 野毛一丁目,[古墳時代],古墳,方墳 [古墳時代]周濠,埴輪 土師器 鉄製品（鉄鎌）
