JASID,自治体コード,遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構/概要,主な出土品
1321904000,13219,40,たなか・てらまえいせき,田中・寺前遺跡,狛江市 東和泉一丁目 東和泉二丁目 元和泉一丁目 元和泉二丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]集石土坑 [古墳時代][奈良時代]住居 [近世]井戸 [時代不明]掘立柱建物 周溝状遺構,縄文土器 打斧 土師器 須恵器 陶磁器
1321904100,13219,41,かめづかこふん,亀塚古墳,狛江市 元和泉一丁目,[古墳時代],古墳,帆立貝式前方後円墳 [古墳時代]周溝 石棺 木炭槨 組合せ石棺,土師器 須恵器 円筒埴輪 管玉 ガラス玉 神人歌舞画像鏡 直刀 銀環 鈴釧 辻金具 金銅製装飾金具
1321904201,13219,42-1,べんてんいけいせき,弁財天池遺跡,狛江市 中和泉一丁目,[旧石器時代][縄文時代（中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[旧石器時代]ブロック [縄文時代]住居 集石 土坑 [弥生時代][古墳時代]方形周溝墓 [古墳時代][奈良時代]住居 [奈良時代][平安時代]掘立柱建物 [中世][近世]土坑,ナイフ形石器 尖頭器 細石刃 縄文土器 打斧 石鏃 石皿 土製円板 石棒 弥生土器 槍先形鉄製品 鉄釧 銅釧 土師器 須恵器 紡錘車 銀製穂積具
1321904202,13219,42-2,べんてんいけこふん1ごうふん,弁財天池古墳1号墳,狛江市,[古墳時代],古墳,円墳 [古墳時代]周溝,土師器 須恵器 鉄剣 勾玉 石製模造品
1321904203,13219,42-3,べんてんいけこふん2ごうふん,弁財天池古墳2号墳,狛江市,[古墳時代],古墳,円墳 [古墳時代]周溝,土師器
1321904204,13219,42-4,べんてんいけこふん3ごうふん,弁財天池古墳3号墳,狛江市,[古墳時代],古墳,円墳 [古墳時代]周溝,須恵器
1321904300,13219,43,いずみだぐらいせき,和泉駄倉遺跡,狛江市 東和泉一丁目,[縄文時代（中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世],集落,[縄文時代]住居 [弥生時代][古墳時代]住居 [奈良時代][平安時代]住居 掘立柱建物,縄文土器 弥生土器 土師器 須恵器 陶磁器
1321904401,13219,44-1,だぐらづかこふん,駄倉塚古墳,狛江市 中和泉一丁目,[縄文時代（中期）][古墳時代][中世][近世],包蔵地・古墳,円墳,円筒埴輪
1321904500,13219,45,ひがしづかいせき,東塚遺跡,狛江市 中和泉一丁目,[縄文時代（中期）][奈良時代][平安時代],集落,[縄文時代][平安時代]住居 [時代不明]土坑 溝,縄文土器 打斧 土師器 須恵器
1321904600,13219,46,ひがしづかこふん,東塚古墳,狛江市 中和泉一丁目,[古墳時代]［中世］,古墳,円墳 [古墳時代]周溝 葺石,円筒埴輪
1321904700,13219,47,きぬやまづかこふん,絹山塚古墳,狛江市 中和泉一丁目,[古墳時代],貝塚,円墳 [古墳時代]周溝 礫槨,陶器 大刀 銭貨
1321904800,13219,48,まつばらひがしいなりづかこふん,松原東稲荷塚古墳,狛江市 中和泉一丁目,[古墳時代],古墳,円墳 [古墳時代]葺石 礫槨,鉄鏃 刀子 円筒埴輪 直刀
1321904900,13219,49,まつばらひがしいせき,松原東遺跡,狛江市 中和泉一丁目,[奈良時代][平安時代][近世],集落,[古墳時代][平安時代]住居 [奈良時代][平安時代]掘立柱建物,土師器 須恵器 陶器
1321905000,13219,50,きょうづかいせき,経塚遺跡,狛江市 中和泉一丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代]［中世］[近世],集落,[縄文時代][古墳時代]住居 [奈良時代][平安時代]住居 [中世][近世]ビット群,縄文土器 石鏃 土師器 須恵器 鉄製品 陶器 カワラケ
1321905100,13219,51,きょうづかこふん,経塚古墳,狛江市 中和泉一丁目,[古墳時代][中世],古墳,円墳 [古墳時代]周溝 葺石 石棺,打斧 埴輪 蔵骨器 板碑 陶磁器
1321905200,13219,52,まとじめ1ごうふん,真刀自咩1号墳,狛江市 中和泉一丁目,[古墳時代],古墳,円墳,
1321905300,13219,53,まとじめ2ごうふん,真刀自咩2号墳,狛江市 中和泉一丁目,[古墳時代],古墳,円墳,
1321905400,13219,54,はしばいせき,橋場遺跡,狛江市 元和泉二丁目 中和泉三丁目,[縄文時代（中期）][古墳時代][近世],集落,[古墳時代]住居,縄文土器 土師器 須恵器 土製模造品 陶器 カワラケ
1321905500,13219,55,かぶとづかこふん,兜塚古墳,狛江市 中和泉三丁目,[古墳時代],古墳,※遺跡範囲のすべてが東京都指定史跡兜塚古墳となっています。,円筒埴輪
1321905600,13219,56,みやまえいせき,宮前遺跡,狛江市 中和泉一丁目 中和泉二丁目 中和泉三丁目,[縄文時代（中期）][弥生時代][古墳時代][奈良時代][近世],集落,[古墳時代]住居,縄文土器 弥生土器 土師器 須恵器 カワラケ
1321905700,13219,57,いいだづかこふん,飯田塚古墳,狛江市 中和泉三丁目,[古墳時代],古墳,円墳,
1321905800,13219,58,しらいづかこふん,白井塚古墳,狛江市 中和泉三丁目,[古墳時代],古墳,円墳 [時代不明]周溝,
1321905900,13219,59,まつばらいせき,松原遺跡,狛江市 中和泉一丁目 中和泉二丁目 和泉本町一丁目 和泉本町三丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代][近世],包蔵地,,縄文土器 土師器 須恵器 陶器 カワラケ
1321906000,13219,60,ふじづかいせき,藤塚遺跡,狛江市 和泉本町四丁目,[古墳時代][平安時代][近世],包蔵地,,土師器 陶器
1321906100,13219,61,かなぼりづか,金堀塚,狛江市 和泉本町四丁目,[時代不明],古墳？,,
1321906200,13219,62,いなりまえいせき,稲荷前遺跡,狛江市 中和泉五丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代][近世],包蔵地,,縄文土器 土師器 須恵器 陶器 カワラケ
1321906300,13219,63,おばらいせき,小原遺跡,狛江市 中和泉二丁目 中和泉五丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代][近世],包蔵地,,縄文土器 土師器 須恵器 陶器
1321906400,13219,64,いりうえきたいせき,圦上北遺跡,狛江市 中和泉三丁目 中和泉四丁目,[縄文時代（中期）][古墳時代][奈良時代][近世],集落,[古墳時代][奈良時代]住居,縄文土器 土師器 須恵器 陶器 墓石
1321906500,13219,65,いりうえいせき,圦上遺跡,狛江市 中和泉三丁目 中和泉四丁目,[縄文時代（中期～晩期）][弥生時代][古墳時代][奈良時代][中世],集落,[縄文時代]住居 [古墳時代]住居 [奈良時代]住居 [中世]地下式土坑,縄文土器 打斧 石鏃 石匙 石錐 凹石 耳飾 土製勾玉 石剣 岩版 土偶 弥生土器 土師器 須恵器 銭貨 陶磁器
1321906600,13219,66,いりうえきょうづかこふん,圦上峡古墳遺跡,狛江市 中和泉四丁目,[古墳時代],古墳,円墳 [古墳時代]横穴式石室,土師器 管玉 勾玉
1321906700,13219,67,けいげんじ7ごうこふん,慶元寺7号古墳,狛江市 岩戸南三丁目,[古墳時代],古墳,円墳 [古墳時代]横穴式石室?,縄文土器 土師器 陶磁器
1321906800,13219,68,ぎょくせんじまえいせき,玉泉寺前遺跡,狛江市 東和泉四丁目,[中世][近世],包蔵地・その他の墓・その他（溝）,[中世][近世]土,
