"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
1310302300,13103,"23","まるやまかいづか","丸山貝塚","港区 芝公園四丁目","[縄文時代（後期）]","貝塚","","縄文土器　磨斧　石匙　石錘",139.748514496608,35.654583536585,"0","1","0","0","0","0","0","0","0"
1310302900,13103,"29","こうようかんないかいづかいせき","紅葉館内貝塚遺跡","港区 芝公園四丁目","[縄文時代][弥生時代][古墳時代]","集落・貝塚","住居跡","縄文土器　磨斧　石鏃",139.745424591496,35.6586563287107,"0","1","1","1","0","0","0","0","0"
1310303000,13103,"30","","港区№30遺跡","港区 麻布台一丁目","[縄文時代（後期）]","貝塚","","縄文土器",139.740219,35.661404,"0","1","0","0","0","0","0","0","0"
1310304100,13103,"41","","港区№41遺跡","港区 元麻布三丁目","[縄文時代]","貝塚","","石斧",139.728075070454,35.6577234149104,"0","1","0","0","0","0","0","0","0"
1310304300,13103,"43","","港区№43遺跡","港区 元麻布二丁目","[縄文時代（後期）]","包蔵地・貝塚","","縄文土器　打斧　石鏃",139.72704510383,35.6544316820209,"0","1","0","0","0","0","0","0","0"
1310304600,13103,"46","","港区№46遺跡","港区 元麻布一丁目","[縄文時代（中期）]","貝塚","","磨斧",139.732675596208,35.6534692449026,"0","1","0","0","0","0","0","0","0"
1310305100,13103,"51","ほんむらちょうかいづかいせき","本村町貝塚","港区 南麻布三丁目","[縄文時代（前期）]","貝塚","","縄文土器　魚骨",139.729568526202,35.6486010799078,"0","1","0","0","0","0","0","0","0"
1310306000,13103,"60","いさらごかいづかいせき","伊皿子貝塚遺跡","港区 三田四丁目","[縄文時代（後期）][弥生時代][古墳時代][平安時代][近世]","集落・貝塚・社寺","[縄文時代]住居　土坑　[弥生時代]方形周溝墓　[古墳時代]住居　[平安時代]住居 [近世]礎石　溝状遺構　石垣","縄文土器　弥生土器　土師器　土製品　石製品　貝製品　牛骨　魚骨　陶磁器",139.739954039508,35.6415005633308,"0","1","1","1","0","1","0","1","0"
1310307000,13103,"70","きゅうかいぐんぼちかいづか","旧海軍基地貝塚","港区 白金台一丁目","[縄文時代（中期）]","貝塚","","縄文土器　打斧",139.730617028112,35.6386605400666,"0","1","0","0","0","0","0","0","0"
1310402000,13104,"20","わかばいっちょうめいせき","若葉一丁目遺跡","新宿区 若葉一丁目","[縄文時代][近世]","貝塚・屋敷","[近世]地下室　大型土坑　土坑　小穴","磁器　陶器　せっ器　土器　瓦　土製品　金属製品　ガラス製品　石製品",139.7274147,35.68253764,"0","1","0","0","0","0","0","1","0"
1310500300,13105,"3","おおつかさんちょうめいせき","大塚三丁目遺跡","文京区 大塚三丁目","[縄文時代][古墳時代][中世][近世]","包蔵地・貝塚?・屋敷・その他（村）","[縄文時代]土坑　[中世]溝　[近世]地下室　井戸　土坑　柱穴列　礎石列など","（縄文）土器・石器　（古墳）土師器・須恵器　（中世）?b器・土製品・板碑　（近世）陶磁器・?b器・土器・土製品・瓦・金属製品・石製品など",139.7373743,35.7204176,"0","1","0","1","0","0","1","1","0"
1310500800,13105,"8","","文京区№8遺跡","文京区 小日向四丁目","[縄文時代]","貝塚","","",139.7390566,35.71556745,"0","1","0","0","0","0","0","0","0"
1310501100,13105,"11","でんづういんうらかいづか","伝通院裏貝塚","文京区 小石川三丁目","[縄文時代][弥生時代][古墳時代][近世]","包蔵地・集落・貝塚?・社寺・屋敷","[弥生時代]?[古墳時代]堅穴住居跡　土坑　ピット　[近世]地下室　土坑　井戸　溝　焼土集中部　小穴","（縄文?古代）土器　（古墳）土師器　（近世）陶磁器・?b器・土器・土製品・瓦・木製品",139.7466784,35.71247324,"0","1","1","1","0","0","0","1","0"
1310501200,13105,"12","ひさかたちょういせき","久堅町遺跡","文京区 小石川四丁目","[縄文時代][近世]","貝塚・屋敷","[近世]土坑　地下式土坑　井戸","縄文土器　打斧　陶磁器　瓦　金属器",139.7437945,35.71328165,"0","1","0","0","0","0","0","1","0"
1310501400,13105,"14","どうざかいせき","動坂遺跡","文京区 本駒込三丁目　本駒込四丁目","[旧石器時代][縄文時代（中期?晩期）][弥生時代][近世]","包蔵地・集落・貝塚・屋敷","[縄文時代]貝塚　堅穴住居跡　集石跡　土坑　溝　[近世]地下室　溝　柱穴","（縄文）土器・石器（打製石器・磨製石器・石鏃・石皿・）　（弥生）土器　（近世）陶磁器・土器・瓦・金属製品・土製品・石製品など",139.7560854,35.72972681,"1","1","1","0","0","0","0","1","0"
1310502100,13105,"21","こいしかわしょくぶつえんないかいづか・はらまちいせき","小石川植物園内貝塚・原町遺跡","文京区 白山三丁目　白山四丁目","[旧石器時代][縄文時代（中期?晩期）][近世]","包蔵地・集落・貝塚・屋敷跡","[縄文時代]竪穴住居跡　土坑　集石　ピット　[近世]土坑　地下室　ピット　地下坑　井戸　溝　塀跡　かわらけ廃棄遺構","(旧石器)石器　(縄文)土器　石器（打斧　磨斧　石槍　石鏃　石匙　石皿　凹石　石棒　石剣）　土偶　(近世)陶磁器　土器　土製品　瓦　金属製品　石製品　銭貨　動物遺体　自然遺物",139.7455797,35.7204176,"1","1","0","0","0","0","0","1","0"
1310502200,13105,"22","はらまちいせき","原町遺跡","文京区 白山四丁目","[縄文時代][近世]","貝塚・屋敷","[近世]土坑　植栽痕　ピット","縄文式土器　（近世）陶磁器・?b器・土器",139.7455454,35.72312128,"0","1","0","0","0","0","0","1","0"
1310502500,13105,"25","せんだぎかいづか","千駄木貝塚","文京区 千駄木一丁目","[旧石器時代][縄文時代][弥生時代（後期）][近世]","集落・貝塚・その他の墓・屋敷","[縄文時代]炉　土坑　住居　集石　炉　廃屋跡　[弥生時代]住居","（縄文）土器・石器・石製品・人骨　（弥生）土器　（近）陶磁器",139.758987,35.722748,"1","1","1","0","0","0","0","1","0"
1310502800,13105,"28","やよいちょういせきぐん","弥生町遺跡群","文京区 弥生二丁目　根津一丁目","[縄文時代][弥生時代][近世]","貝塚","","",139.7641535,35.71590195,"0","1","1","0","0","0","0","1","0"
1310502801,13105,"28-101","やよいちょうかいづか","弥生町貝塚","文京区 弥生二丁目","[縄文時代][弥生時代]","貝塚","","縄文土器　打斧　磨斧　石鏃　土製耳飾　石棒　弥生土器",139.7618189,35.7184943,"0","1","1","0","0","0","0","0","0"
1310502802,13105,"28-102","やよいちょうあさのていかいづか","弥生町浅野邸貝塚","文京区 根津一丁目","[縄文時代（後期?晩期）]","貝塚","","縄文土器　石斧　石鏃　耳飾　独鈷石　土版",139.7631579,35.71749082,"0","1","0","0","0","0","0","0","0"
1310502803,13105,"28-103","やよいにちょうめいせき","弥生二丁目遺跡","文京区 弥生二丁目","[縄文時代（早期?晩期）][弥生時代][近世]","貝塚","※一部、国指定史跡弥生二丁目遺跡となっています。 [弥生時代]溝","縄文土器　弥生土器　燈明皿　砥石　灼骨",139.7645655,35.7167382,"0","1","1","0","0","0","0","1","0"
1310503800,13105,"38","おちゃのみずかいづか","お茶の水貝塚","文京区 湯島一丁目","[縄文時代（前期?晩期）]","貝塚","","縄文土器　石斧　磨石?　石棒?　人骨　獣骨",139.7646685,35.70143345,"0","1","0","0","0","0","0","0","0"
1310504000,13105,"40","ゆしま（きりどおしきた）かいづか","湯島（切通し北）貝塚","文京区 湯島四丁目","[縄文時代（前期?晩期）]","貝塚","","",139.7675524,35.70932315,"0","1","0","0","0","0","0","0","0"
1310504700,13105,"47","ほんごうだいいせきぐん","本郷台遺跡群","文京区 本郷五丁目　本郷七丁目　弥生二丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][平安時代][近世]","包蔵地・集落・貝塚・その他の墓・社寺・屋敷・その他（町屋）","[旧石器時代]石器ブロック　礫群　[縄文時代]遺物集中部　陥穴　[古墳時代]住居跡　[平安時代]住居跡　井戸　[近（近世）]地下式坑　建物跡　組石遺構　土坑　溝　庭園址　井戸　道路状遺構など","（旧石器）ナイフ形石器・石核・剥片・石屑　砕片　（縄文）土器・石器　（弥生）土器　（古墳）土師器・土製品・須恵器　（奈良）土師器・須恵器　（平安）土師器・須恵器・灰釉陶器・緑釉陶器・土錘　（近世）陶磁器・土器・瓦・土製品・石製品・金属製品・古銭・骨角製品・動物遺存体・?b器・瓦器・ガラス製品・木製品",139.7634819,35.71205684,"1","1","1","1","0","1","0","1","0"
1310900100,13109,"1","かみおおさきかいづか","上大崎貝塚","品川区 上大崎一丁目","[縄文時代]","貝塚","","縄文土器　石器",139.72184,35.6351312,"0","1","0","0","0","0","0","0","0"
1310900400,13109,"4","いけだやまきたいせき","池田山北遺跡","品川区 東五反田五丁目","[縄文時代（早期～中期）][弥生時代（後期）]","包蔵地・貝塚・集落","[縄文時代（早期～前期）]住居址　炉跡　貝層　[縄文時代]住居跡　炉跡　土坑　[縄文時代（前期）]～[弥生時代（後期）]竪穴式住居　土坑　[弥生時代]住居跡　炉跡　土坑　溝　[古墳時代]住居跡　土坑","縄文土器　打斧　磨斧　石皿　けつ状耳飾　弥生土器　磁器　燈明皿　擂鉢　動物遺体　打製石斧　耳飾　土器　土師器　石製耳飾",139.7229069,35.63109445,"0","1","1","0","0","0","0","0","0"
1310901000,13109,"10","いるきばしいせき","居木橋遺跡","品川区 大崎二丁目","[縄文時代（早期～後期）][弥生時代][中世]","集落跡・貝塚","[縄文時代]住居　土坑　ピット　[中世]溝","縄文土器　打斧　磨斧　石皿　耳飾　石棒　骨角製釣針　鯨骨製棒状骨角器　獣魚骨　弥生土器　抉入石斧　陶磁器　動物遺体",139.7245685,35.61720399,"0","1","1","0","0","0","1","0","0"
1310901200,13109,"12","（おおい）ごんげんだいかいづか","(大井)権現台貝塚","品川区 広町二丁目","[縄文時代（後期～晩期）]","貝塚","","縄文土器　打斧　磨斧　硬玉大珠　石棒　土偶　土版　骨角器　獣骨",139.7343964,35.60833955,"0","1","0","0","0","0","0","0","0"
1310901400,13109,"14","さいこうじかいづか","西光寺貝塚","品川区 大井四丁目","[縄文時代（中期～後期）][古墳時代]","貝塚・包蔵地","","縄文土器　打斧　須恵器",139.7328131,35.60031371,"0","1","0","1","0","0","0","0","0"
1310901600,13109,"16","おおもりかいづか","大森貝塚","品川区 大井六丁目","[縄文時代（中期～晩期）]","包蔵地・集落・貝塚","[縄文時代]住居　溝","縄文土器　石斧　石鏃　石皿　磨石　滑車形耳飾　石棒　土偶　土版　骨角器　貝製品　人骨",139.7303114,35.59305438,"0","1","0","0","0","0","0","0","0"
1311000800,13110,"8","ひがしやまかいづかいせき","東山貝塚遺跡","目黒区 東山二丁目　東山三丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][平安時代][中世][近世][近代]","集落　貝塚　その他（軍施設）","[旧石器時代]礫群　石器ブロック　[縄文時代]竪穴住居跡　土坑　土壙　土器埋設遺構　落し穴　木杭列　植物遺存体集中　小穴　柱穴群　[弥生時代]竪穴住居跡　溝　土坑　[古墳時代]土坑　[中世]溝　[近世]溝　土坑　［近代］地下式遺構　煉瓦構造物　溝","縄文土器　土偶　土製円盤　土器片錘　打製石斧　磨製石斧　弥生土器　古墳時代土器　陶磁器　細石刃　尖頭器　剥片　角錐状石器　削器　石鏃　敲石　石皿　垂飾　掻器　凹石　磨石　砥石　スタンプ形石器　石剣　石錐　石棒　土版　土製勾玉　耳栓　土錘　土玉　弭形角製品　ヤス状刺突具　骨針　浮子 （平安時代）　瓦　（近代）陶磁器　ガラス製品　鉄製品",139.6866739,35.64782322,"1","1","1","1","0","1","1","1","0"
1311100100,13111,"1","かめづかふきん・まるこたまがわえんきたかいづか","亀塚付近・丸子多摩川園北貝塚","大田区 田園調布一丁目","[縄文時代（前期・後期）]","包蔵地・貝塚","","縄文土器",139.6674392,35.58883561,"0","1","0","0","0","0","0","0","0"
1311104500,13111,"45","でんえんちょうふほんちょうかいづか","田園調布本町貝塚","大田区 田園調布本町","[縄文時代（前期）]","貝塚","","縄文土器",139.6761517,35.58467801,"0","1","0","0","0","0","0","0","0"
1311104800,13111,"48","しもぬまべかいづか","下沼部貝塚","大田区 田園調布本町","[縄文時代（早期～晩期）][弥生時代][近世]","集落・貝塚","[縄文時代]住居　集石　炉　炉穴　焼土　[弥生時代]住居　[近世]墓壙","縄文土器　打斧　磨斧　礫器　石槍　石鏃　掻器　石箆　石錘　石皿　磨石　凹石　敲石　石核　剥片　梵字形石器　耳飾　石棒　石剣　岩版　土版　昆虫形土製品　筒形土製品　獣骨　弥生土器　須恵器　埴輪　銭貨　人骨",139.6724802,35.58533812,"0","1","1","0","0","0","0","1","0"
1311105700,13111,"57","ゆきがやかいづか","雪ヶ谷貝塚","大田区 南雪谷二丁目　 南雪谷三丁目　 南雪谷四丁目　 南雪谷五丁目","[旧石器時代][縄文時代（早期～前期）][弥生時代（後期）][古墳時代][平安時代]","集落・貝塚・その他の墓","","縄文土器　縄文石器　石鏃　石槍　弥生土器",139.6844687,35.58976951,"1","1","1","1","0","1","0","0","0"
1311106000,13111,"60","まごめかいづか","馬込貝塚","大田区 中馬込一丁目　 上池台五丁目","[縄文時代（前期～晩期）]","集落・貝塚","[縄文時代]住居　土坑　土壙　犬埋葬土坑","縄文土器　打斧　磨斧　異形石器　土錘　けつ状耳飾　玉類　骨角製品牙鏃　弓筈　人骨　獣・魚骨",139.7035017,35.59549274,"0","1","0","0","0","0","0","0","0"
1311106200,13111,"62","てんまんぐうふきんかいづか","天満宮付近貝塚","大田区 南馬込二丁目","[縄文時代（前期）]","貝塚","","縄文土器",139.7166881,35.58939185,"0","1","0","0","0","0","0","0","0"
1311106300,13111,"63","まごめいっちょうめかいづか","馬込一丁目貝塚","大田区 南馬込四丁目","[縄文時代（前期）]","貝塚","","縄文土器",139.7140918,35.58647772,"0","1","0","0","0","0","0","0","0"
1311106500,13111,"65","ちょうおんじかいづか","長遠寺貝塚","大田区 南馬込五丁目　 西馬込一丁目","[縄文時代（前期）][弥生時代]","包蔵地・貝塚","","縄文土器　打斧　弥生土器",139.7096019,35.59124845,"0","1","1","0","0","0","0","0","0"
1311106900,13111,"69","おおもりかいづか","大森貝塚","大田区 山王一丁目","[縄文時代（中期～晩期）]","貝塚","","縄文土器　打斧　石鏃　石皿　磨石　耳飾　石棒　土偶　土版　土製品　骨角器　牙鏃　人骨　獣骨",139.7303283,35.59301536,"0","1","0","0","0","0","0","0","0"
1311107400,13111,"74","きりさとまちかいづか","桐里町貝塚","大田区 池上一丁目","[縄文時代（前期）][弥生時代]","貝塚","","縄文土器　弥生土器",139.7069823,35.57945652,"0","1","1","0","0","0","0","0","0"
1311107600,13111,"76","しょうせんかいづか","庄仙貝塚","大田区 久が原一丁目　 北嶺町","[縄文時代（前期～中期）]","貝塚・集落","[縄文時代]住居","縄文土器　打斧　磨斧　石鏃　磨石　凹石　石棒　独鈷石　獣骨",139.6882712,35.586053,"0","1","0","0","0","0","0","0","0"
1311107800,13111,"78","くがはらかいづか・くがはらちょう1026ばんちかいづか","久ヶ原貝塚・久ヶ原町1026番地貝塚","大田区 久が原三丁目　 久が原四丁目","[縄文時代（前期～中期）]","貝塚","","縄文土器",139.6912324,35.58052107,"0","1","0","0","0","0","0","0","0"
1311108500,13111,"85","ちどりくぼかいづか","千鳥久保貝塚","大田区 久が原四丁目　 南久が原一丁目","[縄文時代（中期～後期）]","集落・貝塚","[縄文時代]住居","縄文土器　打斧　凹石　鹿角棒　人骨",139.6891725,35.57711795,"0","1","0","0","0","0","0","0","0"
1311108700,13111,"87","ぞうみょういんうらかいづか","増明院裏貝塚","大田区 鵜の木一丁目","[縄文時代（前期・後期）]","貝塚","","縄文土器　石器　耳飾",139.6829192,35.57566033,"0","1","0","0","0","0","0","0","0"
1311111600,13111,"116","つかごしかいづか","塚越貝塚","大田区 西馬込二丁目","[縄文時代（前期）]","貝塚","","縄文土器",139.7026565,35.58375587,"0","1","0","0","0","0","0","0","0"
1311113700,13111,"137","かみぬまべかいづか","上沼部貝塚","大田区 田園調布四丁目　 田園調布五丁目","[縄文時代（前期・後期～晩期）]","貝塚","","縄文土器",139.6602175,35.59661086,"0","1","0","0","0","0","0","0","0"
1311212500,13112,"125","ろくしょひがしいせき","六所東遺跡","世田谷区 野毛一丁目 野毛二丁目 野毛三丁目 上野毛一丁目","[縄文時代（前期～中期）]","集落・貝塚","[縄文時代]住居","縄文土器 石器 魚骨",139.6408,35.60633,"0","1","0","0","0","0","0","0","0"
1311225000,13112,"250","いなりまるきたいせき","稲荷丸北遺跡","世田谷区 上野毛三丁目","[縄文時代（早期～晩期）][古墳時代]","集落・貝塚","[縄文時代]住居 土坑 ピット [古墳時代]住居 掘立柱建物 土坑 [近世]ピット 溝?","石器 縄文土器 土錘 土製円板 けつ状耳飾 弥生土器 土師器 須恵器 装身具 陶磁器",139.6356912,35.61181815,"0","1","0","1","0","0","0","0","0"
1311302000,13113,"20","めいじじんぐうきたいけえーかいづか","明治神宮北池A貝塚","渋谷区 代々木神園町","[縄文時代（後期～晩期]","貝塚","","縄文土器　独鈷石",139.6992573,35.68015498,"0","1","0","0","0","0","0","0","0"
1311305800,13113,"58","とよさわかいづか","豊沢貝塚","渋谷区 恵比寿二丁目","[縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][平安時代]","集落・貝塚","[縄文時代]住居　土坑　埋甕　陥穴　墓壙　掘立柱建物　[平安時代]掘立柱建物","縄文土器　打製石斧　磨製石斧　石鏃　石皿　磨石　石剣　土偶　砥石　土師器　弥生土器　須恵器　縄文人骨",139.720998,35.64621084,"0","1","1","1","0","1","0","0","0"
1311307300,13113,"73","","渋谷区№73遺跡","渋谷区 東四丁目","[縄文時代（後期）]","貝塚?","","縄文土器",139.7118116,35.65719449,"0","1","0","0","0","0","0","0","0"
1311307900,13113,"79","はねざわかいづか","羽沢貝塚","渋谷区 広尾三丁目　広尾四丁目","[縄文時代（後期）]","貝塚","","縄文土器　打斧　敲石",139.7175648,35.6556961,"0","1","0","0","0","0","0","0","0"
1311600100,13116,"1","ひかわじんじゃうらかいづか","氷川神社裏貝塚","豊島区 池袋本町二丁目　 池袋本町三丁目","[縄文時代（前期～晩期）][弥生時代][平安時代][近世]","包蔵地・貝塚","[近世]土坑　生垣　溝　道　掘立柱建物　作物貯蔵孔　動物埋葬墓　畝状遺構","縄文土器　石斧　石鏃　玉類　土偶　弥生土器　土師器　須恵器　陶磁器　土器　土製品　石製品　金属製品　渡来銭　硝子製品　動物遺体",139.7105424,35.74290873,"0","1","1","0","0","1","0","1","0"
1311600200,13116,"2","いけぶくろひがしかいづか","池袋東貝塚","豊島区 池袋本町三丁目　 池袋本町四丁目","[縄文時代（前期）][古墳時代][奈良時代][平安時代][中世]","包蔵地・貝塚","竪穴住居址　ピット　溝状遺構　畠畝　礎石　道","縄文土器　弥生土器　石斧　石皿　凹石　敲石　土師器　須恵器　陶磁器　瓦　金属製品",139.7141473,35.74416267,"0","1","0","1","1","1","1","0","0"
1311600500,13116,"5","そめいいせき","染井遺跡","豊島区 巣鴨一丁目　 巣鴨二丁目　 巣鴨三丁目　 巣鴨四丁目　 巣鴨五丁目　 駒込一丁目　 駒込二丁目　 駒込三丁目　 駒込四丁目　 駒込五丁目　 駒込六丁目　 駒込七丁目","[縄文時代（早期～後期）][弥生時代（後期）][古墳時代][中世][近世]","包蔵地・集落・貝塚・屋敷（大名屋敷）・その他（町屋）","[縄]住居　陥し穴　[弥生時代]方形周溝墓　[中世]道路　[近世]掘立柱建物　方形竪穴　土坑　地下室　門　井戸　畝　溝　柵列　地鎮址　ピット　畝状遺構","縄文土器　石器　弥生土器　土師器　須恵器　陶磁器　舶載磁器　土製品　石製品　硝子製品　金属製品",139.7413728,35.73716819,"0","1","1","1","0","0","1","1","0"
