"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度","旧石器時代"
1311215900,13112,"159","きたみじんやいせき","喜多見陣屋遺跡","世田谷区 喜多見一丁目 喜多見三丁目 喜多見四丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代（中期～後期][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック [縄文時代]住居 炉穴 土坑 [弥生時代]住居 溝 [古墳時代]住居 竪穴 方形周溝墓 周溝 棺 墓壙 [奈良～平安時代]住居 地下式土坑 [中世～近世]掘立柱建物 ピット 礎石 土坑 井戸 溝 堀 池","石器 縄文土器 弥生土器 土師器 須恵器 埴輪 臼玉 ガラス玉 灰釉 緑釉 陶磁器 土師質土器 鉄製品 鉄鏃 釘 茶臼 羽口 瓦 板碑 銭貨 胞衣容器 人骨 灰釉陶器 円筒埴輪 土製品 鉱滓",139.5966,35.6261,"1"
1311220000,13112,"200","かわらけづかいせき","土器塚遺跡","世田谷区 代沢一丁目 池尻四丁目","[旧石器時代][縄文時代（中期）][弥生時代（後期）][古墳時代]","集落","[弥生時代]後期住居跡 [近世以降]溝","縄文土器 弥生土器 石器 陶磁器類",139.6803853,35.65597217,"1"
1311221500,13112,"215","しょうぎやまいせき","将監山遺跡","世田谷区 瀬田四丁目","[旧石器時代][縄文時代][古墳時代][奈良時代]","包蔵地","","剥片 縄文土器 石器 土師器 陶磁器",139.6279678,35.61990997,"1"
1311224600,13112,"246","かるたいせき","嘉留多遺跡","世田谷区 成城一丁目","[旧石器時代][縄文時代（早期～晩期）][奈良時代][平安時代]","集落","[旧石器時代]ブロック 礫群 炭化物集中箇所 [縄文時代]住居 竪穴状遺構 集石土坑 炉穴群 土坑 ピット [近世]溝状遺構 道路","縄文土器 石器 弥生土器 土師器 須恵器 炭化果核 銭貨",139.6031945,35.63250431,"1"
1311226500,13112,"265","しものだやまいせき","下野田山遺跡","世田谷区 喜多見六丁目","[旧石器時代][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック","石器 焼礫 土師器 陶器 カワラケ",139.6039245,35.6300624,"1"
1311227400,13112,"274","たきがやいせき","滝ヶ谷遺跡","世田谷区 瀬田四丁目","[旧石器時代][縄文時代（早期～中期）][奈良時代][近世]","集落","[旧石器時代]ブロック 礫群 [縄文時代]住居 土坑 溝 [古墳時代]土坑? [奈良時代]住居","主な出土品",139.6263713,35.62034255,"1"
1311227800,13112,"278","からすやまじょう（とりで）せき・からすやまみなみはらいせき","烏山城(砦)跡・烏山南原遺跡","世田谷区 南烏山一丁目 南烏山二丁目","[旧石器時代][縄文時代（中期）][中世][近世]","集落・城館","[旧石器時代]ブロック 礫群 [近世]溝状遺構 [時期不明]溝","石器 焼礫 縄文土器 陶磁器",139.6085982,35.6676234,"1"
1311228100,13112,"281","たなおしいせき","田直遺跡","世田谷区 大蔵五丁目","[旧石器時代][縄文時代(早期～後期)][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック [縄文時代]住居址 土坑 炉穴 集石 ピット 配石 遺物集中部 土器埋設土坑 [古代以降]溝 土坑 ピット [中世以降]土坑 [近世以降]段切り ピット","[旧石器時代]石器 [縄文時代]土器 石器 土製品 石製品（装飾品） [古代以降]土師器 須恵器 [中世以降]陶磁器 [近世以降]陶磁器",139.6064007,35.62882062,"1"
1311228700,13112,"287","せんがわいせき","仙川遺跡","世田谷区 給田三丁目","[旧石器時代][縄文時代（前期）][古墳時代]","集落","[旧石器時代]ブロック [古墳時代]住居","",139.5875251,35.66436561,"1"
1311229400,13112,"294","ひがしやまいせき","東山遺跡","世田谷区 池尻一丁目 池尻二丁目","[旧石器時代][縄文時代（中期）][弥生時代][古墳時代]","集落","[縄文時代]竪穴 土坑","縄文土器 石器",139.6837499,35.647854,"1"
1311229600,13112,"296","とどろきはらいせき","等々力原遺跡","世田谷区 等々力一丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][中世][近世]","集落","[縄文時代]住居 土坑 [弥生時代]住居","石器 縄文土器 石器 弥生土器 陶磁器 銭貨",139.6479353,35.60406427,"1"
1311229700,13112,"297","とどろきねいせき","等々力根遺跡","世田谷区 等々力一丁目","[旧石器時代][縄文時代（早期～後期）][古墳時代][中世][近世]","集落","","縄文土器 石器 土製品 陶磁器 銭貨 鉄製品 土錘 砥石 瓦 土師質土器 硯 礫 埴輪 須恵器 金属製品 ガラス製品",139.6479182,35.60188694,"1"
1311231900,13112,"319","つるがくぼいせき","鶴ヶ久保遺跡","世田谷区 野沢一丁目 下馬三丁目","[旧石器時代][縄文時代（中期～後期）][近世]","集落","[縄文時代]住宅 竪穴 土坑 集石土坑 野外炉 屋外埋甕 伏甕 掘立柱建物跡 ピット [近世]～溝 地下式杭 井戸 土坑 建物跡 ピット","石器 縄文土器 土製品 石器 装飾品 陶磁器 土製品 石製品 銭貨 金属製品 硝子製品",139.6738242,35.63776747,"1"
1311232500,13112,"325","たいしどうしもほんむらいせき","太子堂下本村遺跡","世田谷区 三宿二丁目 太子堂三丁目","[旧石器時代][縄文時代（早期～後期）][古墳時代][奈良時代][平安時代][近世]","集落","","",139.6721799,35.65106232,"1"
1311233300,13112,"333","てんじんやまいせき","天神山遺跡","世田谷区 野毛一丁目","[旧石器時代][縄文時代（後期）][近世]","集落","","",139.645084,35.60138591,"1"
1320200300,13202,"3","まつなかっぱらいせき","松中ッ原遺跡","立川市 一番町五丁目","[旧石器時代][縄文時代（早期）]","包蔵地","","尖頭器 石鏃",139.3754836,35.73202607,"1"
1320200400,13202,"4","てんのうばしびーちてんいせき","天王橋B地点遺跡","立川市 一番町一丁目","[旧石器時代]","包蔵地","","ナイフ形石器 掻器 石核",139.3843413,35.72494691,"1"
1320200500,13202,"5","じょうすいむこういせき","上水向遺跡","立川市 上砂町四丁目","[旧石器時代]","包蔵地","","尖頭器 掻器",139.3938857,35.72862592,"1"
1320200600,13202,"6","みやのはしいせき","宮ノ橋遺跡","立川市 砂川町四丁目","[旧石器時代]","包蔵地","","尖頭器",139.404254,35.7270094,"1"
1320200700,13202,"7","おおやまどうひがしいせき","大山道東遺跡","立川市 砂川町二丁目","[旧石器時代][縄文時代]","包蔵地","","尖頭器 掻器 磨石 スタンプ形石器",139.4020567,35.72115623,"1"
1320200900,13202,"9","かんのんじはらいせき","観音寺原遺跡","立川市 栄町四丁目","[旧石器時代][縄文時代]","包蔵地","","ナイフ形石器 尖頭器 縄文土器 石鏃",139.4243041,35.71245929,"1"
1320201400,13202,"14","おおわだいせき","大和田遺跡","立川市 柴崎町四丁目 錦町五丁目","[旧石器時代][縄文時代（早期・中期～後期）][奈良時代][平安時代][中世][近世]","集落","[縄文時代]住居 集石 土坑 [奈良時代][平安時代]住居 土坑 溝","尖頭器 礫器 縄文土器 打斧 磨斧 石皿 磨石 スタンプ形石器 土師器 須恵器 陶磁器 銭貨",139.4089033,35.69072429,"1"
1320201800,13202,"18","むかいごういせき","向郷遺跡","立川市 錦町四丁目 羽衣町三丁目","[旧石器時代][縄文時代（早期～後期）][奈良時代][平安時代]","集落","[縄文時代]住居 集石 土坑 炉穴","ナイフ形石器 縄文土器 打斧 磨斧 石鏃 磨石 土師器",139.4234894,35.69047063,"1"
1320300300,13203,"3","ごてんやまいせき","御殿山遺跡","武蔵野市 御殿山一丁目","[旧石器時代][縄文時代（早期～後期）]","包蔵地","[縄文時代]住居跡 土坑 屋外炉 敷石住居","ナイフ形石器 剥片 縄文土器 打斧 磨斧 石槍 石鏃 石皿 磨石 凹石 敲石 砥石 土錘 台状土製品 叩石 尖頭器 石錐",139.5731,35.70024,"1"
1320300400,13203,"4","きちじょうじみなみちょういっちょうめいせき","吉祥寺南町一丁目遺跡","武蔵野市 吉祥寺南町一丁目","[旧石器時代] [縄文時代（早期～中期）]","包蔵地","［旧石器時代］ブロック 礫群［縄文土器］土坑 陥し穴 ピット 埋甕","尖頭器 縄文土器 石鏃 打斧 灯明皿 スクレイパー ナイフ形石器 磨斧 敲石",139.5804,35.70076,"1"
1320300500,13203,"5","きちじょうじみなみちょうさんちょうめいせき","吉祥寺南町三丁目遺跡","武蔵野市 吉祥寺南町三丁目","[旧石器時代] [縄文時代（早期～後期）] [平安時代]","包蔵地","ブロック 礫群 土坑 集石 ピット","石器 縄文土器 細石刃 スクレイパー 打製石斧 敲石 剥片",139.5852,35.69714,"1"
1320400100,13204,"1","あいしーゆーこうないいせきぐん","ICU構内遺跡群","三鷹市 大沢三丁目","[旧石器時代][縄文時代（早期～後期）][奈良時代][平安時代][近世]","集落","[旧石器時代]ユニット　礫群　[縄文時代]住居　小竪穴　土坑　配石","石器　縄文土器　石器　土製円板　耳栓　土偶　土師器　陶磁器",139.5281783,35.6866886,"1"
1320400200,13204,"2","のがわこうえんいせき","野川公園遺跡","三鷹市 大沢三丁目","[旧石器時代][縄文時代（中期）][近世]","包蔵地","","縄文土器　陶磁器",139.5294654,35.68325278,"1"
1320400300,13204,"3","さかうえいせき","坂上遺跡","三鷹市 大沢二丁目","[旧石器時代][縄文時代（早期～後期）]","集落","[旧石器時代]ユニット　礫群　[縄文時代]住居　敷石住居　集石　集石土坑　溝状遺構","石器　縄文土器　石器　土偶",139.5313359,35.68085111,"1"
1320400600,13204,"6","でやまいせき","出山遺跡","三鷹市 大沢二丁目","[旧石器時代][縄文時代（早期～後期）][古墳時代][近世]","集落","[旧石器時代]ユニット　礫群　[縄文時代]住居　小竪穴　集石　集石土坑　炉穴　土坑　溝状遺構","石器　縄文土器　石器　土師器　須恵器　カワラケ　陶磁器",139.5331371,35.67883908,"1"
1320401000,13204,"10","のみずばしいせき","野水橋遺跡","三鷹市 大沢二丁目","[旧石器時代][縄文時代（早期・中期）][中世]","包蔵地","","石器　縄文土器　石器　板碑",139.5326815,35.67554427,"1"
1320401200,13204,"12","てんもんだいこうないいせき","天文台構内遺跡","三鷹市 大沢二丁目","[旧石器時代][縄文時代（早期～中期）][奈良時代][平安時代][近世]","集落","[旧石器時代]ユニット　礫群　性格不明遺構　[縄文時代]住居　集石　集石土坑　土坑　[時代不明]ピット","石器　縄文土器　石器　土師器　陶磁器",139.5359284,35.67582296,"1"
1320401400,13204,"14","ふるはちまんいせき","古八幡遺跡","三鷹市 大沢二丁目　 大沢五丁目","[旧石器時代][縄文時代（早期～晩期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地","[縄文時代]集石","石器　縄文土器　石器　土器片錘　陶磁器　石臼　木製高杯　ガラス製品　銭貨　種子材",139.5358014,35.67239775,"1"
1320401500,13204,"15","しもはらいせき","下原遺跡","三鷹市 大沢四丁目　 大沢五丁目","[旧石器時代][縄文時代（早期～中期）][奈良時代][平安時代]","包蔵地","[時代不明]皿鉢状遺構　溝状遺構　[旧石器時代]石器集中部　礫群　炭化物集中　[縄文時代]住居跡　土坑　陥し穴　ピット　[中世][近世]溝","石器　縄文土器　須恵器　陶磁器　鉄製品",139.5373271,35.66874042,"1"
1320401800,13204,"18","はらいせき","原遺跡","三鷹市 大沢一丁目","[旧石器時代][縄文時代（草創期～中期）][近世]","集落","[旧石器時代]ユニット　礫群　[縄文時代]住居　集石　集石土坑　溝状遺構　[時代不明]ピット","石器　縄文土器　石器　土製円板　人形状土製品　陶磁器　銭貨",139.5407709,35.67571175,"1"
1320402000,13204,"20","はねざわだいいせき","羽根沢台遺跡","三鷹市 大沢一丁目　 大沢四丁目","[旧石器時代][縄文時代（早期～中期）][近世]","集落","[旧石器時代]ユニット　礫群　[縄文時代]集石　集石土坑　炉穴　[時代不明]土坑　ピット　溝状遺構","ナイフ形石器　斧形石器　敲石　台石　礫　縄文土器　打斧　磨斧　石皿　磨石　スタンプ形石器　けつ状耳飾　陶磁器　銭貨",139.5404034,35.66997304,"1"
1320402300,13204,"23","ながくぼいせき","長久保遺跡","三鷹市 新川六丁目","[旧石器時代][縄文時代（早期・中期）][近世]","包蔵地","[旧石器時代]ユニット　[縄文時代]土坑　[近世]土坑　ピット　地下室　溝　[時代不明]皿鉢状遺構","石器　縄文土器　石器　陶磁器　ガラス製品",139.5651184,35.68168289,"1"
1320402400,13204,"24","ながしまいせき","長嶋遺跡","三鷹市 新川三丁目　 新川六丁目","[旧石器時代][縄文時代（早期・中期～後期）][近世]","集落","[旧石器時代]ユニット　礫群　[縄文時代]集石　炉穴　陥し穴　[時代不明]ピット　溝状遺構","石器　縄文土器　陶磁器　石製品　銭貨　人骨",139.5677619,35.67933557,"1"
1320600100,13206,"1","むさしこくぶんじあとかんれんいせき","武蔵国分寺跡関連遺跡","府中市 栄町一丁目　 栄町二丁目　 栄町三丁目　 武蔵台一丁目　 武蔵台二丁目","[旧石器時代][縄文時代（前期～後期）][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]炭化物集中部　[縄文時代]集石　土坑　焼土　[奈良時代][平安時代]土坑　火葬墓　[平安時代]住居　掘立柱建物　土坑　道路　溝　[中世][近世]柱穴列　土坑　道路　溝","ナイフ形石器　尖頭器　細石刃　石核　縄文土器　打斧　磨斧　石鏃　石匙　石錐　石錘　ピエス・エスキーユ　石皿　スタンプ形石器　剥片　凹石　敲石　土師器　須恵器　陶器(緑釉・灰釉)　磁器　擂鉢　瓦　石製品　砥石　鉄製品　瓦　銭貨　漆紙文書　土製品　木製くし　煙管",139.470458,35.69050485,"1"
1320600200,13206,"2","むさしこくふかんれんいせき","武蔵国府関連遺跡","府中市 日鋼町、片町一丁目、片町二丁目、片町三丁目 寿町一丁目、寿町二丁目、寿町三丁目、小柳町一丁目、小柳町二丁目 清水が丘一丁目、清水が丘二丁目、清水が丘三丁目 白糸台一丁目、白糸台二丁目、白糸台三丁目、白糸台四丁目、白糸台五丁目、白糸台六丁目 八幡町一丁目、八幡町二丁目、八幡町三丁目 府中町一丁目、府中町二丁目、府中町三丁目 分梅町一丁目、分梅町二丁目、分梅町三丁目 本宿町一丁目、本宿町二丁目、本宿町三丁目、本宿町四丁目 緑町一丁目、緑町二丁目、緑町三丁目 宮西町一丁目、宮西町二丁目、宮西町三丁目、宮西町四丁目、宮西町五丁目 宮町一丁目、宮町二丁目、宮町三丁目 美好町一丁目、美好町二丁目、美好町三丁目 若松町一丁目、若松町二丁目、若松町三丁目、日吉町 西府町一丁目、西府町二丁目、西府町三丁目、西府町四丁目、西府町五丁目、日新町二丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","官衙・集落","奈良時代][平安時代]住居　掘立柱建物　土坑　柵　道路　溝　井戸　土壙墓　地下式横穴墓　火葬墓　火葬遺構","須恵器　土師器　二彩　緑釉　刀子　鉄鏃　鉄斧　紡錘車　石帯　土錘　瓦",139.4847811,35.67019899,"1"
1320804700,13208,"47","こくりょうみなみいせき","国領南遺跡","調布市 国領町五丁目　 国領町六丁目","[旧石器時代][縄文時代（早期・中期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[縄文時代]住居　集石　陥し穴　埋甕　[古墳時代]方形周溝墓　土壙墓　[古墳時代][奈良時代][平安時代]住居　掘立柱建物　溝　[中世]地下式土坑　[近世]土坑　溝","ナイフ形石器　縄文土器　土製品　土師器　須恵器　鉄製品　陶磁器",139.5532333,35.64551589,"1"
1320805000,13208,"50","とびたきゅうきたいせき","飛田給北遺跡","調布市 西町　 飛田給一丁目","[旧石器時代][縄文時代（中期）][奈良時代][平安時代][近世]","集落","[旧石器時代]礫群　[縄文時代]土坑　陥穴　[古墳時代]住居　竪穴状遺構　竈　土坑　竪穴住居　[近世]ピット列　土坑　溝","ナイフ形石器　細石刃　掻器　敲石　磨石　石核　剥片　砕片　縄文土器　打斧　礫器　石槍　石皿　磨石　土玉　土師器　須恵器　砥石　帯金具　陶磁器　打製石斧　墨書土器",139.5240667,35.66610443,"1"
1321000100,13210,"1","ぬくいいせき","貫井遺跡","小金井市 貫井南町三丁目","[旧石器時代][縄文時代（早期～後期）]","集落","[縄文時代]住居 集石 土坑群","剥片 縄文土器 磨斧 石斧 石鏃 石匙 石皿 磨石 耳栓 硬玉製大珠 土製垂飾",139.4939,35.69959,"1"
1321000200,13210,"2","はけうえいせき","はけうえ遺跡","小金井市 貫井南町三丁目 前原町三丁目","[旧石器時代][縄文時代（草創期～後期）]","集落","[旧石器時代]礫群 [縄文時代]住居 集石 土坑","ナイフ形石器 尖頭器 細石刃 局部磨斧 縄文土器 石斧 石鏃 石皿 スタンプ形石器",139.4983,35.69911,"1"
1321000301,13210,"3-1","へいたいさかいせき","平代坂遺跡","小金井市 前原町三丁目","[旧石器時代][縄文時代（中期）][中世]","集落","[旧石器時代]礫群 [縄文時代]住居 [中世]地下式土坑","ナイフ形石器 尖頭器 礫器 磨石 石核 縄文土器 陶器",139.5012,35.69879,"1"
1321000400,13210,"4","にしのだいいせき","西之台遺跡","小金井市 前原町三丁目 中町四丁目","[旧石器時代][縄文時代（草創期～後期）]","集落","[旧石器時代]礫群 [縄文時代]集石 炉穴 土坑","ナイフ形石器 尖頭器 有舌尖頭器 細石刃 細石核 掻器 石核 縄文土器 石斧 スタンプ形石器",139.5062,35.69861,"1"
1321000500,13210,"5","なかざんやいせき","中山谷遺跡","小金井市 中町一丁目 中町二丁目 中町三丁目","[旧石器時代][縄文時代（早期～後期）]","集落","[縄文時代]住居 集石土坑 土坑","細石刃 細石核 礫器 錐状石器 石核 剥片 縄文土器 石斧 石鏃 石匙 石皿 磨石 土器片錘 土製円板",139.5119,35.69695,"1"
