JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,取得住所
1.31E+09,13112,112,しもやまきたいせき,下山北遺跡,世田谷区 岡本一丁目,[旧石器時代][縄文時代（早期～前期）][弥生時代][古墳時代][中世][近世],集落,[旧石器時代]ブロック [縄文時代]住居 集石 土坑 [弥生時代]住居 溝 [古墳時代]住居 [中世]掘立柱建物 井戸 [近世]建物 門,石器 縄文土器 石器 弥生土器 土師器 ガラス玉,東京都世田谷区岡本一丁目
1.31E+09,13112,113,たまがわびょういんしたおうけつぼぐん,玉川病院下横穴墓群,世田谷区 瀬田四丁目,[古墳時代],横穴墓,6基,鉄鏃 刀子 鹿角装刀子 耳環 人骨,東京都世田谷区瀬田四丁目
1.31E+09,13112,114,たまがわじんじゃにしおうけつぼ,玉川神社西横穴墓,世田谷区 瀬田四丁目,[古墳時代],横穴墓,,人骨,東京都世田谷区瀬田四丁目
1.31E+09,13112,115,かみのげいなりづか（にしおか5ごうふん）こふん,上野毛稲荷塚（西岡5号墳）古墳,世田谷区 上野毛二丁目,[古墳時代],古墳,※遺跡範囲のすべてが、世田谷区指定史跡上野毛稲荷塚古墳となっています。 円墳・前方後円墳 [旧石器時代]ブロック [縄文時代]住居 集石 土坑 [弥生時代]住居 溝 [古墳時代]住居 [中世]掘立柱建物 井戸 [近世]建物 門,直刀,東京都世田谷区上野毛二丁目
1.31E+09,13112,116,たにくぼいせき,谷久保遺跡,世田谷区 上野毛四丁目 瀬田二丁目,[縄文時代（中期）],包蔵地,,縄文土器 石器,東京都世田谷区上野毛四丁目
1.31E+09,13112,117,かまがやいせき,鎌ヶ谷遺跡,世田谷区 瀬田一丁目,[旧石器時代][縄文時代（早期～中期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[旧石器時代]ブロック 礫群 [縄文時代]土坑 ピット [弥生時代][古墳時代]V字溝 溝状遺構,縄文土器 石器 弥生土器 土師器 須恵器 陶器,東京都世田谷区瀬田一丁目
1.31E+09,13112,118,やがわうえおうけつぼぐん,谷川上横穴墓群,世田谷区 野毛一丁目,[古墳時代],横穴墓,,人骨,東京都世田谷区野毛一丁目
1.31E+09,13112,119,てんじんやまこふん,天神山古墳,世田谷区 野毛一丁目,[古墳時代],古墳,円墳 [古墳時代]周溝,,東京都世田谷区野毛一丁目
1.31E+09,13112,120,あたごやまおうけつ,あたご山横穴,世田谷区 奥沢一丁目,[古墳時代],横穴墓,,人骨,東京都世田谷区奥沢一丁目
1.31E+09,13112,121,やがわうえいせき,谷川上遺跡,世田谷区 野毛一丁目,[旧石器時代][縄文時代（中期）][古墳時代][中世][近世],集落,[縄文時代]住居 ピット [中世][近世]竪穴土坑 溝,縄文土器 石器 土師器 陶磁器,東京都世田谷区野毛一丁目
1.31E+09,13112,123,しものげいせき,下野毛遺跡,世田谷区 野毛一丁目 野毛二丁目,[旧石器時代][縄文時代（早期～後期）][中世][近世],集落,[縄文時代]住居 集石 炉 土坑,縄文土器 石器 剥片 礫 陶器,東京都世田谷区野毛一丁目
1.31E+09,13112,125,ろくしょひがしいせき,六所東遺跡,世田谷区 野毛一丁目 野毛二丁目 野毛三丁目 上野毛一丁目,[縄文時代（前期～中期）],集落・貝塚,[縄文時代]住居,縄文土器 石器 魚骨,東京都世田谷区野毛一丁目
1.31E+09,13112,126,しものげきしおうけつぼぐん,下野毛岸横穴墓群,世田谷区 野毛三丁目,[古墳時代][奈良時代],横穴墓,,須恵器 人骨,東京都世田谷区野毛三丁目
1.31E+09,13112,127,のげおおつか（にしおか8ごうふん）こふん,野毛大塚(西岡8号墳)古墳,世田谷区 野毛一丁目,[古墳時代],古墳,※遺跡範囲のすべてが、都指定史跡野毛大塚古墳となっています。 前方後円墳 帆立貝式 [古墳時代]石棺 木棺 粘土槨,土師器 鉄鎌 鉄斧 鉄鏃 刀子 埴輪 玉類 鏡 直刀 鉄剣 鉄矛 銅釧 短甲 頸甲 肩甲 冑 石製模造品 人骨 くし 靫 矢筒,東京都世田谷区野毛一丁目
1.31E+09,13112,128,すくもづか（にしおか6ごう）こふん,スクモ塚(西岡6号)古墳,世田谷区 野毛三丁目,[古墳時代],古墳,古墳周溝,縄文土器 土師器 埴輪,東京都世田谷区野毛三丁目
