JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,取得住所,色,経度,緯度
1320501400,13205,14,ちょうじゃくぼ（えぬ-16）いせき,長者窪(N-16)遺跡,青梅市 小曽木二丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器　石斧　玉斧,東京都青梅市小曾木二丁目,blue,139.2740266557269,35.80870726944744
1320501500,13205,15,ほとざわ（えぬ-14)いせき,ホト沢(N-14)遺跡,青梅市 小曽木三丁目,[縄文時代（中期）],包蔵地,,縄文土器,東京都青梅市小曾木三丁目,blue,139.27405718034197,35.81895720208851
1320501600,13205,16,えぬ-13いせき,N-13遺跡,青梅市 小曽木四丁目,[縄文時代（中期）],包蔵地,,縄文土器,東京都青梅市小曾木四丁目,blue,139.27996233131626,35.82043265729298
1320501700,13205,17,こむし（えぬ-12）いせき,古武士(N-12)遺跡,青梅市 小曽木四丁目,[縄文時代（中期）],包蔵地,,縄文土器,東京都青梅市小曾木四丁目,blue,139.2825029195642,35.819653175602724
1320501800,13205,18,いわくら（N-11)いせき,岩蔵(N-11)遺跡,青梅市 小曽木五丁目,[縄文時代（前期～後期）],集落,※遺跡範囲のすべてが市指定史跡岩蔵住居跡となっています。 　 [縄文時代]住居,縄文土器,東京都青梅市小曾木五丁目,blue,139.28789308640768,35.82346699651737
1320501900,13205,19,こぶいち（えぬ-10）いせき,小布市(N-10)遺跡,青梅市 小曽木一丁目,[縄文時代（前期～中期）],包蔵地,,縄文土器,東京都青梅市小曾木一丁目,blue,139.29273393736867,35.82380104635152
1320502000,13205,20,えぬ-9いせき,N-9遺跡,青梅市 小曽木四丁目,[縄文時代（前期）],包蔵地,,縄文土器　剥片,東京都青梅市小曾木四丁目,blue,139.28809908019093,35.8257774700772
1320502100,13205,21,おおしょ（えぬ-8）いせき,大所(N-8)遺跡,青梅市 富岡三丁目,[縄文時代（中期）],包蔵地,,縄文土器,東京都青梅市富岡三丁目,blue,139.28840807053854,35.82658472861519
1320502200,13205,22,えぬ-18遺跡,N-18遺跡,青梅市 富岡二丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器,東京都青梅市富岡二丁目,blue,139.29311159318385,35.83101058131004
1320502300,13205,23,えぬ-7いせき,N-7遺跡,青梅市 富岡一丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器　打斧　掻器,東京都青梅市富岡一丁目,blue,139.29276826912024,35.833153833738606
1320502400,13205,24,えぬ-6遺跡,N-6遺跡,青梅市 富岡二丁目,[縄文時代（中期）],包蔵地,,縄文土器　石斧,東京都青梅市富岡二丁目,blue,139.28882005876002,35.83607635208217
1320502500,13205,25,かんのくら（てぃー-1）いせき,神の倉(T-1)遺跡,青梅市 御岳二丁目,[縄文時代（中期）],包蔵地,,縄文土器　石鏃　剥片,東京都青梅市御岳二丁目,blue,139.17450098046393,35.805925441706506
1320502600,13205,26,よこおはら（てぃー-2）いせき,横尾原(T-2)遺跡,青梅市 御岳,[縄文時代（前期～中期）],包蔵地,,縄文土器　石斧　剥片,東京都青梅市御岳,blue,139.1774192212528,35.80055144951983
1320502700,13205,27,てぃー-3いせき,T-3遺跡,青梅市 沢井三丁目,[縄文時代（前期）][平安時代],包蔵地,,縄文土器　土師器,東京都青梅市沢井三丁目,blue,139.18383935570313,35.80520150657256
1320502800,13205,28,よこおす（てぃー-4）いせき,横尾子(T-4)遺跡,青梅市 沢井三丁目,[縄文時代（早期～後期）][平安時代],包蔵地,,縄文土器　石鏃　土師器,東京都青梅市沢井三丁目,blue,139.18493798877756,35.80715055167397
1320502900,13205,29,てぃー-5いせき,T-5遺跡,青梅市 沢井三丁目,[縄文時代（中期）],包蔵地,,縄文土器　剥片,東京都青梅市沢井三丁目,blue,139.18679193217253,35.8067050602924
1320503000,13205,30,おおだいらいせき,大平遺跡,青梅市 沢井二丁目,[縄文時代（前期～中期）],集落,[縄文時代]住居　土坑　石器製作址,縄文土器　石斧　石皿　石棒,東京都青梅市沢井二丁目,blue,139.19331506318704,35.80589760013038
1320503100,13205,31,てぃー-7いせき,T-7遺跡,青梅市 沢井一丁目,[縄文時代（早期～前期・後期）],包蔵地,,縄文土器　石斧　石鏃　剥片　石器,東京都青梅市沢井一丁目,blue,139.20687630967444,35.8068442772814
1320503200,13205,32,よろいづか,鎧塚,青梅市 沢井一丁目,[中世],塚,※遺跡範囲のすべてが青梅市指定史跡鎧塚となっています。,,東京都青梅市沢井一丁目,blue,139.20824960069007,35.80701133734607
1320503300,13205,33,さくらばしはら（てぃー-9）いせき,桜橋原(T-9)遺跡,青梅市 二俣尾五丁目,[縄文時代（早期～中期）][奈良時代][平安時代],集落,[縄文時代]住居　土坑　ピット群,縄文土器　石斧　礫器　石鏃　石皿　土師器　須恵器,東京都青梅市二俣尾五丁目,blue,139.2106871923738,35.807623886848035
1320503400,13205,34,みねのいで（てぃー-8）遺跡,峰之出(T-8)遺跡,青梅市 二俣尾五丁目,[縄文時代（前期～中期）][奈良時代][平安時代],包蔵地,,縄文土器　石斧　石鏃　土師器　須恵器,東京都青梅市二俣尾五丁目,blue,139.21075585718648,35.81118770776291
1320503500,13205,35,からかいじょうあと,辛垣城跡,青梅市 二俣尾辛垣山,[中世],城館,[中世]石垣　空堀　土塁,陶磁器（古瀬戸・青磁）　鉄砲弾,東京都青梅市二俣尾,blue,139.2205748880792,35.81180022399033
1320503600,13205,36,こやしき,古屋敷,青梅市 二俣尾四丁目,[中世],城館,,,東京都青梅市二俣尾四丁目,blue,139.21563104120872,35.80559132196831
1320503700,13205,37,てぃー-15いせき,T-15遺跡,青梅市 二俣尾四丁目,[縄文時代（中期）],包蔵地,,縄文土器　石鏃　剥片　土師器　須恵器,東京都青梅市二俣尾四丁目,blue,139.2154937115833,35.80509013388378
1320503800,13205,38,にしじょう（てぃー-14）いせき,西城(T-14)遺跡,青梅市 二俣尾四丁目,[縄文時代（早期～後期）][平安時代],包蔵地,,縄文土器　石斧　礫器　石鏃　スクレイパー　剥片　打製石斧　石皿　磨石　凹石　須恵器片,東京都青梅市二俣尾四丁目,blue,139.21442941157005,35.80289043631264
1320503900,13205,39,ますがたやまじょうあと,枡形山城跡,青梅市 二俣尾,[中世],城館,,,東京都青梅市二俣尾,blue,139.22332147011045,35.80600897434232
1320504000,13205,40,かみおいばら（てぃー-16）いせき,上生原(T-16)遺跡,青梅市 二俣尾三丁目,[縄文時代（前期～後期）][奈良時代][平安時代],集落,[縄文時代]炉　土坑,縄文土器　土師器　須恵器,東京都青梅市二俣尾三丁目,blue,139.21741631913613,35.80102482136465
1320504100,13205,41,なかじゅく（てぃー-17）いせき,中宿(T-17)遺跡,青梅市 二俣尾三丁目,[縄文時代（中期～後期）],包蔵地,[縄文時代]遺物包含層　住居跡　土坑　配石,縄文土器　打製石斧　磨石　剥片　異形土器　耳飾　土偶　石棒　石剣　磨製石斧　石核　石鏃　石錘　動物遺体,東京都青梅市二俣尾三丁目,blue,139.21913293290567,35.80069067676335
1320504200,13205,42,,青梅市№42遺跡,青梅市 二俣尾三丁目,[縄文時代],包蔵地,,石核　須恵器,東京都青梅市二俣尾三丁目,blue,139.220300230138,35.8014424998742
1320504300,13205,43,てぃー-18いせき,T-18遺跡,青梅市 二俣尾二丁目,[縄文時代（中期）],包蔵地,,縄文土器　石斧　石鏃　剥片,東京都青梅市二俣尾二丁目,blue,139.22009423635467,35.799270547855684
1320504400,13205,44,たきふりはた（てぃー-19）いせき,滝振畑(T-19)遺跡,青梅市 二俣尾二丁目,[縄文時代（前期～中期）],集落,[縄文時代]住居　集石　土坑,縄文土器　打斧　磨斧　礫器　石鏃　剥片　炭化物,東京都青梅市二俣尾二丁目,blue,139.22005990460315,35.79751623560857
1320504500,13205,45,しもじゅく（てぃー-20）いせき,下宿(T-20)遺跡,青梅市 二俣尾二丁目,[縄文時代（中期）],包蔵地,[縄文時代]炉,縄文土器　石斧　石匙　石皿,東京都青梅市二俣尾二丁目,blue,139.22342446798433,35.79863008927889
1320504600,13205,46,てぃー-21いせき,T-21遺跡,青梅市 二俣尾一丁目,[縄文時代（後期）],包蔵地,,縄文土器,東京都青梅市二俣尾一丁目,blue,139.2241454452437,35.79670868124221
1320504700,13205,47,にしかいと（てぃー-10）いせき,西改戸(T-10)遺跡,青梅市 柚木町三丁目,[縄文時代（中期）][奈良時代][平安時代],集落,[平安時代]住居,縄文土器　土師器　須恵器,東京都青梅市柚木町三丁目,blue,139.20886758400454,35.80308534620302
1320504800,13205,48,おおぶね（てぃー-11）いせき,大船(T-11)遺跡,青梅市 柚木町二丁目,[縄文時代（中期～後期）],集落,[縄文時代]敷石住居跡　屋外炉　土坑　配石　集石　ピット　単独埋甕,縄文土器　打斧　石鏃　打製石斧　石匙　石棒　土偶　ミニチュア土器,東京都青梅市柚木町二丁目,blue,139.2114081715976,35.80130327129281
1320504900,13205,49,てぃー-12いせき,T-12遺跡,青梅市 柚木町二丁目,[縄文時代（前期）],包蔵地,,縄文土器,東京都青梅市柚木町二丁目,blue,139.2135711046853,35.800189455101645
1320505000,13205,50,てぃー-13いせき,T-13遺跡,青梅市 柚木町二丁目,[縄文時代（中期）][奈良時代][平安時代],包蔵地,,縄文土器　土師器　須恵器,東京都青梅市柚木町二丁目,blue,139.21463540469853,35.799354082709954
1320505100,13205,51,てぃー-22いせき,T-22遺跡,青梅市 柚木町一丁目,[縄文時代（前期）][奈良時代][平安時代],包蔵地,,縄文土器　須恵器,東京都青梅市柚木町一丁目,blue,139.21250680205264,35.793004969668246
1320505200,13205,52,やまのかみと（てぃー-23）いせき,山の神戸(T-23)遺跡,青梅市 梅郷六丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器　石斧　石皿　磨石　石棒　剥片　打製石斧　礫器,東京都青梅市梅郷六丁目,blue,139.2141890840707,35.79216952173543
1320505300,13205,53,しもいなりまえ（てぃー-24）いせき,下稲荷前(T-24)遺跡,青梅市 梅郷六丁目,[縄文時代（前期～後期）][奈良時代][平安時代],包蔵地,,縄文土器　石斧　土師器　須恵器,東京都青梅市梅郷六丁目,blue,139.22016290051255,35.794675839183256
1320505400,13205,54,しもしみず（てぃー-25）いせき,下清水(T-25)遺跡,青梅市 梅郷五丁目,[縄文時代（中期～後期）],集落,[縄文時代]住居　集石　土坑　配石,縄文土器　打斧　礫器　石鏃　削器　石皿　磨石,東京都青梅市梅郷五丁目,blue,139.2254500727562,35.79150115664015
1320505500,13205,55,まとば（てぃー-26）いせき,的場(T-26)遺跡,青梅市 梅郷三丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧,東京都青梅市梅郷三丁目,blue,139.22637704314403,35.788159248968796
1320505600,13205,56,すぎだいらさくあと,杉平柵跡,青梅市 梅郷一丁目,[中世],城館・柵跡,,,東京都青梅市梅郷一丁目,blue,139.22091821230646,35.7831739777713
1320505700,13205,57,すぎだいら（てぃー-27）いせき,杉平(T-27)遺跡,青梅市 梅郷一丁目,[縄文時代（中期～後期）][奈良時代][平安時代],集落,[縄文時代]住居　集石　土坑　単独埋甕,縄文土器　打斧　磨斧　石鏃　石匙　石錐　石皿　磨石　凹石　石器　須恵器,東京都青梅市梅郷一丁目,blue,139.22301248058145,35.78239413039634
1320505800,13205,58,うえはら（てぃー-28）いせき,上原(T-28)遺跡,青梅市 和田町二丁目,[縄文時代（早期～前期）],包蔵地,[縄文時代]土坑,縄文土器　礫器　石鏃,東京都青梅市和田町二丁目,blue,139.2260680539425,35.78033306737696
1320505900,13205,59,うりゅうだけ（てぃー-29）いせき,雨竜岳(T-29)遺跡,青梅市 和田町二丁目,[縄文時代（早期～中期）][奈良時代][平安時代],集落,[縄文時代]住居　土坑　配石,縄文土器　礫器,東京都青梅市和田町二丁目,blue,139.2278876642763,35.77938607433056
1320506000,13205,60,おおづき（てぃー-30）いせき,大附(T-30)遺跡,青梅市 和田町一丁目,[縄文時代（早期～後期）][奈良時代][平安時代],集落,[縄文時代]住居,縄文土器　打斧　石鏃　土師器　須恵器,東京都青梅市和田町一丁目,blue,139.23286584486272,35.7784669217334
1320506100,13205,61,てぃー-31いせき,T-31遺跡,青梅市 和田町一丁目,[奈良時代][平安時代],包蔵地,,土師器,東京都青梅市和田町一丁目,blue,139.23423913587834,35.77495734104548
1320506200,13205,62,てぃー-62いせき,T-62遺跡,青梅市 日向和田三丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器,東京都青梅市日向和田三丁目,blue,139.22878030553187,35.78685030033755
1320506300,13205,63,ちゃどうやきかまあと,茶道焼窯跡,青梅市 日向和田二丁目,[近世],窯,,陶器,東京都青梅市日向和田二丁目,blue,139.23530343851093,35.7828397602259
1320506400,13205,64,くずればし（てぃー-32）いせき,崩橋(T-32)遺跡,青梅市 日向和田一丁目,[縄文時代（早期～後期）][奈良時代][平安時代],集落,[縄文時代]住居 土坑 集石 竪穴遺構,縄文土器 石斧 礫器 石鏃 掻器 石皿 磨石 凹石 剥片,東京都青梅市日向和田一丁目,blue,139.23770669582373,35.7864603974994
1320506500,13205,65,たてのさくあと,楯の柵跡,青梅市 日向和田一丁目,[中世],城館,[中世]空堀　土橋,,東京都青梅市日向和田一丁目,blue,139.2433371895117,35.78899474490446
1320506600,13205,66,てぃー-33いせき,T-33遺跡,青梅市 日向和田一丁目,[縄文時代（前期～中期）],包蔵地,,縄文土器,東京都青梅市日向和田一丁目,blue,139.23956063921872,35.788883346307955
1320506700,13205,67,ものみやぐらあと,物見櫓跡,青梅市 裏宿町,[中世],城館,※遺跡範囲のすべてが青梅市指定史跡物見櫓（矢倉台）となっています。,,東京都青梅市裏宿町,blue,139.2356467596277,35.792531557209614
1320506800,13205,68,うらじゅく（てぃー-39）いせき,裏宿(T-39)遺跡,青梅市 裏宿町,[旧石器時代][縄文時代（早期～後期）][奈良時代][平安時代],集落,[縄文時代]住居　竪穴状遺構　土坑　[奈良時代][平安時代]住居　集石　土坑,縄文土器　打斧　磨斧　石鏃　掻器　石皿　磨石　凹石　剥片　石棒　土師器　須恵器　板碑　銭貨,東京都青梅市裏宿町,blue,139.24656442392228,35.790331511899055
1320506900,13205,69,もりしたじんやあと,森下陣屋跡,青梅市 森下町,[近世],屋敷,陣屋,,東京都青梅市森下町,blue,139.24907068009125,35.79022011544191
1320507000,13205,70,もりしたいせき,森下遺跡,青梅市 森下町,[縄文時代（後期）],包蔵地,,縄文土器　凹石　石棒,東京都青梅市森下町,blue,139.25157693626025,35.7906935488416
1320507100,13205,71,あまがせいせき,天ヶ瀬遺跡,青梅市 天ヶ瀬町,［縄文時代］［中世］［近世］,包蔵地　その他の墓,,縄文土器　陶器,東京都青梅市天ヶ瀬町,blue,139.2506156321564,35.787908608302445
1320507200,13205,72,おおやな（てぃー-41）いせき,大柳（T-41）遺跡,青梅市 大柳町,[縄文時代（前期～後期）][奈良時代][平安時代],包蔵地,[平安時代]住居跡,縄文土器　打斧　土師器　須恵器　中国製青磁,東京都青梅市大柳町,blue,139.25085595834608,35.78565273343001
1320507300,13205,73,いなりやま（てぃー-44）いせき,稲荷山(T-44)遺跡,青梅市 本町,[縄文時代（前期）][奈良時代][平安時代],包蔵地,,縄文土器　土師器　須恵器　鉄器,東京都青梅市本町,blue,139.2602594100538,35.79188855210539
1320507400,13205,74,たけはら（てぃー-35）いせき,竹原(T-35)遺跡,青梅市 畑中三丁目,[縄文時代（後期）],包蔵地,,縄文土器　磨斧,東京都青梅市畑中三丁目,blue,139.23770669516892,35.78217131454478
1320507500,13205,75,たけはら（てぃー-36・37）いせき,竹原(T-36・37)遺跡,青梅市 畑中三丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器　打斧　磨斧　礫器　石匙　石皿　凹石,東京都青梅市畑中三丁目,blue,139.23911431924577,35.78150286643023
1320507600,13205,76,はしうえ（てぃー-38）いせき,橋上(T-38)遺跡,青梅市 畑中二丁目,[縄文時代（早期～後期）],包蔵地,,縄文土器　打斧　磨斧,東京都青梅市畑中二丁目,blue,139.24251321437842,35.78348034740118
1320507700,13205,77,あらた（てぃー-34）いせき,荒田(T-34)遺跡,青梅市 畑中二丁目,[奈良時代][平安時代],包蔵地,,土師器,東京都青梅市畑中二丁目,blue,139.24254754612994,35.78542992538438
1320507800,13205,78,したうちいせき,下内遺跡,青梅市 畑中一丁目,[縄文時代（中期～後期）][平安時代],包蔵地・集落,[平安時代]住居　土坑,縄文土器　打斧　土師器　須恵器,東京都青梅市畑中一丁目,blue,139.24810937631483,35.78406522857922
1320507900,13205,79,,青梅市№79遺跡,青梅市 畑中一丁目,[縄文時代（中期）],集落,[縄文時代]炉,縄文土器,東京都青梅市畑中一丁目,blue,139.2488303535742,35.782811912418936
1320508000,13205,80,こまぎのいせき,駒木野遺跡,青梅市 駒木町一丁目,[縄文時代（前期～中期）][平安時代],集落,[縄文時代]住居　集石　土坑　配石　埋甕,縄文土器　石斧　石鏃　石匙　石錐　石皿　磨石　耳飾　土偶　須恵器,東京都青梅市駒木町一丁目,blue,139.2555902204697,35.78422984197533
1320508100,13205,81,きよさわ（てぃー-54）いせき,喜代沢(T-54)遺跡,青梅市 駒木町一丁目,[縄文時代（中期～晩期）][奈良時代][平安時代],集落,[縄文時代]住居　土坑　配石遺構,縄文土器　打斧　磨斧　掻器　石錘　石皿　磨石　砥石　土錘　耳飾　玉類　石棒　石剣　岩版　土偶　土製品　礫　須恵器,東京都青梅市駒木町一丁目,blue,139.26094605556162,35.78395132955754
1320508200,13205,82,てぃー-52いせき,T-52遺跡,青梅市 千ヶ瀬町六丁目,[縄文時代（後期）][奈良時代][平安時代],包蔵地,,縄文土器　石棒　土師器,東京都青梅市千ヶ瀬町六丁目,blue,139.25878312247394,35.785204628815194
1320508300,13205,83,てぃー-50いせき,T-50遺跡,青梅市 千ヶ瀬町六丁目,[縄文時代（後期）],包蔵地,,縄文土器,東京都青梅市千ヶ瀬町六丁目,blue,139.26111771693857,35.787237714755676
1320508400,13205,84,てぃー-48いせき,T-48遺跡,青梅市 青梅,[縄文時代（中期）],包蔵地,,縄文土器　石皿　石棒,東京都青梅市梅郷,blue,139.26163629236035,35.78827065017383
1320508500,13205,85,てぃー-49いせき,T-49遺跡,青梅市 西分町三丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器　打斧,東京都青梅市西分町三丁目,blue,139.26218201760668,35.788463110789934
1320508600,13205,86,さくまかいと（てぃー51）いせき,作馬街道(T-51)遺跡,青梅市 西分町三丁目,[縄文時代（前期）][弥生時代],包蔵地,,縄文土器　弥生土器,東京都青梅市西分町三丁目,blue,139.26736619197646,35.788017512486405
1320508700,13205,87,てぃー45いせき,T-45遺跡,青梅市 西分町一丁目,[縄文時代（前期・後期）][奈良時代][平安時代],包蔵地,,縄文土器　土師器　須恵器,東京都青梅市西分町一丁目,blue,139.263349314839,35.79088599880971
1320508800,13205,88,ちがせ（てぃー55・56・57）いせき,千ヶ瀬(T-55・56・57)遺跡,青梅市 千ヶ瀬町二丁目,[縄文時代（前期～後期）],集落,[縄文時代]住居跡,縄文土器　打斧　磨斧　石鏃　掻器　石匙　打製石斧　スクレイパー,東京都青梅市千ヶ瀬町二丁目,blue,139.27172638973963,35.78342215444397
1320508900,13205,89,おいせやま（てぃー-58）いせき,お伊勢山(T-58)遺跡,青梅市 千ヶ瀬町一丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器　打斧　土製円盤,東京都青梅市千ヶ瀬町一丁目,blue,139.2785585127388,35.782809420460836
1320509000,13205,90,,青梅市№90遺跡,青梅市 河辺町三丁目,[時代不明],古墳,,壺　直刀,東京都青梅市河辺町三丁目,blue,139.2799661361608,35.78138897090879
1320509100,13205,91,かべみんようあと,河辺民窯跡,青梅市 河辺,[近世],窯,,,東京都青梅市河辺町,blue,139.2869699215192,35.77893794076455
1320509200,13205,92,てらかいと（てぃー-59）いせき,寺改戸(T-59)遺跡,青梅市 長淵四丁目,[縄文時代（前期～後期）],包蔵地,[縄文時代]集石　土坑　配石遺構,縄文土器　打斧　磨斧　礫器　石錘　土偶,東京都青梅市長淵四丁目,blue,139.27454163691098,35.7808040732271
1320509300,13205,93,みたやかたあと,三田館跡,青梅市 長淵一丁目,[中世],城館,,,東京都青梅市長淵一丁目,blue,139.28017213059894,35.77606902537167
1320509400,13205,94,かたすな（てぃー-60）いせき,方砂(T-60)遺跡,青梅市 友田町一丁目,[縄文時代（後期）],集落,[縄文時代]敷石住居跡,縄文土器　石錘,東京都青梅市友田町一丁目,blue,139.29308578752622,35.766662876817065
1320509500,13205,95,おおにた（てぃー-61）いせき,大荷田(T-61)遺跡,青梅市 友田町一丁目,[縄文時代（早期～後期）][奈良時代][平安時代],包蔵地,,縄文土器　礫器　土師器,東京都青梅市友田町一丁目,blue,139.28625366419965,35.76407210052474
1320509600,13205,96,てぃー-46いせき,T-46遺跡,青梅市 勝沼二丁目,[縄文時代（前期）],包蔵地,,,東京都青梅市勝沼二丁目,blue,139.26520325757912,35.792501216097975
1320509700,13205,97,てぃー-47いせき,T-47遺跡,青梅市 勝沼三丁目,[縄文時代（早期～前期）][奈良時代][平安時代],包蔵地,,縄文土器　石器,東京都青梅市勝沼三丁目,blue,139.2671258657868,35.79199994542704
1320509800,13205,98,けー-11-2いせき,K-11-2遺跡,青梅市 東青梅二丁目,[縄文時代（中期）],包蔵地,[縄文時代]住居,縄文土器　打斧　磨石,東京都青梅市東青梅二丁目,blue,139.2736833292077,35.791331579967846
1320509900,13205,99,おおつかやま（けー-11-1）いせき,大塚山(K-11-1)遺跡,青梅市 東青梅二丁目,[縄文時代（早期～中期）][奈良時代][平安時代],包蔵地,,縄文土器　須恵器,東京都青梅市東青梅二丁目,blue,139.2720697120024,35.79255691288007
1320510000,13205,100,けー-4いせき,K-4遺跡,青梅市 東青梅六丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器,東京都青梅市東青梅六丁目,blue,139.27485062578515,35.795898635618286
1320510100,13205,101,かつぬまじょうあと,勝沼城跡,青梅市 東青梅六丁目,[中世],城館,,,東京都青梅市東青梅六丁目,blue,139.27361466439496,35.79592648335468
1320510200,13205,102,けー-3いせき,K-3遺跡,青梅市 根ヶ布一丁目,[縄文時代（中期）][奈良時代][平安時代],包蔵地,,縄文土器　打斧　磨斧　土師器　須恵器,東京都青梅市根ヶ布一丁目,blue,139.27100541264403,35.797402366486395
1320510300,13205,103,けー-42いせき,K-42遺跡,青梅市 吹上,[縄文時代（前期～中期）],包蔵地,,縄文土器,東京都青梅市吹上,blue,139.27629258570622,35.797402364096286
1320510400,13205,104,ふきこうち,吹耕地(K-2)遺跡,青梅市 吹上,[縄文時代（中期）][古墳時代][奈良時代][平安時代],包蔵地,,縄文土器　打斧　石鏃　土師器　須恵器,東京都青梅市吹上,blue,139.28068711669428,35.79687327801146
1320510500,13205,105,けー-1いせき,K-1遺跡,青梅市 吹上,[縄文時代（中期）],包蔵地,,縄文土器,東京都青梅市吹上,blue,139.28178574911388,35.79801498451346
1320510600,13205,106,あまだいらみんようあといせき,天平民窯跡遺跡,青梅市 吹上,[近世],窯,,陶器,東京都青梅市吹上,blue,139.28202607530358,35.79971359614551
1320510700,13205,107,つか（さんき）,塚（三基）,青梅市 吹上,[中世],塚,,,東京都青梅市吹上,blue,139.28120210147998,35.80157924082526
1320510800,13205,108,けー-5いせき,K-5遺跡,青梅市 師岡町一丁目,[縄文時代（中期～後期）][古墳時代][奈良時代][平安時代],包蔵地,[縄文時代]住居　土坑　配石状遺構,縄文土器　スタンプ形石器　石鏃　打斧　石匙　土師器　須恵器,東京都青梅市師岡町一丁目,blue,139.27773454087972,35.795313845505916
1320510900,13205,109,ばば（けー-6・7）いせき,馬場(K-6・7)遺跡,青梅市 師岡町一丁目　 師岡町二丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代（中期～後期）][古墳時代][奈良時代][平安時代][中世],集落,[旧石器時代]ユニット　[縄文時代]集石　土坑　[弥生時代]住居　方形周溝墓　[奈良時代][平安時代]土坑　井戸状遺構　鍛冶工房,細石刃　細石刃核　掻器　縄文土器　石器　弥生土器　抉入石斧　片刃石斧　石鏃　土師器　須恵器　陶磁器(青磁)　木器　鉄器,東京都青梅市師岡町一丁目,blue,139.2824037304638,35.795954330815746
1320511000,13205,110,けー-12・13いせき,K-12・13遺跡,青梅市 師岡町二丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代],包蔵地,,縄文土器　剥片　土師器　須恵器,東京都青梅市師岡町二丁目,blue,139.2829873794074,35.79186070481292
