JASID,自治体コード,遺跡番号,ふりがな,遺跡名,住所,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13106003203,13106,32-3,てんのうじいせき,天王寺遺跡,台東区 谷中七丁目,[古墳時代][奈良時代][平安時代][近世],包蔵地・集落・社寺,,古墳～平安時代土器　近世陶磁器・瓦・石製品,139.7700235,35.7245899
13106003204,13106,32-4,てんのうじいせき,天王寺遺跡,台東区 谷中七丁目,[近世],社寺,※遺跡範囲のすべてが、都指定史跡天王寺五重塔跡となっています。 [近世]礎石,銅経筒　金銅舎利容器,139.7708475,35.72530063
13106003300,13106,33,なかおかちまちさんちょうめいせき,仲御徒町三丁目遺跡,台東区 上野四丁目　上野五丁目,[近世],社寺・屋敷・その他（町屋）,[近世]墓坑（円形木棺）　土抗　埋桶　ピット　井戸　木桶　木桝　溝状遺溝　磁石　胞衣皿　磁石列,近世陶磁器・土器・瓦・金属製品・石製品・木製品・ガラス製品,139.7746038,35.70774166
13106003400,13106,34,にちょうまちいせき,二長町遺跡,台東区 台東一丁目,[近世],屋敷,[近世]礎石建物跡　地下式坑　井戸跡　木樋遺構,陶磁器等　古式土師器,139.7779624,35.70171488
13106003500,13106,35,かやちょういせき,茅町遺跡,台東区 池之端一丁目,[縄文時代（早期～前期・後期～晩期）][古墳時代][奈良時代][平安時代][近世],包蔵地・集落・屋敷・その他（町屋）,[縄文時代]炉六　[古墳時代]貝　廃棄土坑　[平安時代]住居跡　[近世]井戸跡　地下式坑　溝,縄文土器・石器（早、後、晩）・土師器・須恵器・貝　近世陶磁器・土器・瓦・金属・石製品　木製品,139.7674765,35.7095401
13106003600,13106,36,あさくさしばさきちょういせき,浅草芝崎町遺跡,台東区 西浅草三丁目,[奈良時代][平安時代][中世][近世],包蔵地・屋敷,杭列　溝　土坑　水田跡?　枡組,近世陶磁器・瓦　中世陶器・須恵器　陶磁器 木製品　金属製品　井戸枠,139.7899009,35.71707951
13106003700,13106,37,かみなりもんいせき,雷門遺跡,台東区 雷門二丁目,[奈良時代][平安時代][近世],集落・その他（町屋）,井戸跡　土坑　地下式坑　溝,陶磁器　井戸枠　土師器　須恵器　灰釉陶器　土器　陶器　瓦　木製品　金属製品　石製品,139.7961073,35.70981839
13106003800,13106,38,,台東区№38遺跡,台東区 根岸二丁目,[近世],その他（町屋）,[近世]大型遺構　地震跡,陶磁器　木製品,139.776543,35.72470678
13106003900,13106,39,やなかさんさきちょういせき,谷中三崎町遺跡,台東区 谷中二丁目　谷中三丁目　谷中四丁目　谷中五丁目　谷中六丁目,[旧石器時代][縄文時代（前期～中期）][古墳時代][奈良時代][平安時代][近世],包蔵地・集落・社寺・その他（町屋）,[近世]井戸跡　地下式抗　溝　墓坑地下式抗　[縄文時代]土坑,（旧石器）石器　（縄文）土器　（古墳）土師器　（近世）陶磁器・土器・瓦・木製品・金属製品・ガラス製品・石製品　甕棺・蔵骨器,139.767174,35.72375373
13106004000,13106,40,,台東区№40遺跡,台東区 東上野四丁目,[近世],社寺,,,139.7819453,35.71536576
13106004200,13106,42,,台東区№42遺跡,台東区 東上野二丁目,[近世],屋敷,,,139.778564,35.709805
13106004300,13106,43,にしまちいせき,西町遺跡,台東区 東上野二丁目,[中世][近世],包蔵地・屋敷,[近世]土坑　溝　池跡　基礎　基礎桶,（近世）陶磁器・土器・瓦・木製品・金属製品・石製品・土製品,139.778564,35.709805
13106004400,13106,44,,台東区№44遺跡,台東区 上野七丁目,[近世],社寺,,,139.7780478,35.71247102
13106004500,13106,45,にちょうまちきたいせき,ニ長町北遺跡,台東区 台東一丁目,[近世],屋敷,[近世]井戸跡　土坑　井戸　溝,陶磁器　木製品　瓦,139.7785289,35.70204944
13106004600,13106,46,せんげんじんじゃいせき,浅間神社遺跡,台東区 浅草五丁目,[中世][近世],包蔵地・社寺・その他（塚）,井戸跡,近世陶磁器　瓦等,139.7984724,35.71935152
13106004700,13106,47,かみさんさきみなみいせき,上三崎南遺跡,台東区 谷中四丁目,[縄文時代][奈良時代][平安時代][中世][近世],集落・社寺,[近世以前]土坑　[近世]土坑　溝　地下式土坑,縄文土器　土師器　須恵器　中世石造物　（近世）瓦　陶磁土器類,139.7678949,35.72259702
13106004800,13106,48,,台東区№48遺跡,台東区 谷中一丁目,[近世],社寺・その他（町屋）,,陶磁器　貝類,139.7678713,35.72088537
13106004900,13106,49,おのてるさきじんじゃいせき,小野照崎神社遺跡,台東区 下谷二丁目,[近世],社寺・その他（塚）,※遺跡範囲のすべてが、国指定重要有形民俗文化財下谷坂本の富士塚として指定されています。,,139.7835993,35.72194958
13106005000,13106,50,,台東区№50遺跡,台東区 上野七丁目,[近世],その他（町屋）,[近世]井戸跡,陶磁器　井戸枠,139.7810643,35.71676046
13106005100,13106,51,,台東区№51遺跡,台東区 今戸二丁目,[近世],社寺,[近世]墓,円形木棺　方形木棺　甕棺　人骨　近世陶磁器　銭　板塔婆　石造物,139.8031072,35.7226127
13106005200,13106,52,,台東区№52遺跡,台東区 台東一丁目,[近世],屋敷,[近世]地下式坑,部材　陶磁器・木製品,139.7763659,35.70195186
13106005300,13106,53,かみくるまざかちょういせき,上車坂町遺跡,台東区 東上野四丁目,[古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・屋敷,土坑　地下式坑　井戸　溝　池　基礎　木樋　胞衣埋納遺構　埋桶　埋甕　ピット　井戸跡　建物基礎址　礎石　池跡　地業址　木組溝　排水施設,陶磁器　土器　瓦　木製品　金属製品　石製品　ガラス　棟瓦　磁器　陶器　?器　骨角製品,139.779439,35.71327509
13106005400,13106,54,りゅうせんじちょういせき,竜泉寺町遺跡,台東区 竜泉二丁目,[奈良時代][近世],包蔵地・社寺・屋敷,[近世]土坑　溝状遺構　池　井戸,古代土師器　（近世）陶磁器・土器・瓦・金属製品・石製品,139.7885847,35.72545568
13106005500,13106,55,,台東区№55遺跡,台東区 谷中一丁目,[奈良時代][平安時代][近世],包蔵地・社寺・その他（町屋・道）,,（古代）須恵器・土師器　（近世）陶磁器,139.7678369,35.72128953
13106005600,13106,56,くるまざかちょういせき,車坂町遺跡,台東区 東上野三丁目,[近世],屋敷,[近世]溝　土坑,陶磁器　漆器,139.780182,35.710777
13106005700,13106,57,しばさきちょうさんちょうめいせき,芝崎町三丁目遺跡,台東区 西浅草三丁目,[近世],社寺,[近世]溝 方形甕棺墓 円形木棺墓 蔵骨器（火葬墓） 甕棺墓 墓壙 方形木槨甕棺墓 甕棺墓 円形木棺墓 方形木棺墓 蔵骨器 遺構 土坑 基礎,陶磁器・数珠・銭・卒塔婆・陶磁器・土器・土製品・木製品・金属製品・石製品等,139.791669,35.71734432
13106005800,13106,58,,台東区№58遺跡,台東区 三筋一丁目,[近世],屋敷,[近世]基礎跡　木杭跡,陶磁器　部材（石材・板材）,139.7844687,35.70330879
13106005900,13106,59,,台東区№59遺跡,台東区 谷中一丁目,[奈良時代][平安時代][近世],包蔵地・社寺・その他（町屋）,,古代土師器　近世陶磁器,139.7681974,35.72084356
13106006000,13106,60,にちょうまちひがしいせき,ニ長町東遺跡,台東区 台東一丁目,[近世],屋敷,[近世］土坑　埋桶　溝　植栽痕　石組　建物基礎　瓦敷き,磁器・陶器・土器・瓦・鉄製品・銅製品・石製品・木製品・ガラス製品・陶磁器,139.7790095,35.7022446
13106006100,13106,61,,台東区№61遺跡,台東区 谷中四丁目,[縄文時代][近世],包蔵地・社寺,[近世]土坑,縄文土器　近世陶磁器　瓦,139.7669086,35.72170541
13106006200,13106,62,したやどうほうちょういせき,下谷同朋町遺跡,台東区 上野三丁目,[縄文時代（中期～後期）][奈良時代][平安時代][中世][近世],包蔵地・社寺・その他（町屋・道路）,[近世]道路跡　木組溝　溝　上水遺構　土蔵跡　建物跡　石組　礎石　杭跡　地業跡　竹柵　埋桶　胞衣埋納遺構　墓坑　溝状遺構　土坑　ピット,（縄文）土器　（弥生）土器・須恵器　（中世）石製品（板碑）　（近世）磁器・陶器・炉器・土器・瓦類・土製品・木製品・金属製品・銭貨・人骨・動物遺体,139.774209,35.70676593
13106006300,13106,63,,台東区№63遺跡,台東区 台東三丁目,[近世],屋敷・その他（堀）,[近世]石垣,堀の護岩石　陶磁器,139.7811725,35.70430768
13106006400,13106,64,とよずみちょういせき,豊住町遺跡,台東区 下谷一丁目,[縄文時代][古墳時代][近世],包蔵地・社寺・その他（町屋）,土坑　井戸　基礎桶　植栽痕　竹樋　埋甕　道跡　墓坑,縄文土器　石器　陶磁器　墨書木製品　漆器　人骨　位牌　土製　仏像,139.7810062,35.71800054
13106006500,13106,65,あさくさきくやばしいせき,浅草菊屋橋遺跡,台東区 寿一丁目,[近世],社寺・その他（道路）,墓（甕棺・木棺・蔵骨器）　木樋,陶磁器　銭貨　数珠　近世陶磁器,139.7896182,35.70819673
13106006600,13106,66,うえのはなぞのちょういせき,上野花園町遺跡,台東区 池之端三丁目,[近世],社寺・屋敷,建物基礎,陶磁器　土器　木製品　?器　土製品等,139.7689012,35.71588194
13106006700,13106,67,,台東区№67遺跡,台東区 上野七丁目,[近世],社寺,,近世陶磁器　人骨,139.7799313,35.71514371
13106006800,13106,68,きたいなりちょういせき,北稲荷町遺跡,台東区 東上野五丁目,[近世],社寺,[近世]溝　小穴　杭痕　建物礎石　建物基礎　溝　土坑　小穴　礫群,近世磁器・陶器・?器・土器・瓦類・土製品・木製品・金属製品・銭貨・動物遺体等,139.781087,35.71285695
13106006900,13106,69,こまがたいせき,駒形遺跡,台東区 駒形一丁目,[古墳時代][奈良時代][平安時代][中世][近世],集落・その他の墓・社寺・その他（町屋）,[古墳時代]～[中世]住居跡　土坑　埋葬遺構　[近世]遺構　地下式坑　土坑等　溝　建物基礎跡　土坑等　整地跡,（古～中）土師器・須恵器　陶器・土器　土錘　人骨　（近世）陶磁器　玩具,139.7945967,35.70728152
13106007000,13106,70,,台東区№70遺跡,台東区 谷中六丁目,[近世],その他（町屋）,土坑　瓦溜　礎石,近世陶磁器　羽口等　陶磁器類,139.7700579,35.72103613
13106007100,13106,71,,台東区№71遺跡,台東区 駒形一丁目,[近世],その他（町屋）,,近世陶磁器,139.7935324,35.70657062
13106007200,13106,72,やなかしもさんさきいせき,谷中下三崎遺跡,台東区 谷中五丁目,[縄文時代][弥生時代（後期）][奈良時代][平安時代][中世][近世],包蔵地・集落・社寺・屋敷,[縄文時代]土坑　溝　[中世]土坑　[近世]土坑　地下式坑　井戸　溝　植栽痕　礎石　基礎,（縄文）土器　（弥生）土器　（古代）須恵器　土師器　（中世末）陶磁器　土器・瓦　金属製品　石製品等　（近世）陶磁器・土器・瓦・木製品・金属製品・石製品等,139.7671911,35.72509159
13106007300,13106,73,,台東区№73遺跡,台東区 駒形一丁目,[奈良時代][平安時代][中世][近世],包蔵地・その他（町屋）,,古代土師器　中世土器　近世陶磁器,139.7933779,35.70565063
13106007400,13106,74,,台東区№74遺跡,台東区 台東四丁目,[近世],屋敷,礎石建物,近世陶磁器,139.7804858,35.70670526
13106007500,13106,75,かやちょうにちょうめいせき,茅町二丁目遺跡,台東区 池之端一丁目,[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・社寺・屋敷・その他（町屋）,[近世]土坑　瓦溜　地下式坑　井戸　石組溝　溝　池　埋甕　埋桶　ピット　植栽　石列　敷石,（縄～中）縄文土器・弥生土器・土師器・中世陶器・板碑等　（近世）陶磁器・土器・瓦・木製品・金属製品・石製品等,139.7676138,35.71128241
13106007600,13106,76,,台東区№76遺跡,台東区 寿一丁目,[近世],社寺・その他（町屋）,[近世]木槨甕棺墓　土壙　埋桶　溝,近世陶磁器・甕棺　近世石造物・人骨,139.7884166,35.70776463
13106007700,13106,77,,台東区№77遺跡,台東区 下谷一丁目,[近世],社寺・その他（町屋）,,近世陶磁器,139.7819161,35.71846046
13106007800,13106,78,あさくさこまがたにちょうめいせき,浅草駒形二丁目遺跡,台東区 駒形一丁目,[古墳時代][奈良時代][平安時代][近世],包蔵地・貝塚・社寺・その他（町屋）,[古墳時代]～[中世]貝塚　土坑・溝・ピット　[近世]遺構,（古～中）土師器・須恵器　中国製白磁・土器　（近世）陶磁器　玩具,139.7950087,35.70818755
13106007900,13106,79,,台東区№79遺跡,台東区 根岸三丁目,[近世],社寺,,陶磁器　木製品,139.7805063,35.72298393
13106008000,13106,80,,台東区№80遺跡,台東区 池之端一丁目,[近世],その他（水路）,水路跡　溝,近世陶磁器　石製品　木製品　瓦,139.7692274,35.70933102
13106008100,13106,81,かみねぎしちょういせき,上根岸町遺跡,台東区 根岸三丁目,[古墳時代][奈良時代][平安時代][近世],包蔵地・社寺,土坑　溝,古代土師器・須恵器　近世陶磁器,139.780326,35.72298393
13106008200,13106,82,,台東区№82遺跡,台東区 台東三丁目,[近世],屋敷,井戸,近世陶磁器　木製品,139.7784602,35.7054786
13106008300,13106,83,,台東区№83遺跡,台東区 根岸三丁目,[近世],屋敷,井戸,近世陶磁器　木製品,139.7815384,35.7212339
13106008400,13106,84,むこうやなぎはらまちいせき,向柳原町遺跡,台東区 浅草橋五丁目,[近世],屋敷,池状遺構 流れ 溝跡 石組溝 建物跡 護岸石組 洲浜 護岸杭列 石垣護岸 杭列 木樋 敷石 石組 木組 苑路 洞窟跡 船着 植栽痕 土坑,（近世）陶磁器 土器 瓦 木製品 漆器 繊維製品 石製品 石塔 土製品 金属製品 銭貨等,139.7827174,35.69983295
13106008500,13106,85,,台東区№85遺跡,台東区 蔵前四丁目,[近世],社寺,墓,人骨　古銭　金属製品,139.7881937,35.70323909
13106008600,13106,86,,台東区№86遺跡,台東区 元浅草一丁目,[近世],社寺・屋敷・その他（町屋）,地下式坑 ピット,近世陶磁器類 木製品,139.7822539,35.70713737
13106008700,13106,87,,台東区№87遺跡,台東区 池之端二丁目,[近世],その他（道路）,,近世陶磁器　瓦,139.7678541,35.71334526
13106008800,13106,88,,台東区№88遺跡,台東区 元浅草二丁目,[近世],社寺・その他（町屋）,甕棺墓　木棺墓　基礎杭,近世陶磁器　木製品　近世墓関係　人骨・墓石,139.7827689,35.71060813
13106008900,13106,89,,台東区№89遺跡,台東区 駒形一丁目,[古墳時代][奈良時代][平安時代][近世],集落・その他（町屋）,,近世陶磁器　古墳・奈良・平安時代土器,139.7940131,35.70643123
13106009000,13106,90,,台東区№90遺跡,台東区 松が谷三丁目,[近世],社寺,,墓石　骨壷　（陶磁器）,139.7860213,35.71546276
13106009100,13106,91,,台東区№91遺跡,台東区 東上野三丁目,[近世],屋敷,池状遺構,石材（庭石）　陶磁器類　木・金属製品　ガラス製品,139.780182,35.710777
13106009200,13106,92,,台東区№92遺跡,台東区 浅草六丁目,[近世],その他（町屋）,,陶磁器類　木製品,139.8016309,35.71673133
13106009300,13106,93,,台東区№93遺跡,台東区 浅草一丁目,[近世],その他（町屋）,,近世陶磁器・瓦,139.7948879,35.71449415
13106009400,13106,94,,台東区№94遺跡,台東区 松が谷一丁目,[近世],社寺・その他（町屋）,,近世陶磁器　木製品,139.7870264,35.71080802
13106009500,13106,95,,台東区№95遺跡,台東区 下谷二丁目,[近世],その他（町屋）,井戸跡,近世陶磁器,139.7816424,35.72083465
