"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度","奈良時代"
1310404300,13104,"43","ひゃくにんちょうさんちょうめいせき","百人町三丁目遺跡","新宿区 百人町二丁目 百人町三丁目 百人町四丁目 大久保三丁目","[旧石器時代][縄文時代（早期・中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[旧石器時代]土坑 [縄文時代]土坑 [奈良時代]ピット [近世]溝 土坑 焼土集中地点 半地下室 土坑 井戸 小穴 溝状遺構 地下室 柱穴 杭穴 胞衣理納遺構・礎石建物跡","石器 礫 縄文土器 石器 弥生土器 土師器 国分寺瓦片 磁器 陶器 土師質土器 金属製品 石製品 動物遺存体 せっ器 近世土器 瓦 土製品 木製品 石製品 自然遺物 ガラス製品 植木鉢 土製品 骨角製品 火縄銃の弾 美濃系陶器志野 内耳付焙烙",139.7008827,35.7061576,"1"
1310404900,13104,"49","しもとつかいせき","下戸塚遺跡","新宿区 西早稲田一丁目　 西早稲田三丁目","[旧石器時代][縄文時代（草創期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","[旧石器時代]石器ブロック　礫群　[縄文時代]土坑　集石遺構　土坑　炉穴　陥坑　[弥生時代]竪穴式住居　環壕　方形周溝墓　土坑　[古墳時代]竪穴式住居跡　土坑　方形周溝墓　円墳　[奈良時代]竪穴式住居　土坑　掘立柱建物跡　溝　[中世]掘立柱建物跡　柵列　井戸　地下式坑　土坑　溝　方形周溝状区画溝　[近世]建物跡　柵列　地下室　井戸　土坑　溝状遺構　竪穴状遺構　畝状遺構　ピット","剥片　礫　縄文土器　石器　弥生土器　ガラス製小玉　青銅製品　土製勾玉　蓑玉　炭化米　金属製品　石製有孔円板　滑石製管玉　石製品　鉄製品　ガラス製品　ベンガラ塊　土師器　須恵器　灰釉　緑釉陶器　砥石　土製品　鉄器　墨書土器　磁器　陶器　瓦器　中世土器　埋納銭貨　青磁　土製品　瓦　木製品　近世土器",139.7169465,35.71088671,"1"
1310405200,13104,"52","とやまいせき","戸山遺跡","新宿区 戸山一丁目","[縄文時代（早期?後期）][弥生時代（後期）][奈良時代]","集落","[縄文時代]炉穴　[弥生時代]住居跡　[奈良時代]住居跡　[近世]井戸　杭列","縄文土器　石器　弥生土器　ガラス小玉　土製品　土器　磁器　陶器　近世土器　瓦　銭貨",139.7167062,35.70472568,"1"
1310406500,13104,"65","たかだのばばさんちょうめいせき","高田馬場三丁目遺跡","新宿区 高田馬場三丁目","[旧石器時代][縄文時代（早期?後期）][弥生時代（後期）][古墳時代][奈良時代]","包蔵地・集落","[弥生時代]竪穴住居　竪穴住居跡　[古墳時代]竪穴住居跡　[近世]溝　[時期不明]土坑","剥片　砕片　縄文土器　石器　小銅鐸　管状銅製品　ガラス小玉　土師器　鉄製品　青銅製品",139.6956862,35.7132084,"1"
1310407300,13104,"73","つくどはちまんちょういせき","筑土八幡町遺跡","新宿区 筑土八幡町　 白銀町","[縄文時代（早期?晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・屋敷","[中世]井戸　土坑　[近世]建物跡　井戸　地下室状遺構　ごみ穴　溝状遺構　杭列　土坑　小穴　柱穴　井戸状遺構　桶埋設遺構　礎石　柱穴列　井戸跡　埋桶　胞衣皿埋納遺構　粘土採掘坑　[江戸時代以前]住居跡　溝状遺構　土坑","縄文土器　石器　弥生土器　土師器　須恵器　板碑　磁器　陶器　?b器　近世土器　瓦　土製品　金属製品　木製品　骨角製品　ガラス製品　石製品　中世陶磁器",139.739444,35.70358792,"1"
1310407700,13104,"77","かみおちあいにちょうめいせき","上落合二丁目遺跡","新宿区 上落合一丁目 上落合二丁目","[旧石器時代][縄文時代（前期～中期）][古墳時代][奈良時代][平安時代]","包蔵地・集落","[古墳時代]竪穴住居跡 [奈良時代]竪穴住居跡 土坑 掘立柱建物跡 埋納土坑 [平安時代]埋納土坑","縄文土器 土師器 ガラス小玉 土師器 須恵器 鉄製品 土製品 石製品 羽口",139.690914,35.71507608,"1"
1310407900,13104,"79","ひゃくにんちょうさんちょうめにしいせき","百人町三丁目西遺跡","新宿区 百人町三丁目 北新宿四丁目","[旧石器時代][縄文時代（草創期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落","[旧石器時代]土坑 炉穴 土坑 石器・礫集中 [縄文時代]土坑 陥し穴 ピット [古墳時代]住居跡 井戸 土坑 ピット 掘立柱建物跡 土師器焼成坑 [平安時代]住居跡 土師器焼成坑 掘立柱建物跡 [古墳時代]～[中世]住居跡・土坑 ピット [近世]畝跡 井戸 土坑 溝 ピット [弥生時代]～[古墳時代]住居跡","礫 石器 縄文土器 弥生土器 土製品 石製品（砥石） ガラス小玉 土師器 須恵器 古墳土器 土師器 土製品（支脚） 鉄製品（刀子・鏃・鉄錐等） 墨書土器 灰釉陶器 磁器 陶器 近世土器 ?器 金属製品 土製品 土器（台付甕・台付甕小・甕・壷・高杯）",139.6947029,35.70590669,"1"
1310408500,13104,"85","おわりとくがわけしもやしきあといせき","尾張徳川家下屋敷跡","新宿区 戸山一丁目　 戸山二丁目　 戸山三丁目","[旧石器時代][縄文時代（早期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[弥生時代]?[平安時代]畦畔状遺構　木道状遺構　流路跡　[中世][近世]水田跡　丸木橋状遺構　[近世]石組遺構　「御泉水」の土手　溝","石器　縄文土器　土器　須恵器　土師器　磁器　陶器　金属製品　銭貨等　磁器　陶器　金属製品　銭貨　木製品　煙管　板状部材　せっ器　近世土器　瓦",139.7134789,35.7040287,"1"
1310410300,13104,"103","きくいちょういせき","喜久井町遺跡","新宿区 喜久井町","[旧石器時代][縄文時代（中期?後期）][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[縄文時代]ピット　遺物集中域　[縄文中期]竪穴住居跡　土坑　[縄文後期]竪穴住居跡　土坑　[奈良時代]竪穴住居跡　[平安時代]土坑　[近世]地下室　ウマ埋葬遺構　溝状遺構　道路状遺構　土坑　便所跡　礎石　小穴","縄文土器　石器　須恵器　土師器　須恵器　磁器　陶器　近世土器　せっ器　瓦　土製品　金属製品　木製品　ガラス製品　石製品",139.7218033,35.70478144,"1"
1310412600,13104,"126","しろがねちょういせき","白銀町遺跡","新宿区 白銀町 東五軒町","[縄文時代（前期～中期）][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[奈良時代][平安時代]竪穴住居跡 [近世]地下室 土坑 土取り痕 井戸 溝 柱穴 地鎮遺構 土蔵基礎 溝・溝状遺構 池跡 埋甕 埋桶 礎石 [近世]土坑 小穴 埋桶 地下室 土取穴 ごみ穴","縄文土器 弥生土器 土師器 須恵器 磁器 陶器 ?器 近世土器 瓦 土製品 金属製品 ガラス製品 石製品",139.7379333,35.70485643,"1"
1310413000,13104,"130","かぐらざかよんちょうめいせき","神楽坂四丁目遺跡","新宿区 神楽坂四丁目","[縄文時代（前期～中期）][古墳時代][奈良時代][近世]","包蔵地・集落・屋敷","[近世]地下室 井戸 礎石 土坑 柱穴 小穴 [古墳時代]～[奈良時代]住居跡 溝状遺構","縄文土器 石器 土師器 石製品 磁器 陶器 ?器 近世土器 瓦 土製品 金属製品 ガラス製品 骨角製品",139.7401134,35.70244486,"1"
1310413800,13104,"138","しろがねちょうにしいせき","白銀町西遺跡","新宿区 白銀町 赤城元町","[縄文時代][弥生時代（後期）][古墳時代][奈良時代][中世][近世]","集落・屋敷","[弥生時代]～[古墳時代]住居跡 溝状遺構 方形周溝墓 土坑 [奈良時代]住居跡 [近世]地下室 土坑 井戸 溝 柱穴 甕棺 蔵骨器","弥生土器 土師器 須恵器 磁器 陶器 ?器 近世土器 瓦 土製品 金属製品 骨角製品 石製品 古墳土器",139.7374699,35.70457764,"1"
1310501600,13105,"16","かみふじまえちょういせき","上富士前町遺跡","文京区 本駒込五丁目　本駒込六丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落","[縄文時代]陥穴　[弥生時代]竪穴住居跡　[古墳時代]?[古代]住居跡　[近世]植物痕　土坑　地下室　井戸","縄文土器　弥生土器　瓦　金属器　近世陶磁器",139.7500408,35.73322968,"1"
1310502600,13105,"26","はやしちょういせき","林町遺跡","文京区 千石二丁目","[旧石器時代][縄文時代（中期）][弥生時代][奈良時代][近世]","包蔵地・集落・屋敷","[縄文時代]炉穴 土坑 ピット　[近世]地下室 地下坑 井戸 溝状遺構 土坑 植栽痕 柱穴ピット","（旧石器）石器（剥片）（縄文）縄文土器・石器　（弥生）弥生土器　（近世）陶磁器類・?b器・土器・土製品・木製品・金属製品・石製品",139.7412882,35.72300979,"1"
1310503300,13105,"33","ゆみちょういせき","弓町遺跡","文京区 本郷一丁目","[旧石器時代][縄文時代][弥生時代（後期）][奈良時代][平安時代][中世][近世]","包蔵地・集落・屋敷","[奈良時代]堅穴住居　[近世]地下室　井戸　土坑","縄文土器・敲石　土器・陶磁器・金属器　（奈良）土師器・須恵器　（近世）陶磁器・土器",139.7564631,35.70617294,"1"
1310505100,13105,"51","まさごちょう（まさご）いせき","真砂町（真砂）遺跡","文京区 本郷四丁目","[旧石器時代][縄文時代（早期?後期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","集落・屋敷","[縄文時代]炉穴　[奈良平安時代]住居跡　柱穴　土坑　[近世]上水道　井戸　地下室","縄文土器　土師器　須恵器　陶磁器類",139.7560167,35.70843107,"1"
1310505800,13105,"58","ほんごうもとまちいせき","本郷元町遺跡","文京区 本郷一丁目","[縄文時代（前期?中期）][奈良時代][平安時代][近世]","包蔵地・屋敷","[近世]土坑　水路","縄文土器　土師器　須恵器　陶磁器　土器　瓦　金属器",139.7568407,35.70266017,"1"
1310505900,13105,"59","かごまちいせき","駕籠町遺跡","文京区 本駒込二丁目","[旧石器時代][縄文時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[旧石器時代]石器ユニット 礫群　[縄文時代]陥穴 竪穴住居跡 土坑 小穴　[奈良・平安時代]竪穴住居跡　[近世]溝状遺構 土坑 井戸 土採り・切土跡 盛土造成跡 ピット 柱穴列 小穴 地下室 植栽痕","（旧石器時代）石器　(縄文時代)縄文土器 石器　(古代?中世)須恵器　（近世）陶磁器 ?b器 土器 土製品 木製品 銭貨 金属製品 石製品 ガラス製品 瓦 自然遺物 土類 生産関連遺物 その他",139.7475023,35.730117,"1"
1310506900,13105,"69","こひなただいまちいせき","小日向台町遺跡","文京区 小日向二丁目　小日向三丁目","[縄文時代][古墳時代][奈良時代][近世]","包蔵地・集落・社寺","","近世蔵骨器・人骨 （近世）陶磁器・土器",139.7352114,35.71470332,"1"
1310507300,13105,"73","こひなただいまちみなみいせき","小日向台町南遺跡","文京区 小日向一丁目","[旧石器時代][縄文時代][弥生時代][奈良時代][中世][近世]","包蔵地・集落・屋敷","[縄文時代]陥穴　[弥生時代]竪穴住居跡　[奈良時代]竪穴住居跡　[中世]井戸 土坑墓　[近世]地下室 井戸","(旧石器)石器　(縄文)土器　(弥生)土器　(奈良)土師器 須恵器　(近世)陶磁器 土器",139.7361727,35.71261262,"1"
1310508500,13105,"85","やなぎさわけこまごめやしき（むくのたち・むくのその）あと","柳沢家駒込屋敷（六義館・六義園）跡","文京区 本駒込六丁目","[縄文時代][奈良時代][平安時代][近世]","包蔵地・屋敷・その他（庭園）","[縄文時代]風倒木痕 土坑 ピット　[奈良・平安時代]土坑 ピット　[近世]溝跡 地下室 土坑 植栽痕 柱穴 小穴 礎石 地業址 基礎 道路状遺構 瓦溜り","(縄文)土器 石器　(弥生)土器　(奈良・平安)須恵器 土師器　(近世)陶磁器 ?b器 土器 土製品 瓦 金属製品 木製品 石製品 自然遺物 土類",139.7464724,35.73290396,"1"
1310510300,13105,"103","ほんごういっちょうめみなみいせき","本郷一丁目南遺跡","文京区 本郷一丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[縄文時代]住居　[弥生時代]住居　[古墳時代]住居　[近世]地下室　溝　井戸","石器　縄文土器　弥生土器　須恵器　土師器　近世陶磁器",139.7564974,35.70341292,"1"
1310510700,13105,"107","こひなたさんちょうめひがしいせき","小日向三丁目東遺跡","文京区 小日向三丁目","[縄文時代][古墳時代][奈良時代][近世]","包蔵地・集落・屋敷","[縄文時代]柱穴　[古墳時代]住居跡　[奈良時代]住居跡　[近世]大型土坑","土師器　近世陶磁器",139.734024,35.715233,"1"
1310511500,13105,"115","かすがにちょうめにしいせき","春日二丁目西遺跡","文京区 春日二丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][中世][近世]","包蔵地・集落・屋敷","[旧石器時代]遺物集中部　[縄文時代]炉穴　集石　陥穴　土坑　[弥生時代]土坑　[古墳時代]土坑　[中世]溝　道路状遺構（溝）　土塁状盛土　[近世]谷埋立造成　土手状遺構　溝　砂利敷き　井戸　礎石　礎石跡　地下室　土坑","（旧石器）剥片　（縄文）土器・石製装身具　（弥生）土器　（古墳?古代）土師器・須恵器　（中世）陶磁器・土器・板碑・銭貨　（近世以降）陶磁器・土器・土製品・金属製品・銭貨・石製品・瓦・ガラス製品",139.7410479,35.71146969,"1"
1310511800,13105,"118","こひなたいち・にちょうめみなみいせき","小日向一・二丁目南遺跡","文京区 小日向一丁目　小日向二丁目","[縄文時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・その他の墓・社寺・屋敷・その他（町屋）","[古墳時代]堅穴住居跡　炉跡　土坑など　[近世]土坑　甕棺墓　木棺墓　土器棺墓　蔵骨器　直葬墓　便所跡　建物基礎跡　神田上水　盛土","（縄文）土器　（古墳）土師器・須恵器　（古代）土師器・須恵器　（中世）陶器・土器　（近世）陶磁器・人骨・土器・金属製品・木製品・甕棺・墓石・間知石・胴木など",139.739594,35.712051,"1"
1310512700,13105,"127","ほんごうさんちょうめみなみいせき","本郷三丁目南遺跡","文京区 本郷三丁目","[縄文時代][奈良時代][平安時代][中世][近世]","包蔵地･屋敷","[縄文時代]柱穴　[奈良・平安時代]柱穴　[近世]地下室　土坑等","縄文土器　陶磁器　土師器",139.7625399,35.70243713,"1"
1310512900,13105,"129","こひなたいっちょうめひがしいせき","小日向一丁目東遺跡","文京区 小日向一丁目","［縄文時代］［弥生時代］［古墳時代］［奈良時代］［平安時代］［中世］［近世］","包蔵地・集落・その他の墓・屋敷","［縄文時代］ファイヤーピット?　［弥生時代］?［古墳時代］竪穴住居跡　［奈良時代］［平安時代］竪穴住居跡　土坑　［近世］地下室　溝状遺構　土坑　柱穴","［縄文時代］土器片　［弥生時代］土器片　［奈良時代］［平安時代］土師器　須恵器　石製品　［近世］陶磁器　土器　瓦　石製品　金属製品　土製品　炉器",139.7382326,35.71367191,"1"
1310513100,13105,"131","こいしかわさんちょうめひがしいせき","小石川三丁目東遺跡","文京区 小石川三丁目","［縄文時代（早期・中期）］［弥生時代］[古墳時代][奈良時代]［近世］","包蔵地・集落・その他の墓・社寺・町家","[古墳?奈良時代]竪穴建物跡 溝 小穴［近世］埋甕 土坑 溝 井戸 植栽痕 小穴 土坑 根石 杭 埋桶 筏地業木組み","［縄文時代］土器　黒曜石剥片　［弥生時代］土器　［奈良時代］［平安時代］土師器 須恵器 土製品　［近世］陶磁器　土器　炉器 瓦 土製品 金属製品",139.7500773,35.71286351,"1"
1310513400,13105,"134","こひなたいっちょうめきたいせき","小日向一丁目北遺跡","文京区 小日向一丁目","［縄文時代］［古墳時代］［奈良時代］［平安時代］［近世］","包蔵地・屋敷","","［縄文時代］土器片　［古墳］土師器　［古代］土師器　須恵器　［近世］陶磁器　土器　?b器　瓦　金属製品",139.73734,35.71464756,"1"
1310901100,13109,"11","みなみしながわおうけつぼぐん","南品川横穴墓群","品川区 南品川五丁目","[奈良時代][平安時代]","横穴墓","横穴墓","鉄製腕輪　人骨",139.738493,35.60802199,"1"
1310901300,13109,"13","せんだいざかいせき","仙台坂遺跡","品川区 東大井四丁目","[縄文時代（後期）][古墳時代][奈良時代][平安時代][近代]","包蔵地・屋敷・その他（工場跡）","[近世]ピット　土坑　石垣","縄文土器　石器　石弾　土錘　石棒　自然遺物　土師器　陶磁器　瓦　土製品　土錘　鉄製品　煙管　銭貨　ガラス製品　蝋石　獣骨",139.7403673,35.60697621,"1"
1310901500,13109,"15","おおいかしまいせき","大井鹿島遺跡","品川区 大井五丁目","[縄文時代][古墳時代][奈良時代][近世]","包蔵地・集落","[古墳時代][奈良時代]竪穴式住居跡　[近世]土坑　室状遺構","縄文土器　土師器　須恵器　陶磁器　紡錘車　土錘　釘　煙管　銭貨",139.7301397,35.59667274,"1"
1310902400,13109,"24","おおいかねこやまおうけつぼぐん","大井金子山横穴墓群","品川区 西大井四丁目","[古墳時代][奈良時代]","横穴墓","横穴墓（古墳～奈良２基）","鉄鏃　刀子　人骨",139.7205441,35.59394495,"1"
1311000300,13110,"3","ひかわいせき","氷川遺跡","目黒区 大橋二丁目","［旧石器時代］[縄文時代（早期～後期）][弥生時代（前期～後期）][古墳時代][奈良時代][平安時代][中世][近世]［近代］","集落 その他（軍施設）","[縄文時代]土坑　小穴　炉穴　陥穴　[弥生時代～古墳時代]竪穴住居跡　堀立柱建物跡　土坑　小穴　[平安時代]火葬墓　溝　[近世]溝　土坑　小穴　［近代］煉瓦構造物","縄文土器　剥片　打製石斧　石鏃　スタンプ形石器　磨石　石皿　弥生土器　弥生時代末～古墳時代初期土器　金属製品　土製品　奈良時代須恵器　平安時代土器　瓦　板状鉄製品　中近世陶磁器　釘　鎹　銭貨　近代陶磁器　ガラス製品　金属製品　銭貨　?　煉瓦",139.6875316,35.65337917,"1"
1311100300,13111,"3","せんげんじんじゃふきんよこあなぼぐん","浅間神社付近横穴墓群","大田区 田園調布一丁目","[古墳時代][奈良時代]","横穴墓","","直刀",139.6688781,35.58691091,"1"
1311100400,13111,"4","ほうらいこうえんないよこあなぼ","宝来公園内横穴墓","大田区 田園調布三丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6639081,35.59491805,"1"
1311100600,13111,"6","しもぬまべぼじゃくだによこあなぼ","下沼部牡若谷横穴墓","大田区 田園調布二丁目","[古墳時代][奈良時代]","横穴墓","","",139.6685298,35.59304569,"1"
1311100700,13111,"7","しもぬまべいっぽんぎだによこあなぼ","下沼部一本木谷横穴墓","大田区 田園調布三丁目","[古墳時代][奈良時代]","横穴墓","","",139.6670555,35.59697895,"1"
1311103100,13111,"31","はくさんじんじゃよこあなぼ","白山神社横穴墓","大田区 東嶺町","[古墳時代][奈良時代]","横穴墓","","",139.6833003,35.57892677,"1"
1311103200,13111,"32","ぞうみょういんないよこあなぼ","増明院内横穴墓","大田区 鵜の木一丁目","[古墳時代][奈良時代]","横穴墓","[古墳時代][奈良時代]切石羨門","鉄刀",139.6870554,35.57543632,"1"
1311103400,13111,"34","みなみくがはらにちょうめよこあなぼぐん","南久が原二丁目横穴墓群","大田区 南久が原二丁目","[古墳時代][奈良時代]","横穴墓","1基","人骨",139.6849954,35.57589009,"1"
1311103700,13111,"37","しもぬまべしおみだいよこあなぼぐん","下沼部汐見台横穴墓群","大田区 田園調布三丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6665735,35.59169219,"1"
1311103900,13111,"39","かみぬまべほうらいよこあなぼぐん","上沼部宝来横穴墓群","大田区 田園調布四丁目","[古墳時代][奈良時代]","横穴墓","","直刀　人骨",139.6622981,35.59404778,"1"
1311104000,13111,"40","かみぬまべはなのよこあなぼぐん","上沼部花野横穴墓群","大田区 田園調布四丁目","[古墳時代][奈良時代]","横穴墓","","",139.6616543,35.59408267,"1"
1311104100,13111,"41","かみぬまべにいのさとよこあなぼぐん","上沼部新居里横穴墓群","大田区 田園調布四丁目","[古墳時代][奈良時代]","横穴墓","","",139.6619011,35.59460613,"1"
1311104200,13111,"42","かみぬまべふきあげほくぶよこあなぼぐん","上沼部吹上北部横穴墓群","大田区 田園調布五丁目","[古墳時代][奈良時代]","横穴墓","","木製品　人骨",139.6603512,35.59931764,"1"
1311104300,13111,"43","かみぬまべふきあげなんぶよこあなぼぐん","上沼部吹上南部横穴墓群","大田区 田園調布五丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6582484,35.59718903,"1"
1311104400,13111,"44","かみぬまべ29ばんちよこあなぼ","上沼部29番地横穴墓","大田区 田園調布五丁目","[古墳時代][奈良時代]","横穴墓","","",139.6576046,35.59610725,"1"
1311104600,13111,"46","でんえんちょうふほんちょう24ばんよこあなぼ","田園調布本町24番横穴墓","大田区 田園調布本町","[古墳時代][奈良時代]","横穴墓","","",139.6745531,35.58391891,"1"
1311104700,13111,"47","でんえんちょうふほんちょう26ばんよこあなぼ","田園調布本町26番横穴墓","大田区 田園調布本町","[古墳時代][奈良時代]","横穴墓","","人骨",139.6743063,35.5827497,"1"
1311104900,13111,"49","ゆきがやぎょうにんづか","雪ヶ谷行人塚","大田区 東雪谷二丁目","[奈良時代][平安時代]","墳墓","","",139.6847028,35.5965309,"1"
1311106100,13111,"61","みなみまごめいっちょうめよこあなぼぐん","南馬込一丁目横穴墓群","大田区 南馬込一丁目","[古墳時代][奈良時代]","横穴墓","","直刀　人骨",139.7128043,35.59316087,"1"
1311106400,13111,"64","つかごしよこあなぼぐん","塚越横穴墓群","大田区 南馬込五丁目　 西馬込二丁目　 仲池上一丁目　 仲池上二丁目　 上池台五丁目","[古墳時代][奈良時代]","横穴墓","[古墳時代][奈良時代]切石羨門","鉄鏃　刀子　金銅製頭椎大刀　金銅製圭頭大刀　直刀　轡　杏葉　挂甲小札　人骨",139.7028265,35.58682673,"1"
1311106800,13111,"68","さんのういっちょうめよこあなぼぐん","山王一丁目横穴墓群","大田区 山王一丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.7217452,35.59301536,"1"
