"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構／概要","主な出土品"
1311507600,13115,76,"むかいのはらいせき","向ノ原遺跡","杉並区 久我山二丁目","[旧石器時代][縄文時代（早期～中期）][中世][近世][近代]","集落","[旧石器時代]ユニット　礫群　[縄文時代]集石　炉穴　土坑","ナイフ形石器　尖頭器　角錐状石器　台形様石器　掻器　彫器　縄文土器　打斧　磨斧　局部磨斧　礫器　石槍　石鏃　掻器　彫器　石錘　石皿　磨石　スタンプ形石器　石核"
1311507700,13115,77,"りっきょうじょがくいんない（なかやしき）いせき","立教女学院内（中屋敷）遺跡","杉並区 久我山四丁目","[縄文時代（中期～後期）]","包蔵地","","縄文土器　石斧　石鏃　石錘　石皿　敲石　けつ状耳飾　石棒"
1311507800,13115,78,"なかふくろ（やまなか）いせき","中袋（山中）遺跡","杉並区 高井戸西一丁目","[縄文時代（中期～晩期）][古墳時代][中世]","集落","[縄文時代]住居跡　土坑　[古墳時代]住居跡　[中世]地下式土坑","縄文土器　石斧　石鏃　石製品　土製品　土師器"
1311507900,13115,79,"","杉並区№79遺跡","杉並区 高井戸西一丁目","[縄文時代（早期）]","包蔵地","","縄文土器"
1311508000,13115,80,"","杉並区№80遺跡","杉並区 高井戸西二丁目","[縄文時代（中期）][古墳時代]","包蔵地","","縄文土器　土師器"
1311508100,13115,81,"どうのしたいせき","堂の下遺跡","杉並区 高井戸東一丁目","[旧石器時代][縄文時代（早期～中期）][弥生時代（後期）][近世]","包蔵地・集落","[旧石器時代]礫群　ブロック　[縄文時代]竪穴式遺構　炉穴　ピット　焼土跡　集石　集石土坑　陥し穴　土坑　[弥生時代]方形周溝墓　[近世]溝　炭焼窯　地下室","ナイフ型石器　角錐状石器　スクレイパー　彫器　楔形石器　石斧　敲石　石核　剥片　削石　縄文土器　石鏃　有舌尖頭器　打製石斧　磨製石斧　　礫斧　磨石　スタンプ型石器　石皿　弥生土器　陶磁器"
1311508200,13115,82,"","杉並区№82遺跡","杉並区 高井戸東二丁目","[縄文時代（中期）]","包蔵地","","縄文土器"
1311508300,13115,83,"じゃばみいせき","蛇場美遺跡","杉並区 下高戸三丁目","[旧石器時代][縄文時代（草創期～後期）][中世][近世]","包蔵地","[縄文時代]炉穴　[中世][近世]溝状遺構","ナイフ形石器　角錐状石器　台形様石器　縄文土器　打斧　礫器　石槍　石鏃　掻器　削器　楔形石器　磨石　スタンプ形石器　抉入磨石　敲石　石盤　陶磁器　カワラケ"
1311508400,13115,84,"","杉並区№84遺跡","杉並区 下高井戸三丁目","[縄文時代（中期～後期）][古墳時代]","包蔵地","","縄文土器　土師器"
1311508500,13115,85,"しもたかいどつかやまいせき","下高井戸塚山遺跡","杉並区 下高井戸四丁目　下高井戸五丁目","[旧石器時代][縄文時代（早期～後期）]","集落","[縄文時代]住居　集石　炉　土坑　ピット群","ナイフ形石器　局部磨製石器　掻器　縄文土器　打斧　磨石　土錘"
1311508600,13115,86,"","杉並区№86遺跡","杉並区 浜田山一丁目","[縄文時代（中期～後期）]","包蔵地","","縄文土器"
1311508700,13115,87,"","杉並区№87遺跡","杉並区 浜田山一丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧　石棒"
1311508900,13115,89,"めいじだいがくいずみこうちいせき","明治大学和泉校地遺跡","杉並区 永福一丁目","[旧石器時代][縄文時代（中期）]","集落","[旧石器時代]ブロック　礫群","ナイフ形石器　尖頭器　削器　敲石　石核　縄文土器"
1311509000,13115,90,"","杉並区№90遺跡","杉並区 永福二丁目","[古墳時代]","包蔵地","","土師器　須恵器"
1311509100,13115,91,"","杉並区№91遺跡","杉並区 和泉二丁目","[縄文時代（中期）][奈良時代][平安時代]","包蔵地","","縄文土器　土師器"
1311509200,13115,92,"ねがわらいせき","根河原遺跡","杉並区 和泉三丁目","[旧石器時代][縄文時代（早期・後期）][古墳時代]","集落","[旧石器時代]ブロック　[古墳時代]住居　[縄文時代]土坑　炉跡","縄文土器　打斧　石棒　土師器　鋸歯　縁石器　尖頭状石器　剥片　石斧"
1311509300,13115,93,"","杉並区№93遺跡","杉並区 和泉四丁目","[古墳時代]","集落","[古墳時代]住居","土師器"
1311509400,13115,94,"はまだやまいせき","浜田山遺跡","杉並区 浜田山三丁目","[縄文時代][近世]","包蔵地","[近世]溝状遺構","縄文土器　陶器"
1311509500,13115,95,"","杉並区№95遺跡","杉並区 堀ノ内一丁目","[旧石器時代]","包蔵地","","剥片"
1311510100,13115,101,"ひがしはらいせき","東原遺跡","杉並区 久我山五丁目","[旧石器時代][縄文時代（草創期～後期）][近世]","集落","[旧石器時代]ユニット　礫群　[縄文時代]住居　炉穴　土坑","ナイフ形石器　尖頭器　掻器　彫器　石核　縄文土器　有舌尖頭器　石鏃"
1311510200,13115,102,"","杉並区№102遺跡","杉並区 西荻北一丁目","[縄文時代（中期）]","包蔵地","","縄文土器"
1311510300,13115,103,"","杉並区№103遺跡","杉並区 南荻窪三丁目","[縄文時代（中期）]","包蔵地","","縄文土器"
1311510400,13115,104,"","杉並区№104遺跡","杉並区 久我山四丁目","[縄文時代（中期）]","包蔵地","","縄文土器"
1311510500,13115,105,"","杉並区№105遺跡","杉並区 久我山三丁目","[縄文時代（中期）]","包蔵地","","縄文土器"
1311510600,13115,106,"","杉並区№106遺跡","杉並区 高井戸西一丁目","[縄文時代（早期・中期）]","包蔵地","","縄文土器"
1311510700,13115,107,"","杉並区№107遺跡","杉並区 久我山二丁目","[縄文時代（後期）]","包蔵地","",""
1311510800,13115,108,"","杉並区№108遺跡","杉並区 久我山五丁目","[縄文時代（早期・中期）][弥生時代]","包蔵地","","縄文土器　弥生土器"
1311511000,13115,110,"たかいどひがしいせき","高井戸東遺跡","杉並区 高井戸西二丁目　 高井戸東三丁目","[旧石器時代][縄文時代（草創期～後期）][古墳時代][中世][近世]","集落","[旧石器時代]ブロック　[縄文時代]陥し穴　[古墳時代]住居　[中世]地下式坑　段切り状遺構　土坑　ピット　溝状遺構","ナイフ形石器　台形石器　スクレイパー　局部磨製石斧　敲石　石棒　剥片　縄文土器　弥生土器　土師器　須恵器　陶器　瓦質土器　瓦"
1311511100,13115,111,"","杉並区№111遺跡","杉並区 下高井戸五丁目","[縄文時代（中期・後期）]","包蔵地","","縄文土器"
1311511200,13115,112,"","杉並区№112遺跡","杉並区 高円寺南二丁目","［縄文時代（中期）］[古墳時代][奈良時代][平安時代][近世]","包蔵地","","縄文土器　土師器　陶磁器"
1311511500,13115,115,"","杉並区№115遺跡","杉並区 上井草三丁目","[旧石器時代][縄文時代（中期～後期）][古墳時代]","包蔵地","","ナイフ形石器　縄文土器　土師器"
1311511700,13115,117,"","杉並区№117遺跡","杉並区 久我山五丁目","[縄文時代（中期）]","包蔵地","","縄文土器"
1311511800,13115,118,"","杉並区№118遺跡","杉並区 久我山五丁目","[縄文時代（早期）]","包蔵地","","縄文土器"
1311511900,13115,119,"むかいのはらびーいせき","向ノ原B遺跡","杉並区 久我山二丁目","[旧石器時代][縄文時代（草創期～後期）][古墳時代]","集落","[旧石器時代]礫群　[縄文時代]住居　竪穴状遺構　炉穴　土坑　柱穴群","ナイフ形石器　切出形石器　角錐状石器　石核　縄文土器　打斧　礫器　石槍　有舌尖頭器　尖頭状石器　石鏃　掻器　削器　磨石　スタンプ形石器　抉入磨石　凹石　砥石　石盤　土製品"
1311512000,13115,120,"","杉並区№120遺跡","杉並区 久我山三丁目","[古墳時代]","包蔵地","","土師器"
1311512100,13115,121,"にしのはらいせき","西ノ原遺跡","杉並区 久我山四丁目","[旧石器時代][縄文時代（中期）]","集落","[旧石器時代]礫群　[縄文時代]住居跡　土坑","打斧　礫群構成礫　敲石　磨石　石皿　縄文土器"
1311512300,13115,123,"おおがいといせき","大ヶ谷戸遺跡","杉並区 荻窪二丁目","[旧石器時代][縄文時代（早期・中期～後期）][近世]","包蔵地・集落","[旧石器時代]ブロック　[縄文時代]住居　集石　土坑　[近世]地下式坑　溝　土坑","細石刃　細石刃核削片　スクレイパー 石核　剥片　縄文土器　土器片鐘　抉状耳飾　石鏃　ノミ状石器　石斧　スタンプ形石器　石皿　敲石　陶磁器　砥石　加工円礫　銭貨"
1311512400,13115,124,"","杉並区№124遺跡","杉並区 松ノ木一丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧"
1311512500,13115,125,"おおみやちゅうがっこういせき","大宮中学校遺跡","杉並区 堀ノ内一丁目","[中世]","地下式横穴","[弥生時代]住居　[中世]地下式土坑","弥生土器　土師器　石臼"
1311512700,13115,127,"ぜんぷくじきたはらいせき","善福寺北原遺跡","杉並区 善福寺一丁目","[縄文時代（草創期～後期）][近世]","集落","[縄文時代]竪穴状遺構　土坑　遺物集中部　[近世]溝状遺構","有舌尖頭器　縄文土器　楔形石器　打製石斧　磨石　石皿　剥片"
1311512800,13115,128,"","杉並区№128遺跡","杉並区 成田西二丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧　石鏃"
1311512900,13115,129,"にっしょうじいせきびーちてん","日性寺遺跡B地点","杉並区 成田西二丁目","[旧石器時代][縄文時代（中期）][弥生時代][古墳時代][近世]","集落","[縄文時代]土坑　[古墳時代]住居　[不]ピット群","掻器　縄文土器　石皿　磨石　弥生土器　土師器　土玉　陶磁器"
1311513000,13115,130,"","杉並区№130遺跡","杉並区 成田西三丁目","[古墳時代]","包蔵地","","土師器"
1311513100,13115,131,"","杉並区№131遺跡","杉並区 下高井戸五丁目","[弥生時代]","包蔵地","","弥生土器"
1311513200,13115,132,"","杉並区№132遺跡","杉並区 久我山三丁目","[古墳時代]","包蔵地","[古墳時代]溝状遺構","土師器　土錘"
1311513300,13115,133,"じぞうざかいせき","地蔵坂遺跡","杉並区 善福寺一丁目","[旧石器時代][縄文時代（早期）]","集落","[旧石器時代]礫群　[縄文時代]住居　炉穴","ナイフ形石器　縄文土器"
1311513500,13115,135,"むかいほうなんいせき","向方南遺跡","杉並区 方南一丁目","[縄文時代（草創期～後期）][近世]","包蔵地","[縄文時代]ピット　土坑　集石　遺物集中　流路跡　[近世]溝　井戸　土坑","縄文土器　打斧　磨斧　石鏃　石皿　磨石　石棒　石錘　土錘　土製円板　土偶　有孔土玉　垂飾　特殊磨石　礫器　土器片鐘　上製耳飾　ミニチュア土器　クルミ型土器　漆容器　有舌尖頭器　錐状石器　凹石　敲石　石盤　漆器　陶磁器　金属製品　木製品　石製品　スクレイパー　スタンプ型石器"
1311513600,13115,136,"","杉並区№136遺跡","杉並区 和泉四丁目","[古墳時代]","包蔵地","","土師器"
1311513700,13115,137,"","杉並区№137遺跡","杉並区 永福一丁目","[縄文時代（中期）]","包蔵地","","縄文土器"
1311513800,13115,138,"","杉並区№138遺跡","杉並区 今川二丁目　 今川三丁目","[縄文時代（中期）]","包蔵地","","縄文土器"
1311513900,13115,139,"","杉並区№139遺跡","杉並区 井草五丁目","[古墳時代]","包蔵地","","土師器"
1311514000,13115,140,"","杉並区№140遺跡","杉並区 井草五丁目","[縄文時代][奈良時代][平安時代]","包蔵地","","縄文土器　土師器"
1311514100,13115,141,"","杉並区№141遺跡","杉並区 井草五丁目　 上井草二丁目","[奈良時代][平安時代]","包蔵地","","土師器"
1311514200,13115,142,"","杉並区№142遺跡","杉並区 上井草二丁目","[縄文時代（早期・中期）]","包蔵地","","縄文土器"
1311514300,13115,143,"","杉並区№143遺跡","杉並区 井草四丁目","[縄文時代（中期）][奈良時代][平安時代][近世]","包蔵地","","縄文土器　土師器　陶器"
1311514400,13115,144,"かきのきやまいせき","柿ノ木山遺跡","杉並区 井草四丁目","[縄文時代（草創期～後期）]","包蔵地","[縄文時代]土坑","縄文土器　打斧　有舌尖頭器　石鏃　掻器　剥片"
1311514500,13115,145,"","杉並区№145遺跡","杉並区 上井草一丁目","[縄文時代（早期・中期）]","包蔵地","","縄文土器"
1311514600,13115,146,"","杉並区№146遺跡","杉並区 上井草一丁目","[古墳時代]","包蔵地","","土師器"
1311514700,13115,147,"","杉並区№147遺跡","杉並区 下井草五丁目","[古墳時代]","包蔵地","","土師器"
1311514800,13115,148,"","杉並区№148遺跡","杉並区 下井草五丁目　 清水三丁目","[縄文時代（早期）]","包蔵地","","縄文土器"
1311514900,13115,149,"","杉並区№149遺跡","杉並区 井草二丁目　 井草三丁目","[縄文時代（前期）][近世]","包蔵地","","縄文土器　陶器　銭貨"
1311515000,13115,150,"","杉並区№150遺跡","杉並区 井草二丁目","[縄文時代]","包蔵地","","縄文土器"
1311515100,13115,151,"","杉並区№151遺跡","杉並区 井草一丁目","[縄文時代][古墳時代]","包蔵地","","縄文土器　土師器"
1311515200,13115,152,"","杉並区№152遺跡","杉並区 井草一丁目","[奈良時代][平安時代]","包蔵地","","土師器"
1311515300,13115,153,"","杉並区№153遺跡","杉並区 井草一丁目","[近世]","包蔵地","","銭貨"
1311515400,13115,154,"","杉並区№154遺跡","杉並区 天沼二丁目　 天沼三丁目","[縄文時代]","包蔵地","","縄文土器"
1311515500,13115,155,"","杉並区№155遺跡","杉並区 天沼二丁目","[縄文時代][奈良時代][平安時代]","包蔵地","","縄文土器　土師器"
1311515600,13115,156,"","杉並区№156遺跡","杉並区 阿佐谷北三丁目","[縄文時代]","包蔵地","","縄文土器"
1311515700,13115,157,"","杉並区№157遺跡","杉並区 阿佐谷北二丁目","[古墳時代]","包蔵地","","土師器"
1311515800,13115,158,"","杉並区№158遺跡","杉並区 阿佐谷北二丁目","[縄文時代（前期）]","包蔵地","","縄文土器"
