JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構／概要,主な出土品
13224001600,13224,16,たまにゅーたうん№35いせき,多摩ニュータウン№35遺跡,多摩市 愛宕二丁目,[縄文時代（前期〜中期）][奈良時代][平安時代],包蔵地,[縄文時代]土坑,縄文土器　石斧　礫器　土師器
13224001700,13224,17,たまし№17いせき・さえきやしきあと,多摩市№17遺跡・佐伯屋敷跡,多摩市 桜ヶ丘一丁目　 関戸五丁目,[平安時代],包蔵地・城館,,土師器
13224001800,13224,18,,多摩市№18遺跡,多摩市 関戸五丁目,[縄文時代（早期〜後期）],包蔵地,,縄文土器　土師器
13224001900,13224,19,たまにゅーたうん№21いせき,多摩ニュータウン№21遺跡,多摩市 関戸六丁目,[縄文時代（早期・中期）][奈良時代][平安時代],包蔵地,,縄文土器　須恵器
13224002000,13224,20,たまにゅーたうん№15いせき,多摩ニュータウン№15遺跡,多摩市 聖ヶ丘五丁目,[縄文時代（早期〜中期）][平安時代],包蔵地,[縄文時代]土坑,縄文土器　平安土器　石器　土師器
13224002100,13224,21,たまにゅーたうん№377いせき,多摩ニュータウン№377遺跡,多摩市 聖ヶ丘五丁目,[縄中][奈][平],包蔵地,,縄文土器　土師器?
13224002200,13224,22,たまにゅーたうん№378いせき,多摩ニュータウン№378遺跡,多摩市 聖ヶ丘四丁目　 諏訪四丁目,[縄文時代（前期〜中期）][奈良時代][平安時代],包蔵地,,縄文土器　石核　土師器
13224002300,13224,23,たまにゅーたうん№47いせき,多摩ニュータウン№47遺跡,多摩市 諏訪六丁目,[縄文時代（前期）][奈良時代][平安時代],包蔵地,,縄文土器　打斧　土師器　須恵器
13224002400,13224,24,たまにゅーたうん№20いせき,多摩ニュータウン№20遺跡,多摩市 諏訪四丁目,[縄文時代（中期）],集落,[縄文時代]住居,
13224002500,13224,25,たまにゅーたうん№43いせき,多摩ニュータウン№43遺跡,多摩市 諏訪二丁目,[縄文時代（早期）],包蔵地,,縄文土器
13224002600,13224,26,たまにゅーたうん№48いせき,多摩ニュータウン№48遺跡,多摩市 諏訪五丁目,[縄文時代（中期）],包蔵地,,縄文土器
13224002700,13224,27,むかいのおかいせき,向ノ岡遺跡,多摩市 連光寺一丁目,[縄文時代（早期〜後期）][奈良時代][平安時代][中世][近世],集落・城館,[縄文時代]住居　敷石住居　集石　炉穴　石囲炉　陥し穴　土坑　[奈良時代]住居　溝　[平安時代]屋外炉,縄文土器　石器　土錘　土製円板　耳栓　土偶　土師器　須恵器　鉄製品　陶磁器
13224002900,13224,29,さくらがおかごるふじょうないいせき,桜ヶ丘ゴルフ場内遺跡,多摩市 連光寺,[縄文時代（早期〜後期）][平安時代],集落,[縄文時代]住居　敷石住居　配石,縄文土器　石器　土師器
13224003000,13224,30,おおまつやまいせき,大松山遺跡,多摩市 連光寺五丁目,[縄文時代（中期）],包蔵地,,縄文土器
13224003100,13224,31,ほんむら№1いせき,本村No.1遺跡,多摩市 連光寺二丁目,[縄文時代（草創期〜中期）][平安時代],包蔵地・屋敷,[縄文時代]土坑　[近世]掘立柱建物　井戸　炭窯　段切状遺構,縄文土器　有舌尖頭器　石器　土師器　須恵器　陶磁器
13224003200,13224,32,ほんむら№2いせき,本村No.2遺跡,多摩市 連光寺二丁目,[縄文時代（前期）][奈良時代],集落,[縄文時代]陥し穴　土坑　[奈良時代]住居　屋外竈　[近世]炭窯,縄文土器　石器　土師器　須恵器
13224003300,13224,33,ほんむら№3いせき,本村No.3遺跡,多摩市 連光寺二丁目,[縄文時代（早期〜前期）][奈良時代],集落,[縄文時代]集石　陥し穴　[奈良時代]住居,縄文土器　石器　土師器　須恵器
13224003400,13224,34,たまにゅーたうん№22いせき,多摩ニュータウン№22遺跡,多摩市 連光寺二丁目,[縄文時代（早期〜中期）][奈良時代][平安時代][中世][近世],集落,[縄文時代]土坑　[中世]掘立柱建物　建物　住居　方形竪穴　遺構　蔵　井戸　溝,縄文土器　土師器　須恵器　陶磁器　燈明皿　鉄釘　刀子　紡錘車　鏡　飾り金具　銭貨
13224003500,13224,35,たまにゅーたうん№500いせき,多摩ニュータウン№500遺跡,多摩市 馬引沢一丁目,[旧石器時代][奈良時代][平安時代],集落,[旧石器時代]礫群,剥片　土師器
13224003600,13224,36,ふながだいいせきぐん№1,船ヶ台遺跡群№1,多摩市 連光寺六丁目,[縄文時代（前期）],包蔵地,,縄文土器
13224003700,13224,37,ふながだい（たまにゅーたうん№367）いせき,船ヶ台遺跡群№2,多摩市 連光寺六丁目,[縄文時代（前期〜中期）][奈良時代][平安時代][中世?],包蔵地,,縄文土器　土師器　須恵器
13224003800,13224,38,ふながだい（たまにゅーたうん№370）いせき,船ヶ台遺跡群№3,多摩市 連光寺六丁目,[縄文時代（前期〜中期）][近世],包蔵地,,縄文土器　陶器
13224003900,13224,39,ふながだい（たまにゅーたうん№371）いせき,船ヶ台遺跡群№4,多摩市 連光寺六丁目,[縄文時代（前期〜中期）][中世？],包蔵地,,縄文土器　陶器
13224004000,13224,40,ふながだいいせき,船ヶ台遺跡,多摩市 連光寺六丁目,[中世],地下式横穴,[中世]地下式土坑　4×2ｍ　8�u,人骨
13224004100,13224,41,ふながだい（たまにゅーたうん№372）いせき,船ヶ台遺跡群№5,多摩市 連光寺六丁目,[縄文時代（前期）][平安時代],包蔵地,[縄文時代]陥し穴,縄文土器　土師器
13224004200,13224,42,ふながだい（たまにゅーたうん№373）いせき,船ヶ台遺跡群№6,多摩市 連光寺六丁目,[縄文時代（前期）][平安時代],包蔵地,,縄文土器　土師器
13224004300,13224,43,ふながだい（たまにゅーたうん№374）いせき,船ヶ台遺跡群№7,多摩市 連光寺六丁目,[縄文時代（前期）],包蔵地,,縄文土器
13224004400,13224,44,ふながだい（たまにゅーたうん№375）いせき,船ヶ台遺跡群№8,多摩市 連光寺六丁目,[縄文時代（前期）][平安時代],包蔵地,,縄文土器　土師器
13224004500,13224,45,ふながだい（たまにゅーたうん№376）いせき,船ヶ台遺跡群№9,多摩市 連光寺六丁目,[平安時代],包蔵地,※稲城市№107遺跡と一連の多摩ニュータウン遺跡,土師器
13224004600,13224,46,ふながだい（たまにゅーたうん№17）いせき,船ヶ台遺跡群№10,多摩市 連光寺六丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　土師器
13224004700,13224,47,ふながだい（たまにゅーたうん№16）いせき,船ヶ台(多摩ニュータウン№16)遺跡,多摩市 聖ヶ丘四丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　土師器　須恵器
13224004800,13224,48,たまにゅーたうん№509いせき,多摩ニュータウン№509遺跡,多摩市 馬引沢二丁目,[縄文時代（前期・後期）][奈良時代][中世][近世],集落,[縄文時代]集石　土坑　[奈良時代]住居　土坑　[中世]建物群　竪穴　状遺構　井戸　土坑　地下式土坑,縄文土器　石器　土師器　須恵器　瓦　陶磁器
13224004900,13224,49,たまにゅーたうん№510いせき,多摩ニュータウン№510遺跡,多摩市 馬引沢二丁目,[縄文時代（早期〜中期）][奈良時代][平安時代][近世],集落,[縄文時代]土坑　[近世]建物　柱穴群　井戸　炭窯,縄文土器　石器　土師器　須恵器　陶磁器　カワラケ　砥石　石臼　鉄片
13224005000,13224,50,たまにゅーたうん№511いせき,多摩ニュータウン№511遺跡,多摩市 馬引沢二丁目,[旧石器時代][縄文時代（早期〜中期）][中世][近世],集落,[旧石器時代]ユニット　[縄文時代]竪穴状遺構　土坑　[近世]建物　土坑　井戸,石器　縄文土器　石器　板碑　陶磁器　砥石　石臼　金属器
13224005100,13224,51,たまにゅーたうん№379いせき,多摩ニュータウン№379遺跡,多摩市 諏訪四丁目他,[旧石器時代][縄文時代（草創期〜中期）][平安時代][中世][近世],集落,[縄文時代]住居　集石　土坑　[平安時代]土坑　[中世][近世]土坑　溝,ナイフ形石器　剥片　縄文土器　石斧　丸鑿　形石斧　石槍　有茎尖頭器　土師器　須恵器　陶磁器
13224005200,13224,52,たまにゅーたうん№280いせき,多摩ニュータウン№280遺跡,多摩市 諏訪四丁目,[縄文時代（中期）],包蔵地,,
13224005300,13224,53,たまにゅーたうん№18いせき,多摩ニュータウン№18遺跡,多摩市 諏訪四丁目,[縄文時代（中期）],包蔵地,,縄文土器
13224005400,13224,54,たまにゅーたうん№19いせき,多摩ニュータウン№19遺跡,多摩市 諏訪四丁目,[縄文時代（前期）][平安時代],集落,[縄文時代]住居,縄文土器　礫器　磨石　けつ状耳飾　須恵器
13224005500,13224,55,たまにゅーたうん№44いせき,多摩ニュータウン№44遺跡,多摩市 諏訪四丁目,[時代不明],包蔵地,,
13224005600,13224,56,たまにゅーたうん№45いせき,多摩ニュータウン№45遺跡,多摩市 諏訪四丁目,[奈良時代][平安時代],包蔵地,,土師器　須恵器
13224005700,13224,57,たまにゅーたうん№46いせき,多摩ニュータウン№46遺跡,多摩市 諏訪六丁目,[縄文時代（前期〜中期）],集落,[縄文時代]住居　集石　集石土坑　土坑,縄文土器　打斧　磨斧　尖頭器　石鏃　石匙　石皿　磨石　凹石　土錘　土偶　手捏土器　円形状土製品　異形土製品
13224005800,13224,58,たまにゅーたうん№42いせき,多摩ニュータウン№42遺跡,多摩市 諏訪三丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器　剥片　須恵器
13224005900,13224,59,たまにゅーたうん№464いせき,多摩ニュータウン№464,多摩市 唐木田一丁目,[縄文時代（早期〜中期）][奈良時代][平安時代][近世],包蔵地,[縄文時代]集石　焼土　土坑　[平安時代]土坑　[近世]炭窯,縄文土器　石器　土師器
13224006000,13224,60,たまにゅーたうん№462いせき,多摩ニュータウン№462遺跡,多摩市 唐木田一丁目,[縄文時代（前期）][平安時代][中世],集落,[中世]建物　井戸,縄文土器　石器　土師器　須恵器　陶器（灰釉）　舶載磁器　銭貨
13224006100,13224,61,たまにゅーたうん№92いせき,多摩ニュータウン№92遺跡,多摩市 唐木田一丁目,[縄文時代（前期〜中期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地,[縄文時代]集石　土坑　[古墳時代]土坑　[平安時代]土坑　[近世]土坑　溝,縄文土器　打斧　磨斧　礫器　石皿　磨石　凹石　土製品　土師器　須恵器　陶磁器　砥石　銭貨
13224006200,13224,62,たまにゅーたうん№91いせき,多摩ニュータウン№91遺跡,多摩市 唐木田一丁目,[旧石器時代][縄文時代（早期〜中期・晩期）][弥生時代（前期〜中期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居　集石　焼土　土坑　[古墳時代]土坑　[平安時代]住居　焼土　ピット　土坑　[中世]建物　ピット　集石　井戸　窯状遺構　[近世]建物　ピット　土坑　井戸　炭窯　段切状遺構　溝,ナイフ形石器　剥片　縄文土器　打斧　磨斧　礫器　石鏃　有孔磨製石鏃　掻器　石皿　磨石　凹石　土錘　耳飾　土師器　須恵器　陶器（灰釉・緑釉）　鉄製品　炭化種子　陶磁器　土師質土器　須恵質土器　舶載磁器　鉄鏃　銭貨　陶磁器　土器　石臼　釘　銭貨
13224006300,13224,63,たまにゅーたうん№90いせき,多摩ニュータウン№90遺跡,多摩市 唐木田一丁目,[縄文時代（早期〜中期）][奈良時代][平安時代][近世],包蔵地,[縄文時代]集石　焼土　土坑　[近世]炭窯,縄文土器　打斧　有舌尖頭器　石鏃　石皿　土師器　須恵器　陶磁器
13224006400,13224,64,たまにゅーたうん№461いせき,多摩ニュータウン№461遺跡,多摩市 唐木田一丁目,[縄文時代（前期〜中期）][弥生時代][奈良時代][平安時代][近世],包蔵地,[縄文時代]焼土　土坑　[平安時代]土坑,縄文土器　石器　弥生土器　石器　土師器　陶磁器
13224006500,13224,65,たまにゅーたうん№89いせき,多摩ニュータウン№89遺跡,多摩市 中沢一丁目,[縄文時代（前期）][古墳時代][奈良時代][平安時代][近世],包蔵地,[縄文時代]土坑　[古墳時代]土坑　[近世]土坑　炭窯　溝,打斧　礫　土師器　炭化材
13224006600,13224,66,たまにゅーたうん№460いせき,多摩ニュータウン№460遺跡,多摩市 中沢二丁目,[縄文時代（前期）][平安時代][近世],包蔵地,[縄文時代]土坑　[平安時代]土坑　[近世]土坑　地下室　集石　炭窯,縄文土器　石器　陶磁器　砥石
13224006700,13224,67,たまにゅーたうん№265いせき,多摩ニュータウン№265遺跡,多摩市 唐木田二丁目,[縄文時代（前期）],包蔵地,,
13224006800,13224,68,たまにゅーたうん№93いせき,多摩ニュータウン№93遺跡,多摩市 唐木田二丁目,[縄文時代（前期）][奈良時代][平安時代],包蔵地,,縄文土器　剥片　土師器
13224006900,13224,69,たまにゅーたうん№88いせき,多摩ニュータウン№88遺跡,多摩市 唐木田一丁目　 唐木田二丁目,[縄文時代（前期）][奈良時代][平安時代],包蔵地,[縄文時代]集石土坑,縄文土器　打斧　礫器　磨石　凹石　敲石　けつ状耳飾　土師器
13224007000,13224,70,たまにゅーたうん№87いせき,多摩ニュータウン№87遺跡,多摩市 唐木田一丁目　 唐木田二丁目,[縄文時代（前期〜中期）][奈良時代][平安時代][中世],包蔵地,,縄文土器　土師器　須恵器　陶器　燈明皿
13224007100,13224,71,たまにゅーたうん№63いせき,多摩ニュータウン№63遺跡,多摩市 鶴牧一丁目,[縄文時代（早期〜中期）][平安時代][中世][近世],包蔵地,,縄文土器　土師器　須恵器　鉄製品　紡錘車　陶磁器
13224007200,13224,72,たまにゅーたうん№62いせき,多摩ニュータウン№62遺跡,多摩市 山王下二丁目,[縄文時代（前期〜中期）],包蔵地,,縄文土器
13224007300,13224,73,たまにゅーたうん№61いせき,多摩ニュータウン№61遺跡,多摩市 山王下二丁目,[縄文時代（早期〜中期）],包蔵地,,縄文土器　石斧　石皿　凹石
13224007400,13224,74,たまにゅーたうん№272いせき,多摩ニュータウン№272遺跡,多摩市 山王下二丁目,[縄文時代（前期）],包蔵地,,
13224007500,13224,75,たまにゅーたうん№270いせき,多摩ニュータウン№270遺跡,多摩市 落合　 愛宕四丁目,[奈良時代][平安時代],包蔵地,[奈良時代][平安時代]窯,瓦
13224007600,13224,76,たまにゅーたうん№454いせき,多摩ニュータウン№454遺跡,多摩市 愛宕四丁目,[旧石器時代][縄文時代（早期〜中期）][奈良時代][平安時代][中世][近世],集落,[縄文時代]集石土坑　焼土　土坑　ピット　[平安時代]住居　[近世]土坑　集石　溝　道路,尖頭器　細石刃　縄文土器　石器　土師器　須恵器　陶器（灰釉）　瓦
13224007700,13224,77,たまにゅーたうん№269いせき,多摩ニュータウン№269遺跡,多摩市 愛宕四丁目,[縄文時代（早期〜中期）],包蔵地,[時代不明]石組遺構,縄文土器　打斧　石鏃　掻器　磨石　凹石
13224007800,13224,78,たまにゅーたうん№60いせき,多摩ニュータウン№60遺跡,多摩市 愛宕四丁目,[奈良時代][平安時代],包蔵地,[奈良時代][平安時代]溝状遺構　蔵骨器埋設土壙,土師器　須恵器　蔵骨器
13224007900,13224,79,たまにゅーたうん№271いせき,多摩ニュータウン№271遺跡,多摩市 落合一丁目,[旧石器時代][縄文時代（早期〜中期）][奈良時代][平安時代][中世][近世],集落,[縄文時代]集石　土坑　[平安時代]住居　集石　土坑　[中世][近世]掘立柱　建物群　井戸　土坑　地下式土坑　削平面　溝,ナイフ形石器　石核　縄文土器　石器　土師器　須恵器　陶器（灰釉）　陶磁器　瓦　石製品　木製品　銭貨
13224008000,13224,80,たまにゅーたうん№452いせき,多摩ニュータウン№452遺跡,多摩市 落合一丁目,[旧石器時代][縄文時代（早期〜中期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]集石　土坑　[奈良時代]住居　[奈良時代][平安時代]住居　集石　土坑　溝　[平安時代]住居　集石　土坑　[中世]建物　焼土　井戸　土坑　地下式土坑　溝　[中世][近世]ピット　柱穴列　杭列　[近世]建物　土坑　焼土　井戸　溝　柵列　石組　木橋,ナイフ形石器　細石刃　石核　縄文土器　石器　弥生土器　匂玉　土師器　須恵器　陶器（灰釉）　砥石　鉄製品　紡錘車　土錘　陶硯　瓦　陶磁器　舶載陶磁器　石製品　鉄製品　銅製品　煙管　木製品　木桶　銭貨
13224008100,13224,81,たまにゅーたうん№451いせき,多摩ニュータウン№451遺跡,多摩市 落合一丁目,[縄文時代（早期〜中期）][奈良時代][平安時代][中世][近世],集落,[縄文時代]集石　土坑　[平安時代]住居　柱穴群　[中世]地下式土坑　[近世]建物　柱穴群　井戸　炭窯,縄文土器　石器　土師器　須恵器　瓦　陶磁器　土師質土器　舶載陶磁器　板碑
13224008200,13224,82,たまにゅーたうん№278いせき,多摩ニュータウン№278遺跡,多摩市 鶴牧二丁目,[縄文時代][中世][近世],集落,[縄文時代]土坑　[中世]地下式横穴　土坑　墓　ピット群　枝切り　焼土　溝　[近世]建物跡　井戸　土坑　段切り　堂址,礫器　打石斧　スクレイパー　石皿　ﾊｸ片　土器　石器　陶磁器　石臼　木器　常滑　青銅　鉄　古銭　炭化穀類
13224008300,13224,83,たまにゅーたうん№86いせき,多摩ニュータウン№86遺跡,多摩市 鶴牧三丁目,[縄文時代（前期〜中期）],包蔵地,[時代不明]焼土遺構,縄文土器
13224008400,13224,84,たまにゅーたうん№458いせき,多摩ニュータウン№458遺跡,多摩市 鶴牧一丁目,[縄文時代（前期）][奈良時代][平安時代][近世],包蔵地,,縄文土器　土師器
13224008500,13224,85,たまにゅーたうん№83いせき,多摩ニュータウン№83遺跡,多摩市 鶴牧一丁目,[縄文時代],包蔵地,,
13224008600,13224,86,たまにゅーたうん№276いせき,多摩ニュータウン№276遺跡,多摩市 鶴牧一丁目,[縄文時代（前期）],包蔵地,,縄文土器
13224008700,13224,87,たまにゅーたうん№457いせき,多摩ニュータウン№457遺跡,多摩市 鶴牧一丁目,[旧石器時代][縄文時代（早期〜中期）][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居　竪穴状遺構　集石　炉穴　焼土　土坑　[平安時代]住居　土坑　[中世][近世]掘立柱　建物　ピット群　井戸　土坑　地下式土坑　墓壙　段切り　溝　道路,ナイフ形石器　掻器　剥片　縄文土器　石斧　石鏃　石匙　石皿　磨石　弥生土器　須恵器　陶磁器　瓦器　舶載陶磁器　擂鉢　砥石　刀子　石臼　板碑　銭貨　人骨　馬歯　炭化材　種子
13224008800,13224,88,たまにゅーたうん№267いせき,多摩ニュータウン№267遺跡,多摩市 鶴牧一丁目,[中世][近世],包蔵地,[中世]地下式土坑,
13224008900,13224,89,たまにゅーたうん№85いせき,多摩ニュータウン№85遺跡,多摩市 鶴牧一丁目,[縄文時代],包蔵地,,
13224009000,13224,90,たまにゅーたうん№84いせき,多摩ニュータウン№84遺跡,多摩市 鶴牧一丁目　 鶴牧三丁目,[縄文時代（早期〜前期）],包蔵地,,縄文土器
13224009100,13224,91,たまにゅーたうん№81いせき,多摩ニュータウン№81遺跡,多摩市 落合一丁目,[縄文時代（中期）],包蔵地,,縄文土器
13224009200,13224,92,たまにゅーたうん№80いせき,多摩ニュータウン№80遺跡,多摩市 落合一丁目,[縄文時代（早期〜中期）][古墳時代],包蔵地,[時代不明]土杭　溝状遺構,縄文土器　打斧　土師器
13224009300,13224,93,たまにゅーたうん№456いせき,多摩ニュータウン№456遺跡,多摩市 落合一丁目,[旧石器時代][縄文時代（前期）][平安時代],包蔵地,[平安時代]土坑,剥片　縄文土器　石器
13224009400,13224,94,たまにゅーたうん№455いせき,多摩ニュータウン№455遺跡,多摩市 落合一丁目,[縄文時代（前期）],包蔵地,,縄文土器
13224009500,13224,95,たまにゅーたうん№453いせき,多摩ニュータウン№453遺跡,多摩市 落合一丁目,[縄文時代（前期〜中期）],包蔵地,,縄文土器　土師器　須恵器
13224009600,13224,96,たまにゅーたうん№57いせき,多摩ニュータウン№57遺跡,多摩市 落合一丁目,[旧石器時代][縄文時代（前期〜後期）][中世][近世],集落,[旧石器時代]ユニット　礫群　[縄文時代]住居　集石　土坑　[近世]墓,ナイフ形石器　石核　剥片　焼礫　縄文土器　石器　土師器　須恵器　銭貨（宋銭・寛永通宝）　胞衣容器　埋葬人骨
13224009700,13224,97,たまにゅーたうん№274いせき,多摩ニュータウン№274遺跡,多摩市 落合一丁目,[縄文時代],包蔵地,,
13224009800,13224,98,たまにゅーたうん№82いせき,多摩ニュータウン№82遺跡,多摩市 落合二丁目,[縄文時代],包蔵地,,縄文土器
13224010200,13224,102,たまにゅーたうん№76いせき,多摩ニュータウン№76遺跡,多摩市 落合五丁目,[縄文時代（前期）],包蔵地,,縄文土器
13224010400,13224,104,たまにゅーたうん№78いせき,多摩ニュータウン№78遺跡,多摩市 落合五丁目,[縄文時代（前期）],包蔵地,,縄文土器
13224010500,13224,105,たまにゅーたうん№77いせき,多摩ニュータウン№77遺跡,多摩市 落合五丁目,[縄文時代（中期）][奈良時代][平安時代][中世][近世],包蔵地,,縄文土器　土師器　陶磁器
13224010600,13224,106,たまにゅーたうん�ｂV9いせき,多摩ニュータウン№79遺跡,多摩市 落合五丁目,[縄文時代（早期）],包蔵地,,縄文土器
13224010700,13224,107,たまにゅーたうん№450いせき,多摩ニュータウン№450遺跡,多摩市 愛宕三丁目,[旧石器時代][縄文時代（早期〜後期）][弥生時代（中期）][奈良時代][平安時代][中世][近世],集落,[縄文時代]敷石住居　集石　土坑　[奈良時代]住居　[平安時代]住居　集石　土坑　埋甕　[中世]竪穴状遺構　柱穴群　地下式土坑　段切状遺構　[中世][近世]建物　ピット　土坑　集石　井戸　溝　[近世]段切状遺構,ナイフ形石器　尖頭器　掻器　削器　剥片　縄文土器　石器　弥生土器　土師器　須恵器　陶器（灰釉・緑釉）　土製品　砥石　鉄製品　瓦　炭化物　陶磁器　土師質土器　舶載陶磁器　砥石　石臼　石鍋　釘　板碑置台　板碑　土製品　銭貨
13224010800,13224,108,たまにゅーたうん№273いせき,多摩ニュータウン№273遺跡,多摩市 愛宕三丁目,[中世][近世],包蔵地,,瓦塔
13224010900,13224,109,たまにゅーたうん№263いせき,多摩ニュータウン№263遺跡,多摩市 愛宕二丁目,[縄文時代（前期）],包蔵地,,
13224011200,13224,112,たまにゅーたうん№258いせき,多摩ニュータウン№258遺跡,多摩市 愛宕二丁目,[中世][近世],塚,,板碑
13224011300,13224,113,たまにゅーたうん№281いせき,多摩ニュータウン№281遺跡,多摩市 愛宕二丁目,[旧石器時代][縄文時代（早期〜中期）],集落,[旧石器時代]ユニット　[縄文時代]住居　敷石住居　集石　土坑,
13224011400,13224,114,たまにゅーたうん№449いせき,多摩ニュータウン№449遺跡,多摩市 乞田,[縄文時代（前期）],包蔵地,,縄文土器
13224011500,13224,115,たまにゅーたうん№33いせき,多摩ニュータウン№33遺跡,多摩市 愛宕二丁目,[中世][近世],横穴墓群,,
13224011600,13224,116,たまにゅーたうん№34いせき,多摩ニュータウン№34遺跡,多摩市 愛宕二丁目,[縄文時代（前期〜中期）][奈良時代][平安時代],包蔵地,[縄文時代]土坑,縄文土器　石斧　礫器　土師器
13224011700,13224,117,たまにゅーたうん№284いせき,多摩ニュータウン№284遺跡,多摩市 乞田,[中世][近世],塚,,
13224011800,13224,118,たまにゅーたうん№257いせき,多摩ニュータウン№257遺跡,多摩市 永山一丁目,[奈良時代][平安時代],包蔵地,,須恵器
13224011900,13224,119,たまにゅーたうん№27いせき,多摩ニュータウン№27遺跡,多摩市 永山一丁目,[旧石器時代][縄文時代（早期〜中期）][奈良時代][平安時代][中世][近世],集落,[旧石器時代]ユニット　[縄文時代]住居　集石　炉穴　土坑　[平安時代]住居　溝　[中世]地下式土坑　[中世][近世]掘立柱建物　建物　土坑　井戸　溝　道路　墓,ナイフ形石器　石核　剥片　縄文土器　石器　土師器　須恵器　陶器（灰釉）　陶磁器　板碑
13224012000,13224,120,たまにゅーたうん№24いせき,多摩ニュータウン№24遺跡,多摩市 諏訪一丁目,[奈良時代][平安時代],包蔵地,,土師器
13224012100,13224,121,たまにゅーたうん№467いせき,多摩ニュータウン№467遺跡,多摩市 豊ヶ丘一丁目,[旧石器時代][縄文時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]土坑　[平安時代]住居　[中世]地下式土坑,ナイフ形石器　礫器　削器　剥片　土師器　陶磁器　土製品
13224012200,13224,122,たまにゅーたうん№39いせき,多摩ニュータウン№39遺跡,多摩市 豊ヶ丘一丁目,[縄文時代（早期〜前期）],包蔵地,,縄文土器　剥片
13224012300,13224,123,たまにゅーたうん№40いせき,多摩ニュータウン№40遺跡,多摩市 豊ヶ丘一丁目,[縄文時代][奈良時代][平安時代][中世],包蔵地,,縄文土器　土師器　須恵器　燈明皿
13224012400,13224,124,たまにゅーたうん№41いせき,多摩ニュータウン№41遺跡,多摩市 豊ヶ丘一丁目,[奈良時代][平安時代],包蔵地,,須恵器
13224012500,13224,125,たまにゅーたうん№465いせき,多摩ニュータウン№465遺跡,多摩市 豊ヶ丘二丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器　土師器
13224012600,13224,126,たまにゅーたうん№53いせき,多摩ニュータウン№53遺跡,多摩市 豊ヶ丘二丁目,[奈良時代][平安時代],包蔵地,,土師器　須恵器
13224012700,13224,127,たまにゅーたうん№260いせき,多摩ニュータウン№260遺跡,多摩市 貝取二丁目,[縄文時代（早期〜中期）],包蔵地,,縄文土器
13224012800,13224,128,たまにゅーたうん№262いせき,多摩ニュータウン№262遺跡,多摩市 永山五丁目,[奈良時代][平安時代],包蔵地,,土師器
