JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構／概要,主な出土品
1311302600,13113,26,,渋谷区№26遺跡,渋谷区 代々木神園町,[縄文時代（中期）][弥生時代][奈良時代][平安時代],包蔵地,,縄文土器　弥生土器　土師器　須恵器
1311302700,13113,27,,渋谷区№27遺跡,渋谷区 代々木神園町,[縄文時代（中期）],包蔵地,,縄文土器
1311302800,13113,28,,渋谷区№28遺跡,渋谷区 代々木神園町,[縄文時代（中期）],包蔵地,,縄文土器
1311302900,13113,29,なまこやまこふん,ナマコ山古墳,渋谷区 神南二丁目,[古墳時代],古墳,前方後円墳?,
1311303000,13113,30,,渋谷区№30遺跡,渋谷区 神南二丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧
1311303100,13113,31,,渋谷区№31遺跡,渋谷区 松濤二丁目,[古墳時代][奈良時代],横穴墓,,
1311303300,13113,33,,渋谷区№33遺跡,渋谷区 松濤二丁目,[縄文時代（中期）],包蔵地,[縄文時代]小竪穴,縄文土器　打斧
1311303400,13113,34,,渋谷区№34遺跡,渋谷区 円山町,[時代不明],社寺,,人骨
1311303500,13113,35,まるやまちょういせき,円山町遺跡,渋谷区 円山町,[古墳時代],集落,[古墳時代]住居,土師器　軽石
1311303600,13113,36,,渋谷区№36遺跡,渋谷区 道玄坂一丁目,[古墳時代][奈良時代],横穴墓,,
1311303800,13113,38,,渋谷区№38遺跡,渋谷区 道玄坂一丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311303900,13113,39,,渋谷区№39遺跡,渋谷区 桜丘町,[旧石器時代][縄文時代（中期）],包蔵地,,礫　縄文土器　打斧　磨斧　石鏃　石槌　石皿　凹石
1311304000,13113,40,,渋谷区№40遺跡,渋谷区 道玄坂二丁目,[古墳時代][奈良時代],横穴墓,,
1311304100,13113,41,,渋谷区№41遺跡,渋谷区 桜丘町,[古墳時代][奈良時代],横穴墓,,
1311304200,13113,42,,渋谷区№42遺跡,渋谷区 桜丘町,[縄文時代（中期）][弥生時代],包蔵地,,縄文土器　打斧　石皿　弥生土器
1311304400,13113,44,,渋谷区№44遺跡,渋谷区 鉢山町,[縄文時代（中期）],包蔵地,,縄文土器
1311304500,13113,45,,渋谷区№45遺跡,渋谷区 鶯谷町,[古墳時代][奈良時代],横穴墓,,
1311304600,13113,46,うぐいすだにいせき,鶯谷遺跡,渋谷区 鶯谷町,[縄文時代（中期～後期）],集落,[縄文時代]住居,縄文土器　打斧　磨斧　石鏃　石匙　石錘　石皿　凹石　敲石　土錘　石棒
1311304700,13113,47,,渋谷区№47遺跡,渋谷区 鶯谷町,[古墳時代][奈良時代],横穴墓,,
1311304800,13113,48,,渋谷区№48遺跡,渋谷区 猿楽町,[古墳時代][奈良時代],横穴墓,4基,
1311304900,13113,49,,渋谷区№49遺跡,渋谷区 猿楽町,[縄文時代（中期）],包蔵地・集落,[縄文時代]敷石住居?,縄文土器　打斧
1311305000,13113,50,さるがくづか（きたづか）,猿楽塚(北塚),渋谷区 猿楽町,[古墳時代],古墳,※遺跡範囲のすべてが、№51猿楽塚（南塚）とともに渋谷区指定史跡猿楽塚となっています。 円墳,
1311305100,13113,51,さるがくづか（みなみづか）,猿楽塚(南塚),渋谷区 猿楽町,[古墳時代],古墳,※遺跡範囲のすべてが、№50猿楽塚（北塚）とともに渋谷区指定史跡猿楽塚となっています。 円墳,
1311305200,13113,52,さるがくいせき,猿楽遺跡,渋谷区 猿楽町,[旧石器時代][弥生時代],集落,[旧石器時代]礫群　[弥生時代]住居　溝,弥生土器　ナイフ形石器
1311305300,13113,53,,渋谷区№53遺跡,渋谷区 代官山町,[縄文時代（中期）],包蔵地,,縄文土器　打斧　敲石
1311305400,13113,54,,渋谷区№54遺跡,渋谷区 恵比寿南一丁目,[時代不明],包蔵地,,土器
1311305500,13113,55,,渋谷区№55遺跡,渋谷区 恵比寿南一丁目,[古墳時代],古墳,円墳,
1311305600,13113,56,しぶやづかこふん,渋谷塚古墳,渋谷区 恵比寿南一丁目,[古墳時代],古墳,円墳,
1311305700,13113,57,,渋谷区№57遺跡,渋谷区 恵比寿南三丁目,[時代不明],包蔵地,,土器
1311305800,13113,58,とよさわかいづか,豊沢貝塚,渋谷区 恵比寿二丁目,[縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][平安時代],集落・貝塚,[縄文時代]住居　土坑　埋甕　陥穴　墓壙　掘立柱建物　[平安時代]掘立柱建物,縄文土器　打製石斧　磨製石斧　石鏃　石皿　磨石　石剣　土偶　砥石　土師器　弥生土器　須恵器　縄文人骨
1311306200,13113,62,かけづかこふん,加計塚古墳,渋谷区 恵比寿四丁目,[古墳時代],古墳,円墳,
1311306300,13113,63,,渋谷区№63遺跡,渋谷区 神宮前五丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311306400,13113,64,,渋谷区№64遺跡,渋谷区 渋谷一丁目,[古墳時代][奈良時代],横穴墓,,
1311306500,13113,65,,渋谷区№65遺跡,渋谷区 渋谷二丁目,[古墳時代][奈良時代],横穴墓,2基,
1311306600,13113,66,しぶやじょう,渋谷城,渋谷区 渋谷三丁目,[中世],城館,[中世]空堀　土塁,
1311306700,13113,67,,渋谷区№67遺跡,渋谷区 東一丁目,[縄文時代（中期）],集落,[縄文時代]住居,縄文土器　打斧
1311306800,13113,68,,渋谷区№68遺跡,渋谷区 渋谷三丁目　東一丁目,[古墳時代][奈良時代],横穴墓,,
1311307100,13113,71,,渋谷区№71遺跡,渋谷区 東二丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧　石皿　凹石　石棒
1311307200,13113,72,,渋谷区№72遺跡,渋谷区 東四丁目,[古墳時代][奈良時代],横穴墓,,小玉
1311307300,13113,73,,渋谷区№73遺跡,渋谷区 東四丁目,[縄文時代（後期）],貝塚?,,縄文土器
1311307400,13113,74,,渋谷区№74遺跡,渋谷区 東四丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧　凹石
1311307500,13113,75,,渋谷区№75遺跡,渋谷区 東四丁目,[縄文時代（中期）][弥生時代],集落,[弥生時代]住居,縄文土器　打斧　弥生土器
1311307700,13113,77,,渋谷区№77遺跡,渋谷区 広尾二丁目,[古墳時代][奈良時代],横穴墓,,
1311307800,13113,78,,渋谷区№78遺跡,渋谷区 広尾二丁目,[古墳時代],古墳,円墳2基,
1311307900,13113,79,はねざわかいづか,羽沢貝塚,渋谷区 広尾三丁目　広尾四丁目,[縄文時代（後期）],貝塚,,縄文土器　打斧　敲石
1311308100,13113,81,,渋谷区№81遺跡,渋谷区 代々木四丁目,[古墳時代],古墳,,
1311308200,13113,82,,渋谷区№82遺跡,渋谷区 代々木神園町,[縄文時代（中期）],包蔵地,,縄文土器　打斧　石鏃　石皿　凹石　石棒
1311309300,13113,93,かわさきしょうじろうやかた（せのおしやかた）あと,河崎庄司郎館(妹尾氏館)跡,渋谷区 渋谷三丁目,[時代不明],城館,,
1311309400,13113,94,,渋谷区№94遺跡,渋谷区 神南二丁目,[縄文時代][古墳時代][奈良時代][平安時代],包蔵地,,縄文土器　土師器　須恵器
1311309500,13113,95,せいしんじょしだいがくこうないこふん,聖心女子大学構内古墳,渋谷区 広尾四丁目,[古墳時代],古墳,円墳,
1311309600,13113,96,はちやまちょう・さるがくちょう17ばんいせき,鉢山町・猿楽町17番遺跡,渋谷区 鉢山町　 猿楽町,[旧石器時代][縄文時代][弥生時代][中世][近世],集落,[旧石器時代]土坑　[縄文時代]住居　土坑　[弥生時代]環濠　住居　土坑　[中世]溝　[近世]掘立柱建物　溝,掻器　剥片　縄文土器　打斧　石鏃　削器　弥生土器　陶磁器
1311309700,13113,97,えびすいせき,恵比寿遺跡,渋谷区 恵比寿四丁目,[旧石器時代][縄文時代][古墳時代][近世],集落,[縄文時代]土坑　[古墳時代]住居　[近世]土坑　溝,ナイフ形石器　掻器　剥片　縄文土器　打斧　石槍　土師器　陶磁器　砥石　玩具　人形
1311309800,13113,98,きたあおやまいせき,北青山遺跡,渋谷区 神宮前五丁目,[旧石器時代][縄文時代（後期）][近世],包蔵地・屋敷,[縄文時代]土坑　[近世]掘立柱建物　土坑　地下室　井戸　溝,ナイフ形石器　石鏃　縄文土器　打製石斧　陶磁器
1311309900,13113,99,はつだいいせき,初台遺跡,渋谷区 本町一丁目,[近世],集落,[近世]建物　土坑　地下室　井戸,縄文土器　陶磁器　煙管　銭貨
1311310000,13113,100,あおやまがくいんこうないいせき,青山学院構内遺跡,渋谷区 渋谷四丁目,[縄文時代][近世],包蔵地・屋敷,伊予西条藩松平家上屋敷　[近世]土坑　水路　池　板塀状遺構　道路状遺構,縄文土器　陶磁器　瓦　石製品　鉄製品　青銅製品　鉛玉　木製品　ガラス製品　銭貨
1311310100,13113,101,せんだがやごちょうめいせき,千駄ヶ谷五丁目遺跡,渋谷区 千駄ヶ谷五丁目,[旧石器時代][縄文時代][近世],その他（武家屋敷跡）,[縄文時代]陥穴　土坑　[近世]堀　溝　柵列　地下室　墓壙　井戸,ナイフ形石器　縄文土器　陶磁器　せっ器　漆器　木製品　金属製品　有舌尖頭器　土製品
1311310200,13113,102,じんぐうまえいっちょうめいせき,神宮前一丁目遺跡,渋谷区 神宮前一丁目,[縄文時代][近世],集落,[縄文時代]住居,縄文土器　打斧　陶磁器
1311310400,13113,104,せんだがやきたのわきいせき,千駄ヶ谷北ノ脇遺跡,渋谷区 千駄ヶ谷一丁目　 千駄ヶ谷二丁目,[縄文時代][弥生時代][近世],包蔵地,[縄文時代]～[弥生時代]自然流路　[近世]杭跡　土坑,縄文土器　弥生土器　陶磁器
