JASID,自治体コード,遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構/概要,主な出土品
1321401200,13214,12,でんしょうおうじあと,伝祥応寺跡,国分寺市 西元町四丁目,[中世],社寺,[中世]礫石建物 土塀,須恵器 陶器（灰釉） 瓦 板碑 鉄製風鐸
1321401300,13214,13,,国分寺市№13遺跡,国分寺市 西元町四丁目,[中世],修法壇跡か塚,［中世］塚,素焼土器 陶器（灰釉） 銭貨
1321401400,13214,14,たきくぼよこあなぼぐん,多喜窪横穴墓群,国分寺市 西元町二丁目 西元町四丁目,[奈良時代],横穴墓,［奈良時代］横穴墓,陶器（緑釉） 鉄釘 木棺 人骨
1321401800,13214,18,はちまんまえいせき,八幡前遺跡,国分寺市 東元町三丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器 石錐 浮石
1321401900,13214,19,むさしこくぶんじあと,武蔵国分寺跡,国分寺市 東元町二丁目 東元町三丁目 東元町四丁目 西元町一丁目 西元町二丁目 西元町三丁目 西元町四丁目 泉町一丁目 泉町二丁目 泉町三丁目 西恋ヶ窪一丁目,[旧石器時代][縄文時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居 [奈良時代][平安時代]住居 掘立柱建物 道路 溝 [中世]門 土坑 地下式横穴,縄文土器 陶磁器 土製品 石製品 鉄製品 青銅製品 瓦 塼
1321402000,13214,20,とのがやときたいせき,殿ヶ谷戸北遺跡,国分寺市 南町一丁目,[旧石器時代][縄文時代（早期・中期）],集落,[旧石器時代]礫群,ナイフ形石器 尖頭器 掻器 石核 縄文土器
1321402100,13214,21,とのがやといせき,殿ヶ谷戸遺跡,国分寺市 南町二丁目 東元町一丁目 二丁目,[旧石器時代][縄文時代（早期・中期）],集落,[旧石器時代]礫群 [縄文時代]土坑,ナイフ形石器 尖頭器 掻器 石核 縄文土器
1321402200,13214,22,こいがくぼはいじあと,恋ヶ窪廃寺跡,国分寺市 泉町三丁目,[縄文時代][平安時代][中世],社寺,[平安時代][中世]礎石建物 掘立柱建物 土坑 溝 火葬墓 土壙墓,土師器 須恵器 陶器（灰釉） 瓦 板碑 宝筐印塔 銭貨 人骨
1321402300,13214,23,,国分寺市№23遺跡,国分寺市 東元町二丁目,[縄文時代][奈良時代][平安時代],包蔵地,[縄文時代]集石土坑,縄文土器 石器
1321402400,13214,24,,国分寺市№24遺跡,国分寺市 東元町一丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器
1321402500,13214,25,,国分寺市№25遺跡,国分寺市 東元町一丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器
1321402600,13214,26,,国分寺市№26遺跡,国分寺市 東元町二丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器
1321402700,13214,27,,国分寺市№27遺跡,国分寺市 東元町二丁目,[縄文時代（中期）],包蔵地,,縄文土器
